time,TP9,AF7,AF8,TP10,Right AUX
1694738993.3105319,13.671875,-32.71484375,-95.21484375,-3.90625,0.0
1694738993.3144336,2.9296875,-38.0859375,-97.16796875,-11.71875,0.0
1694738993.3183353,7.32421875,-35.15625,-94.7265625,-1.953125,0.0
1694738993.3222373,10.25390625,-37.59765625,-93.26171875,-0.9765625,0.0
1694738993.326139,-5.37109375,-48.33984375,-93.75,9.765625,0.0
1694738993.3300407,-2.9296875,-42.96875,-92.7734375,20.99609375,0.0
1694738993.3339424,16.6015625,-41.50390625,-92.28515625,3.90625,0.0
1694738993.3378444,20.01953125,-40.0390625,-91.796875,4.39453125,0.0
1694738993.341746,5.37109375,-35.64453125,-95.703125,-9.27734375,0.0
1694738993.3456478,-10.7421875,-45.41015625,-99.12109375,-16.6015625,0.0
1694738993.3495495,-22.94921875,-65.91796875,-93.26171875,9.27734375,0.0
1694738993.3534515,-9.27734375,-58.59375,-102.05078125,3.90625,0.0
1694738993.357412,-6.34765625,-49.8046875,-97.65625,-1.953125,0.0
1694738993.3613138,-7.32421875,-55.17578125,-96.6796875,6.34765625,0.0
1694738993.3652155,-4.39453125,-49.31640625,-96.6796875,9.765625,0.0
1694738993.3691173,-8.30078125,-46.875,-90.8203125,5.859375,0.0
1694738993.3730192,-7.8125,-54.6875,-97.65625,0.0,0.0
1694738993.376921,-8.7890625,-66.89453125,-102.05078125,12.6953125,0.0
1694738993.3808227,-0.48828125,-69.82421875,-93.75,16.11328125,0.0
1694738993.3847244,15.13671875,-56.640625,-92.7734375,6.8359375,0.0
1694738993.3886263,19.53125,-48.828125,-91.30859375,7.32421875,0.0
1694738993.392528,9.27734375,-60.546875,-87.40234375,5.37109375,0.0
1694738993.3964298,7.8125,-56.15234375,-85.9375,-1.46484375,0.0
1694738993.4003317,4.8828125,-50.78125,-88.8671875,-2.44140625,0.0
1694738993.4042954,-11.23046875,-65.91796875,-91.796875,3.41796875,0.0
1694738993.4081974,-4.39453125,-66.89453125,-90.33203125,-5.37109375,0.0
1694738993.4120991,15.13671875,-51.7578125,-90.8203125,-3.41796875,0.0
1694738993.4160008,17.578125,-41.9921875,-90.8203125,11.23046875,0.0
1694738993.4199026,13.671875,-46.38671875,-92.7734375,15.13671875,0.0
1694738993.4238045,5.859375,-53.22265625,-93.26171875,21.484375,0.0
1694738993.4277062,2.44140625,-59.5703125,-88.8671875,19.53125,0.0
1694738993.431608,6.34765625,-41.50390625,-90.8203125,4.39453125,0.0
1694738993.43551,12.20703125,-29.296875,-102.05078125,-3.90625,0.0
1694738993.4394116,11.23046875,-43.45703125,-101.5625,9.27734375,0.0
1694738993.4433134,5.859375,-36.1328125,-92.7734375,7.8125,0.0
1694738993.447215,11.23046875,-31.73828125,-87.40234375,9.27734375,0.0
1694738993.4511726,32.2265625,-32.71484375,-74.70703125,30.2734375,0.0
1694738993.4550743,23.92578125,-23.4375,-70.3125,25.87890625,0.0
1694738993.458976,0.48828125,-19.53125,-80.078125,5.37109375,0.0
1694738993.462878,-16.11328125,-25.390625,-82.51953125,-8.30078125,0.0
1694738993.4667797,-5.37109375,-30.76171875,-84.47265625,-5.859375,0.0
1694738993.4706814,6.8359375,-23.92578125,-84.47265625,2.44140625,0.0
1694738993.4745831,-6.8359375,-18.06640625,-76.66015625,4.8828125,0.0
1694738993.478485,-2.9296875,-11.23046875,-75.1953125,12.20703125,0.0
1694738993.4823868,-6.34765625,-21.484375,-80.56640625,14.16015625,0.0
1694738993.4862885,-11.71875,-30.76171875,-84.47265625,7.8125,0.0
1694738993.4901905,-7.32421875,-21.484375,-88.37890625,-1.46484375,0.0
1694738993.4940922,7.8125,-15.625,-90.33203125,4.39453125,0.0
1694738993.4980423,8.7890625,-17.578125,-84.9609375,11.23046875,0.0
1694738993.501944,-2.9296875,-15.625,-83.49609375,10.7421875,0.0
1694738993.5058458,-7.32421875,-19.04296875,-81.0546875,16.6015625,0.0
1694738993.5097477,-11.23046875,-28.80859375,-84.47265625,0.0,0.0
1694738993.5136495,-8.7890625,-32.71484375,-91.796875,-9.27734375,0.0
1694738993.5175512,-13.18359375,-36.62109375,-85.44921875,1.953125,0.0
1694738993.5214531,-24.90234375,-39.0625,-83.0078125,-2.44140625,0.0
1694738993.5253549,-11.71875,-33.69140625,-89.35546875,-5.37109375,0.0
1694738993.5292566,-6.34765625,-29.78515625,-91.30859375,1.953125,0.0
1694738993.5331583,-11.23046875,-17.08984375,-93.26171875,0.9765625,0.0
1694738993.5370603,-10.25390625,-14.6484375,-96.6796875,0.9765625,0.0
1694738993.540962,-11.71875,-19.53125,-96.19140625,-3.41796875,0.0
1694738993.5449054,-20.99609375,-21.484375,-103.515625,-5.37109375,0.0
1694738993.5488074,-28.3203125,-42.96875,-104.98046875,-4.39453125,0.0
1694738993.552709,-27.34375,-43.45703125,-108.3984375,-2.44140625,0.0
1694738993.5566108,-10.7421875,-21.484375,-106.93359375,1.953125,0.0
1694738993.5605125,8.30078125,-13.671875,-93.75,4.8828125,0.0
1694738993.5644145,-0.9765625,-15.13671875,-99.609375,6.8359375,0.0
1694738993.5683162,-0.48828125,-14.6484375,-97.16796875,6.8359375,0.0
1694738993.572218,11.23046875,-16.11328125,-92.7734375,9.27734375,0.0
1694738993.57612,-8.7890625,-20.99609375,-94.7265625,11.23046875,0.0
1694738993.5800216,-15.13671875,-34.66796875,-87.40234375,19.53125,0.0
1694738993.5839233,9.765625,-42.96875,-89.35546875,16.6015625,0.0
1694738993.5878253,9.765625,-38.0859375,-94.23828125,-1.953125,0.0
1694738993.591781,-7.32421875,-39.55078125,-96.19140625,-13.671875,0.0
1694738993.5956826,-18.06640625,-44.43359375,-92.28515625,-28.80859375,0.0
1694738993.5995846,-8.30078125,-49.31640625,-93.26171875,-27.83203125,0.0
1694738993.6034863,-6.8359375,-51.7578125,-96.6796875,-19.53125,0.0
1694738993.607388,-10.7421875,-56.640625,-96.19140625,-19.53125,0.0
1694738993.61129,-16.11328125,-65.91796875,-101.5625,-20.99609375,0.0
1694738993.6151917,-24.90234375,-68.359375,-107.91015625,-12.20703125,0.0
1694738993.6190934,-16.11328125,-70.3125,-104.00390625,1.46484375,0.0
1694738993.6229954,-19.53125,-65.4296875,-99.12109375,-12.20703125,0.0
1694738993.626897,-13.18359375,-58.59375,-98.14453125,-15.625,0.0
1694738993.6307988,-1.46484375,-64.453125,-97.65625,-8.7890625,0.0
1694738993.6347008,-9.27734375,-70.80078125,-96.6796875,-13.671875,0.0
1694738993.6386416,-14.6484375,-67.87109375,-92.28515625,-5.37109375,0.0
1694738993.6425433,-14.16015625,-69.82421875,-88.37890625,-3.90625,0.0
1694738993.646445,-8.30078125,-71.2890625,-91.796875,-2.9296875,0.0
1694738993.650347,-0.48828125,-69.3359375,-101.5625,-3.41796875,0.0
1694738993.6542487,-5.859375,-70.80078125,-97.65625,-5.37109375,0.0
1694738993.6581504,-2.44140625,-71.2890625,-92.28515625,-1.46484375,0.0
1694738993.6620524,6.8359375,-69.82421875,-94.7265625,-0.48828125,0.0
1694738993.665954,-1.46484375,-71.77734375,-90.8203125,-5.37109375,0.0
1694738993.6698558,-10.7421875,-76.66015625,-92.7734375,2.9296875,0.0
1694738993.6737578,-10.25390625,-82.03125,-95.21484375,-0.48828125,0.0
1694738993.6776595,2.9296875,-69.82421875,-93.75,-14.16015625,0.0
1694738993.6815612,8.30078125,-61.5234375,-93.26171875,-19.04296875,0.0
1694738993.6854942,-1.953125,-68.84765625,-87.890625,-16.6015625,0.0
1694738993.689396,10.7421875,-70.80078125,-87.40234375,-4.8828125,0.0
1694738993.6932979,13.671875,-71.77734375,-92.7734375,-5.37109375,0.0
1694738993.6971996,5.37109375,-68.84765625,-90.33203125,-9.27734375,0.0
1694738993.7011013,12.20703125,-70.3125,-91.796875,-8.7890625,0.0
1694738993.7050033,6.8359375,-75.68359375,-86.9140625,2.9296875,0.0
1694738993.708905,-0.9765625,-83.49609375,-82.03125,1.953125,0.0
1694738993.7128067,-4.8828125,-78.61328125,-83.984375,-4.39453125,0.0
1694738993.7167087,1.46484375,-63.4765625,-84.47265625,-9.27734375,0.0
1694738993.7206104,6.8359375,-76.66015625,-78.125,-1.46484375,0.0
1694738993.724512,16.6015625,-82.03125,-73.2421875,5.37109375,0.0
1694738993.728414,19.53125,-73.73046875,-75.68359375,-4.8828125,0.0
1694738993.7323773,9.765625,-77.1484375,-77.63671875,-5.859375,0.0
1694738993.7362792,-7.32421875,-76.66015625,-80.078125,-10.25390625,0.0
1694738993.740181,-13.18359375,-77.63671875,-80.56640625,-20.99609375,0.0
1694738993.7440827,-11.23046875,-73.2421875,-79.58984375,-23.4375,0.0
1694738993.7479846,-21.97265625,-78.61328125,-76.171875,-4.39453125,0.0
1694738993.7518864,-8.7890625,-90.33203125,-75.68359375,17.08984375,0.0
1694738993.7557883,-3.90625,-86.42578125,-83.49609375,0.9765625,0.0
1694738993.75969,-15.13671875,-74.21875,-81.54296875,-3.41796875,0.0
1694738993.7635918,-4.39453125,-76.171875,-79.1015625,17.08984375,0.0
1694738993.7674937,-3.41796875,-84.47265625,-84.9609375,9.765625,0.0
1694738993.7713954,-16.6015625,-71.2890625,-77.63671875,-3.41796875,0.0
1694738993.7752972,-19.04296875,-62.01171875,-75.68359375,-1.46484375,0.0
1694738993.7792542,-16.6015625,-65.91796875,-76.171875,-1.953125,0.0
1694738993.783156,-0.9765625,-68.84765625,-76.66015625,2.9296875,0.0
1694738993.7870579,-0.9765625,-66.89453125,-82.03125,-2.44140625,0.0
1694738993.7909596,-1.953125,-62.5,-83.0078125,-16.6015625,0.0
1694738993.7948616,1.46484375,-61.5234375,-81.54296875,-20.01953125,0.0
1694738993.7987633,-5.859375,-71.2890625,-82.51953125,-18.06640625,0.0
1694738993.802665,-6.8359375,-67.87109375,-81.0546875,-7.32421875,0.0
1694738993.806567,-7.8125,-62.01171875,-80.078125,-5.859375,0.0
1694738993.8104687,-1.46484375,-73.2421875,-90.33203125,-10.7421875,0.0
1694738993.8143704,-0.48828125,-71.77734375,-93.75,-17.578125,0.0
1694738993.8182724,-13.18359375,-53.22265625,-91.796875,-15.13671875,0.0
