time,TP9,AF7,AF8,TP10,Right AUX
1694471961.3313913,236.81640625,328.61328125,-459.47265625,-1000.0,0.0
1694471961.3352954,-1000.0,-1000.0,-601.5625,-566.89453125,0.0
1694471961.3391995,-361.328125,-874.51171875,-560.546875,-936.5234375,0.0
1694471961.3431036,-842.7734375,608.88671875,-464.35546875,392.578125,0.0
1694471961.3470078,499.0234375,654.78515625,-496.58203125,-1000.0,0.0
1694471961.3509119,-1000.0,-833.984375,-566.40625,-1000.0,0.0
1694471961.3548162,-763.671875,-1000.0,-585.44921875,389.16015625,0.0
1694471961.3587203,823.2421875,103.515625,-409.1796875,875.48828125,0.0
1694471961.3626244,988.76953125,995.1171875,-375.0,-659.1796875,0.0
1694471961.3665285,-487.79296875,-324.70703125,-583.0078125,-1000.0,0.0
1694471961.3704326,-1000.0,-1000.0,-595.703125,-144.53125,0.0
1694471961.3743367,84.9609375,-263.671875,-508.30078125,-889.16015625,0.0
1694471961.3782606,-780.76171875,-893.5546875,-474.609375,-117.1875,0.0
1694471961.382165,82.03125,92.7734375,-559.5703125,-1000.0,0.0
1694471961.386069,-1000.0,-1000.0,-582.03125,-257.32421875,0.0
1694471961.3899732,-247.55859375,-614.74609375,-496.58203125,-842.7734375,0.0
1694471961.3938773,-808.10546875,905.2734375,-463.37890625,239.2578125,0.0
1694471961.3977814,241.2109375,386.23046875,-504.8828125,-1000.0,0.0
1694471961.4016855,-1000.0,-1000.0,-546.38671875,-650.390625,0.0
1694471961.4055896,-424.31640625,-941.40625,-488.76953125,995.1171875,0.0
1694471961.4094937,-877.9296875,483.3984375,-481.4453125,430.6640625,0.0
1694471961.4133978,597.65625,759.27734375,-507.32421875,-1000.0,0.0
1694471961.4173021,-1000.0,-708.984375,-570.80078125,-1000.0,0.0
1694471961.4212062,-861.81640625,-1000.0,-577.63671875,253.90625,0.0
1694471961.4251275,666.015625,19.53125,-500.48828125,979.4921875,0.0
1694471961.4290316,-874.0234375,-913.0859375,-473.6328125,-515.625,0.0
1694471961.432936,-238.28125,-132.32421875,-541.50390625,-1000.0,0.0
1694471961.43684,-1000.0,-1000.0,-602.5390625,-189.94140625,0.0
1694471961.4407442,-55.17578125,-305.6640625,-511.23046875,-833.0078125,0.0
1694471961.4446483,-780.2734375,-861.81640625,-437.5,167.96875,0.0
1694471961.4485524,213.8671875,208.49609375,-462.890625,-1000.0,0.0
1694471961.4524565,-1000.0,-1000.0,-534.1796875,-308.59375,0.0
1694471961.4563606,-267.08984375,-590.8203125,-543.9453125,-830.078125,0.0
1694471961.4602647,-798.33984375,938.96484375,-466.30859375,279.296875,0.0
1694471961.4641688,311.03515625,524.4140625,-501.46484375,-1000.0,0.0
1694471961.468073,-1000.0,-995.1171875,-583.49609375,-703.125,0.0
1694471961.4719965,-439.453125,-950.68359375,-568.359375,910.15625,0.0
1694471961.4759007,-921.38671875,471.19140625,-460.44921875,734.86328125,0.0
1694471961.4798048,785.64453125,937.01171875,-440.91796875,-819.82421875,0.0
1694471961.4837089,-757.32421875,-470.703125,-567.87109375,-1000.0,0.0
1694471961.487613,-1000.0,-1000.0,-595.703125,161.1328125,0.0
1694471961.491517,421.875,-56.640625,-451.171875,-798.33984375,0.0
1694471961.4954212,-798.828125,-843.75,-376.953125,-21.97265625,0.0
1694471961.4993255,-84.9609375,33.203125,-501.46484375,-1000.0,0.0
1694471961.5032296,-1000.0,-1000.0,-583.0078125,-222.16796875,0.0
1694471961.5071337,-48.828125,-318.359375,-473.14453125,-810.05859375,0.0
1694471961.5110378,-768.06640625,-849.609375,-429.19921875,223.6328125,0.0
1694471961.514942,210.44921875,284.66796875,-544.921875,-1000.0,0.0
1694471961.5188727,-1000.0,-1000.0,-596.6796875,-375.9765625,0.0
1694471961.5227768,-272.94921875,-705.56640625,-510.25390625,-849.609375,0.0
1694471961.526681,-799.31640625,830.56640625,-452.1484375,345.21484375,0.0
1694471961.530585,379.39453125,570.3125,-514.16015625,-1000.0,0.0
1694471961.5344892,-1000.0,-923.33984375,-583.984375,-801.7578125,0.0
1694471961.5383933,-548.828125,-1000.0,-497.0703125,825.1953125,0.0
1694471961.5422974,960.44921875,253.90625,-422.8515625,773.4375,0.0
1694471961.5462015,863.76953125,944.82421875,-494.140625,-769.53125,0.0
1694471961.5501058,-672.8515625,-438.4765625,-574.70703125,-1000.0,0.0
1694471961.55401,-1000.0,-1000.0,-572.265625,44.43359375,0.0
1694471961.557914,272.94921875,-150.87890625,-503.90625,-844.7265625,0.0
1694471961.5618181,-793.9453125,-882.8125,-474.12109375,-128.41796875,0.0
1694471961.5657496,-48.33984375,19.04296875,-519.04296875,-1000.0,0.0
1694471961.5696537,-1000.0,-1000.0,-573.2421875,-224.12109375,0.0
1694471961.5735579,-212.890625,-479.98046875,-538.0859375,-824.70703125,0.0
1694471961.577462,-806.640625,-972.65625,-477.05078125,230.46875,0.0
1694471961.581366,236.328125,285.15625,-500.0,-1000.0,0.0
1694471961.5852702,-1000.0,-1000.0,-565.4296875,-481.4453125,0.0
1694471961.5891743,-337.890625,-869.140625,-543.9453125,-893.06640625,0.0
1694471961.5930784,-833.0078125,604.98046875,-468.26171875,396.484375,0.0
1694471961.5969827,463.37890625,605.95703125,-443.359375,-1000.0,0.0
1694471961.6008868,-1000.0,-884.765625,-524.4140625,-1000.0,0.0
1694471961.604791,-736.328125,-1000.0,-594.7265625,498.046875,0.0
1694471961.608695,845.21484375,129.8828125,-504.8828125,884.765625,0.0
1694471961.6126237,983.3984375,987.3046875,-478.02734375,-658.203125,0.0
1694471961.6165278,-505.37109375,-345.21484375,-577.63671875,-1000.0,0.0
1694471961.620432,-1000.0,-1000.0,-600.5859375,-78.125,0.0
1694471961.624336,153.3203125,-216.796875,-503.90625,-820.80078125,0.0
1694471961.62824,-773.92578125,-867.67578125,-462.890625,59.08203125,0.0
1694471961.6321442,75.68359375,108.3984375,-527.34375,-1000.0,0.0
1694471961.6360483,-1000.0,-1000.0,-578.125,-243.1640625,0.0
1694471961.6399527,-248.046875,-541.015625,-542.96875,-813.96484375,0.0
1694471961.6438568,-804.19921875,987.79296875,-388.18359375,283.203125,0.0
1694471961.6477609,236.81640625,397.94921875,-427.734375,-1000.0,0.0
1694471961.651665,-1000.0,-1000.0,-618.1640625,-545.41015625,0.0
1694471961.655569,-337.40234375,-875.9765625,-551.7578125,-939.453125,0.0
1694471961.659499,-845.703125,587.40234375,-462.40234375,626.953125,0.0
1694471961.663403,599.609375,795.8984375,-498.046875,-941.89453125,0.0
1694471961.6673071,-1000.0,-684.08203125,-594.7265625,-1000.0,0.0
1694471961.6712115,-757.32421875,-1000.0,-563.96484375,413.57421875,0.0
1694471961.6751156,794.43359375,91.796875,-454.58984375,-826.66015625,0.0
1694471961.6790197,-883.7890625,-894.04296875,-444.82421875,-198.2421875,0.0
1694471961.6829238,-222.65625,-107.91015625,-536.1328125,-1000.0,0.0
1694471961.686828,-1000.0,-1000.0,-536.1328125,33.69140625,0.0
1694471961.690732,8.30078125,-259.765625,-440.91796875,-787.59765625,0.0
1694471961.694636,-768.5546875,-836.9140625,-469.7265625,204.58984375,0.0
1694471961.6985402,206.54296875,224.12109375,-532.2265625,-1000.0,0.0
1694471961.7024446,-1000.0,-1000.0,-583.0078125,-267.578125,0.0
1694471961.706368,-268.06640625,-535.64453125,-540.0390625,-805.6640625,0.0
1694471961.710272,-797.36328125,-998.53515625,-472.65625,377.9296875,0.0
1694471961.7141762,311.03515625,505.37109375,-507.8125,-1000.0,0.0
1694471961.7180803,-1000.0,-1000.0,-585.44921875,-586.9140625,0.0
1694471961.7219844,-420.41015625,-936.03515625,-556.640625,990.234375,0.0
1694471961.7258885,-894.53125,504.8828125,-447.265625,800.78125,0.0
1694471961.7297928,719.23828125,888.671875,-457.51953125,-727.05078125,0.0
1694471961.733697,-839.84375,-535.64453125,-506.34765625,-1000.0,0.0
1694471961.737601,-1000.0,-1000.0,-536.62109375,369.140625,0.0
1694471961.7415051,460.44921875,-44.43359375,-517.578125,-822.75390625,0.0
