time,tag,tr,flag
2023-09-21 14:54:29.907323,ct,,
2023-09-21 14:54:30.295660,click,,
2023-09-21 14:54:30.682215,mt,0.388337,comission error
2023-09-21 14:54:31.459921,ct,,omission error
2023-09-21 14:54:32.004892,click,,
2023-09-21 14:54:32.233710,ct,0.544971,correct comission
2023-09-21 14:54:32.877915,click,,
2023-09-21 14:54:33.008590,ct,0.644205,correct comission
2023-09-21 14:54:33.640770,click,,
2023-09-21 14:54:33.785361,ct,0.63218,correct comission
2023-09-21 14:54:34.368336,click,,
2023-09-21 14:54:34.560487,ct,0.582975,correct comission
2023-09-21 14:54:35.136194,click,,
2023-09-21 14:54:35.334115,ct,0.575707,correct comission
2023-09-21 14:54:36.009110,click,,
2023-09-21 14:54:36.107114,ct,0.674995,correct comission
2023-09-21 14:54:36.775868,click,,
2023-09-21 14:54:36.880573,ct,0.668754,correct comission
2023-09-21 14:54:37.532942,click,,
2023-09-21 14:54:37.655304,mt,0.652369,comission error
2023-09-21 14:54:38.428065,ct,,omission error
2023-09-21 14:54:39.199535,click,,
2023-09-21 14:54:39.204484,ct,0.77147,correct comission
2023-09-21 14:54:39.798623,click,,
2023-09-21 14:54:39.979530,ct,0.594139,correct comission
2023-09-21 14:54:40.513939,click,,
2023-09-21 14:54:40.754276,ct,0.534409,correct comission
2023-09-21 14:54:41.424208,click,,
2023-09-21 14:54:41.532403,ct,0.669932,correct comission
2023-09-21 14:54:42.392508,click,,
2023-09-21 14:54:42.306387,ct,0.860105,correct comission
2023-09-21 14:54:43.017961,click,,
2023-09-21 14:54:43.084079,ct,0.711574,correct comission
2023-09-21 14:54:43.603856,click,,
2023-09-21 14:54:43.859589,ct,0.519777,correct comission
2023-09-21 14:54:44.453261,click,,
2023-09-21 14:54:44.635587,ct,0.593672,correct comission
2023-09-21 14:54:45.347618,click,,
2023-09-21 14:54:45.413733,ct,0.712031,correct comission
2023-09-21 14:54:46.116834,click,,
2023-09-21 14:54:46.189926,mt,0.703101,comission error
2023-09-21 14:54:46.966078,ct,,omission error
2023-09-21 14:54:47.689051,click,,
2023-09-21 14:54:47.743590,ct,0.722973,correct comission
2023-09-21 14:54:48.409687,click,,
2023-09-21 14:54:48.520303,ct,0.666097,correct comission
2023-09-21 14:54:49.090232,click,,
2023-09-21 14:54:49.296064,ct,0.569929,correct comission
2023-09-21 14:54:49.930886,click,,
2023-09-21 14:54:50.072443,ct,0.634822,correct comission
2023-09-21 14:54:50.812497,click,,
2023-09-21 14:54:50.847626,ct,0.740054,correct comission
2023-09-21 14:54:51.651824,click,,
2023-09-21 14:54:51.625245,ct,0.804198,correct comission
2023-09-21 14:54:52.383881,click,,
2023-09-21 14:54:52.399868,ct,0.758636,correct comission
2023-09-21 14:54:53.103569,click,,
2023-09-21 14:54:53.177134,ct,0.703701,correct comission
2023-09-21 14:54:53.836344,click,,
2023-09-21 14:54:53.953093,ct,0.65921,correct comission
2023-09-21 14:54:54.642634,click,,
2023-09-21 14:54:54.727844,ct,0.689541,correct comission
2023-09-21 14:54:55.477868,click,,
2023-09-21 14:54:55.503495,ct,0.750024,correct comission
2023-09-21 14:54:56.137551,click,,
2023-09-21 14:54:56.279015,ct,0.634056,correct comission
2023-09-21 14:54:56.868373,click,,
2023-09-21 14:54:57.054442,mt,0.589358,comission error
2023-09-21 14:54:57.829703,ct,,omission error
2023-09-21 14:54:58.528276,click,,
2023-09-21 14:54:58.602890,ct,0.698573,correct comission
2023-09-21 14:54:59.302262,click,,
2023-09-21 14:54:59.377445,ct,0.699372,correct comission
2023-09-21 14:55:00.036729,click,,
2023-09-21 14:55:00.154463,ct,0.659284,correct comission
2023-09-21 14:55:00.798912,click,,
2023-09-21 14:55:00.928714,ct,0.644449,correct comission
2023-09-21 14:55:01.655025,click,,
2023-09-21 14:55:01.703610,ct,0.726311,correct comission
2023-09-21 14:55:02.453076,click,,
