time,tag,tr,flag
2023-09-22 15:08:26.362617,ct,,
2023-09-22 15:08:26.815047,click,,
2023-09-22 15:08:27.135907,ct,0.45243,correct comission
2023-09-22 15:08:27.533279,click,,
2023-09-22 15:08:27.910781,ct,0.397372,correct comission
2023-09-22 15:08:28.367701,click,,
2023-09-22 15:08:28.684875,ct,0.45692,correct comission
2023-09-22 15:08:29.287128,click,,
2023-09-22 15:08:29.460402,ct,0.602253,correct comission
2023-09-22 15:08:29.999723,click,,
2023-09-22 15:08:30.235091,ct,0.539321,correct comission
2023-09-22 15:08:30.770055,click,,
2023-09-22 15:08:31.009540,ct,0.534964,correct comission
2023-09-22 15:08:31.621046,click,,
2023-09-22 15:08:31.781397,ct,0.611506,correct comission
2023-09-22 15:08:32.395469,click,,
2023-09-22 15:08:32.556972,mt,0.614072,comission error
2023-09-22 15:08:33.186178,click,,
2023-09-22 15:08:33.332070,ct,0.629206,correct comission
2023-09-22 15:08:34.037171,click,,
2023-09-22 15:08:34.104911,ct,0.705101,correct comission
2023-09-22 15:08:35.029887,click,,
2023-09-22 15:08:34.876622,ct,0.924976,correct comission
2023-09-22 15:08:35.648790,ct,,omission error
2023-09-22 15:08:36.074597,click,,
2023-09-22 15:08:36.422068,ct,0.425807,correct comission
2023-09-22 15:08:37.055569,click,,
2023-09-22 15:08:37.196266,ct,0.633501,correct comission
2023-09-22 15:08:37.881577,click,,
2023-09-22 15:08:37.970612,ct,0.685311,correct comission
2023-09-22 15:08:38.674540,click,,
2023-09-22 15:08:38.744118,ct,0.703928,correct comission
2023-09-22 15:08:39.423772,click,,
2023-09-22 15:08:39.518755,ct,0.679654,correct comission
2023-09-22 15:08:40.248802,click,,
2023-09-22 15:08:40.292422,mt,0.730047,comission error
2023-09-22 15:08:41.066605,ct,,omission error
2023-09-22 15:08:41.680602,click,,
2023-09-22 15:08:41.839595,mt,0.613997,comission error
2023-09-22 15:08:42.460155,click,,
2023-09-22 15:08:42.611614,ct,0.62056,correct comission
2023-09-22 15:08:43.442451,click,,
2023-09-22 15:08:43.386398,ct,0.830837,correct comission
2023-09-22 15:08:44.163324,ct,,omission error
2023-09-22 15:08:44.613735,click,,
2023-09-22 15:08:44.939083,ct,0.450411,correct comission
2023-09-22 15:08:45.557730,click,,
2023-09-22 15:08:45.711984,ct,0.618647,correct comission
2023-09-22 15:08:46.313448,click,,
2023-09-22 15:08:46.485781,ct,0.601464,correct comission
2023-09-22 15:08:47.065412,click,,
2023-09-22 15:08:47.259445,ct,0.579631,correct comission
2023-09-22 15:08:47.817751,click,,
2023-09-22 15:08:48.034276,ct,0.558306,correct comission
2023-09-22 15:08:48.657383,click,,
2023-09-22 15:08:48.808898,ct,0.623107,correct comission
2023-09-22 15:08:49.723931,click,,
2023-09-22 15:08:49.585243,ct,0.915033,correct comission
2023-09-22 15:08:50.519388,click,,
2023-09-22 15:08:50.360250,ct,0.934145,correct comission
2023-09-22 15:08:51.271810,click,,
