time,tag,tr,flag
2023-09-22 16:45:30.707576,ct,,
2023-09-22 16:45:31.490496,click,,
2023-09-22 16:45:31.483686,ct,0.78292,correct comission
2023-09-22 16:45:32.122226,click,,
2023-09-22 16:45:32.317448,mt,0.63854,comission error
2023-09-22 16:45:32.925966,click,,
2023-09-22 16:45:33.093663,ct,0.608518,correct comission
2023-09-22 16:45:33.755116,click,,
2023-09-22 16:45:33.870769,ct,0.661453,correct comission
2023-09-22 16:45:34.538290,click,,
2023-09-22 16:45:34.647532,ct,0.667521,correct comission
2023-09-22 16:45:35.251998,click,,
2023-09-22 16:45:35.424072,ct,0.604466,correct comission
2023-09-22 16:45:36.104703,click,,
2023-09-22 16:45:36.198696,ct,0.680631,correct comission
2023-09-22 16:45:36.807598,click,,
2023-09-22 16:45:36.977261,ct,0.608902,correct comission
2023-09-22 16:45:37.580162,click,,
2023-09-22 16:45:37.751880,ct,0.602901,correct comission
2023-09-22 16:45:38.351194,click,,
2023-09-22 16:45:38.531272,ct,0.599314,correct comission
2023-09-22 16:45:39.064923,click,,
2023-09-22 16:45:39.307861,ct,0.533651,correct comission
2023-09-22 16:45:39.790406,click,,
2023-09-22 16:45:40.084433,ct,0.482545,correct comission
2023-09-22 16:45:40.599051,click,,
2023-09-22 16:45:40.861076,ct,0.514618,correct comission
2023-09-22 16:45:41.344659,click,,
2023-09-22 16:45:41.637890,ct,0.483583,correct comission
2023-09-22 16:45:42.278918,click,,
2023-09-22 16:45:42.414062,mt,0.641028,comission error
2023-09-22 16:45:43.190959,ct,,omission error
2023-09-22 16:45:43.631480,click,,
2023-09-22 16:45:43.965827,ct,0.440521,correct comission
2023-09-22 16:45:44.418033,click,,
2023-09-22 16:45:44.741347,ct,0.452206,correct comission
2023-09-22 16:45:45.179954,click,,
2023-09-22 16:45:45.517622,mt,0.438607,comission error
2023-09-22 16:45:45.953663,click,,
2023-09-22 16:45:46.293381,ct,0.436041,correct comission
2023-09-22 16:45:46.927340,click,,
2023-09-22 16:45:47.066891,ct,0.633959,correct comission
2023-09-22 16:45:47.623983,click,,
2023-09-22 16:45:47.842742,ct,0.557092,correct comission
2023-09-22 16:45:48.317285,click,,
2023-09-22 16:45:48.620666,ct,0.474543,correct comission
2023-09-22 16:45:49.039973,click,,
2023-09-22 16:45:49.395705,ct,0.419307,correct comission
2023-09-22 16:45:49.768494,click,,
2023-09-22 16:45:50.172604,ct,0.372789,correct comission
2023-09-22 16:45:50.950273,ct,,omission error
2023-09-22 16:45:51.304123,click,,
2023-09-22 16:45:51.728383,ct,0.35385,correct comission
2023-09-22 16:45:52.141815,click,,
2023-09-22 16:45:52.504261,ct,0.413432,correct comission
2023-09-22 16:45:52.906085,click,,
2023-09-22 16:45:53.281113,ct,0.401824,correct comission
2023-09-22 16:45:53.699643,click,,
2023-09-22 16:45:54.055811,mt,0.41853,comission error
2023-09-22 16:45:54.468529,click,,
2023-09-22 16:45:54.832274,ct,0.412718,correct comission
2023-09-22 16:45:55.553695,click,,
2023-09-22 16:45:55.609004,ct,0.721421,correct comission
2023-09-22 16:45:56.322629,click,,
2023-09-22 16:45:56.384484,ct,0.713625,correct comission
2023-09-22 16:45:56.977502,click,,
2023-09-22 16:45:57.160876,ct,0.593018,correct comission
2023-09-22 16:45:57.830622,click,,
2023-09-22 16:45:57.934829,ct,0.669746,correct comission
2023-09-22 16:45:58.626500,click,,
2023-09-22 16:45:58.710170,ct,0.691671,correct comission
2023-09-22 16:45:59.425000,click,,
2023-09-22 16:45:59.488099,ct,0.71483,correct comission
2023-09-22 16:46:00.361379,click,,
2023-09-22 16:46:00.265743,ct,0.87328,correct comission
2023-09-22 16:46:01.063391,click,,
2023-09-22 16:46:01.042008,ct,0.797648,correct comission
2023-09-22 16:46:01.912443,click,,
2023-09-22 16:46:01.817889,ct,0.870435,correct comission
2023-09-22 16:46:02.682527,click,,
2023-09-22 16:46:02.593864,ct,0.864638,correct comission
2023-09-22 16:46:03.329240,click,,
2023-09-22 16:46:03.368167,mt,0.735376,comission error
2023-09-22 16:46:04.142742,ct,,omission error
2023-09-22 16:46:04.551030,click,,
2023-09-22 16:46:04.918352,ct,0.408288,correct comission
2023-09-22 16:46:05.305626,click,,
2023-09-22 16:46:05.694229,ct,0.387274,correct comission
2023-09-22 16:46:06.470968,ct,,omission error
2023-09-22 16:46:06.828298,click,,
2023-09-22 16:46:07.245638,ct,0.35733,correct comission
2023-09-22 16:46:08.236345,click,,
2023-09-22 16:46:08.024309,ct,0.990707,correct comission
2023-09-22 16:46:08.903463,click,,
2023-09-22 16:46:08.799388,ct,0.879154,correct comission
2023-09-22 16:46:09.610784,click,,
2023-09-22 16:46:09.575736,mt,0.811396,comission error
2023-09-22 16:46:10.280683,click,,
2023-09-22 16:46:10.350540,ct,0.704947,correct comission
2023-09-22 16:46:11.039760,click,,
2023-09-22 16:46:11.125770,ct,0.68922,correct comission
2023-09-22 16:46:11.808364,click,,
2023-09-22 16:46:11.902644,ct,0.682594,correct comission
2023-09-22 16:46:12.428099,click,,
2023-09-22 16:46:12.677231,ct,0.525455,correct comission
2023-09-22 16:46:13.144446,click,,
2023-09-22 16:46:13.454517,ct,0.467215,correct comission
2023-09-22 16:46:13.888854,click,,
2023-09-22 16:46:14.231019,ct,0.434337,correct comission
2023-09-22 16:46:14.603442,click,,
2023-09-22 16:46:15.005912,ct,0.372423,correct comission
2023-09-22 16:46:15.890129,click,,
2023-09-22 16:46:15.781364,ct,0.884217,correct comission
2023-09-22 16:46:16.645775,click,,
2023-09-22 16:46:16.555671,ct,0.864411,correct comission
2023-09-22 16:46:17.481240,click,,
2023-09-22 16:46:17.330512,ct,0.925569,correct comission
2023-09-22 16:46:18.204350,click,,
2023-09-22 16:46:18.107577,ct,0.873838,correct comission
2023-09-22 16:46:18.939807,click,,
2023-09-22 16:46:18.881973,ct,0.83223,correct comission
2023-09-22 16:46:19.573541,click,,
2023-09-22 16:46:19.659625,ct,0.691568,correct comission
2023-09-22 16:46:20.368884,click,,
2023-09-22 16:46:20.433857,mt,0.709259,comission error
2023-09-22 16:46:21.209578,ct,,omission error
2023-09-22 16:46:21.661034,click,,
2023-09-22 16:46:21.984791,ct,0.451456,correct comission
2023-09-22 16:46:22.387901,click,,
2023-09-22 16:46:22.762797,ct,0.40311,correct comission
2023-09-22 16:46:23.118982,click,,
2023-09-22 16:46:23.537845,ct,0.356185,correct comission
2023-09-22 16:46:23.933231,click,,
2023-09-22 16:46:24.311159,ct,0.395386,correct comission
2023-09-22 16:46:24.639823,click,,
2023-09-22 16:46:25.087402,ct,0.328664,correct comission
2023-09-22 16:46:26.083744,click,,
2023-09-22 16:46:25.862212,ct,0.996342,correct comission
2023-09-22 16:46:26.720969,click,,
2023-09-22 16:46:26.635834,ct,0.858757,correct comission
2023-09-22 16:46:27.423864,click,,
2023-09-22 16:46:27.413010,ct,0.78803,correct comission
2023-09-22 16:46:28.177463,click,,
2023-09-22 16:46:28.190612,mt,0.764453,comission error
2023-09-22 16:46:28.965434,ct,,omission error
2023-09-22 16:46:29.385682,click,,
2023-09-22 16:46:29.741196,ct,0.420248,correct comission
2023-09-22 16:46:30.099343,click,,
2023-09-22 16:46:30.516789,ct,0.358147,correct comission
2023-09-22 16:46:31.386924,click,,
2023-09-22 16:46:31.291831,ct,0.870135,correct comission
2023-09-22 16:46:32.161918,click,,
2023-09-22 16:46:32.067267,mt,0.870087,comission error
2023-09-22 16:46:32.841667,ct,,omission error
2023-09-22 16:46:33.234327,click,,
2023-09-22 16:46:33.619547,ct,0.39266,correct comission
2023-09-22 16:46:33.964454,click,,
2023-09-22 16:46:34.396304,ct,0.344907,correct comission
2023-09-22 16:46:35.232889,click,,
2023-09-22 16:46:35.169967,ct,0.836585,correct comission
2023-09-22 16:46:35.904033,click,,
2023-09-22 16:46:35.944214,ct,0.734066,correct comission
2023-09-22 16:46:36.623041,click,,
2023-09-22 16:46:36.719039,ct,0.678827,correct comission
2023-09-22 16:46:37.252573,click,,
2023-09-22 16:46:37.495130,ct,0.533534,correct comission
2023-09-22 16:46:37.969652,click,,
2023-09-22 16:46:38.271138,ct,0.474522,correct comission
2023-09-22 16:46:38.732240,click,,
2023-09-22 16:46:39.046901,ct,0.461102,correct comission
2023-09-22 16:46:39.498268,click,,
2023-09-22 16:46:39.823000,ct,0.451367,correct comission
2023-09-22 16:46:40.294191,click,,
2023-09-22 16:46:40.599981,ct,0.471191,correct comission
2023-09-22 16:46:41.089382,click,,
2023-09-22 16:46:41.375567,ct,0.489401,correct comission
2023-09-22 16:46:41.957962,click,,
2023-09-22 16:46:42.152803,ct,0.582395,correct comission
2023-09-22 16:46:42.837821,click,,
2023-09-22 16:46:42.929721,ct,0.685018,correct comission
2023-09-22 16:46:43.598757,click,,
2023-09-22 16:46:43.706384,ct,0.669036,correct comission
2023-09-22 16:46:44.423987,click,,
2023-09-22 16:46:44.483851,mt,0.717603,comission error
2023-09-22 16:46:45.259617,ct,,omission error
2023-09-22 16:46:45.679032,click,,
2023-09-22 16:46:46.034303,ct,0.419415,correct comission
2023-09-22 16:46:46.463931,click,,
2023-09-22 16:46:46.809345,ct,0.429628,correct comission
2023-09-22 16:46:47.225109,click,,
2023-09-22 16:46:47.584935,mt,0.415764,comission error
2023-09-22 16:46:48.360429,ct,,omission error
2023-09-22 16:46:48.832819,click,,
2023-09-22 16:46:49.136974,ct,0.47239,correct comission
2023-09-22 16:46:49.628646,click,,
2023-09-22 16:46:49.912777,ct,0.491672,correct comission
2023-09-22 16:46:50.353921,click,,
2023-09-22 16:46:50.689076,ct,0.441144,correct comission
2023-09-22 16:46:51.176148,click,,
2023-09-22 16:46:51.465076,ct,0.487072,correct comission
2023-09-22 16:46:51.926415,click,,
