time,tag,tr,flag
2023-09-23 05:40:46.872643,ct,,
2023-09-23 05:40:47.253465,click,,
2023-09-23 05:40:47.650157,ct,0.380822,correct comission
2023-09-23 05:40:48.514441,click,,
2023-09-23 05:40:48.427728,ct,0.864284,correct comission
2023-09-23 05:40:49.142770,click,,
2023-09-23 05:40:49.202900,ct,0.715042,correct comission
2023-09-23 05:40:49.789624,click,,
2023-09-23 05:40:49.977895,mt,0.586724,comission error
2023-09-23 05:40:50.642569,click,,
2023-09-23 05:40:50.753801,ct,0.664674,correct comission
2023-09-23 05:40:51.442584,click,,
2023-09-23 05:40:51.531659,ct,0.688783,correct comission
2023-09-23 05:40:52.236448,click,,
2023-09-23 05:40:52.306890,ct,0.704789,correct comission
2023-09-23 05:40:53.017844,click,,
2023-09-23 05:40:53.083340,ct,0.710954,correct comission
2023-09-23 05:40:53.823727,click,,
2023-09-23 05:40:53.858130,ct,0.740387,correct comission
2023-09-23 05:40:54.599571,click,,
2023-09-23 05:40:54.635384,ct,0.741441,correct comission
2023-09-23 05:40:55.370978,click,,
2023-09-23 05:40:55.410620,ct,0.735594,correct comission
2023-09-23 05:40:56.302224,click,,
2023-09-23 05:40:56.186405,ct,0.891604,correct comission
2023-09-23 05:40:56.938274,click,,
2023-09-23 05:40:56.962051,ct,0.751869,correct comission
2023-09-23 05:40:57.690578,click,,
2023-09-23 05:40:57.737397,ct,0.728527,correct comission
2023-09-23 05:40:58.608643,click,,
2023-09-23 05:40:58.512676,ct,0.871246,correct comission
2023-09-23 05:40:59.387219,click,,
2023-09-23 05:40:59.288771,ct,0.874543,correct comission
2023-09-23 05:41:00.215861,click,,
2023-09-23 05:41:00.066630,ct,0.92709,correct comission
2023-09-23 05:41:00.929997,click,,
2023-09-23 05:41:00.845118,mt,0.863367,comission error
2023-09-23 05:41:01.622352,ct,,omission error
2023-09-23 05:41:02.249733,click,,
2023-09-23 05:41:02.399101,ct,0.627381,correct comission
2023-09-23 05:41:03.045792,click,,
2023-09-23 05:41:03.176450,ct,0.646691,correct comission
2023-09-23 05:41:03.975837,click,,
2023-09-23 05:41:03.953248,ct,0.799387,correct comission
2023-09-23 05:41:04.712724,click,,
2023-09-23 05:41:04.729708,mt,0.759476,comission error
2023-09-23 05:41:05.508674,ct,,omission error
2023-09-23 05:41:06.157744,click,,
2023-09-23 05:41:06.286226,ct,0.64907,correct comission
2023-09-23 05:41:07.154425,click,,
2023-09-23 05:41:07.062022,ct,0.868199,correct comission
2023-09-23 05:41:08.008490,click,,
2023-09-23 05:41:07.838238,ct,0.946468,correct comission
2023-09-23 05:41:08.656956,click,,
2023-09-23 05:41:08.613723,ct,0.818718,correct comission
2023-09-23 05:41:09.464678,click,,
2023-09-23 05:41:09.390924,ct,0.850955,correct comission
2023-09-23 05:41:10.197498,click,,
2023-09-23 05:41:10.165693,mt,0.806574,comission error
2023-09-23 05:41:10.942267,ct,,omission error
2023-09-23 05:41:11.577421,click,,
2023-09-23 05:41:11.719310,ct,0.635154,correct comission
2023-09-23 05:41:12.194255,click,,
2023-09-23 05:41:12.494536,ct,0.474945,correct comission
2023-09-23 05:41:13.019056,click,,
2023-09-23 05:41:13.271239,ct,0.52452,correct comission
2023-09-23 05:41:13.877739,click,,
