time,tag,tr,flag
2023-09-23 06:19:21.984521,mt,,
2023-09-23 06:19:22.491419,click,,
2023-09-23 06:19:22.762247,ct,0.506898,correct comission
2023-09-23 06:19:23.254468,click,,
2023-09-23 06:19:23.541395,ct,0.492221,correct comission
2023-09-23 06:19:24.183388,click,,
2023-09-23 06:19:24.430339,ct,0.641993,correct comission
2023-09-23 06:19:25.082135,click,,
2023-09-23 06:19:25.211088,ct,0.651796,correct comission
2023-09-23 06:19:25.825922,click,,
2023-09-23 06:19:25.989221,ct,0.614834,correct comission
2023-09-23 06:19:26.628451,click,,
2023-09-23 06:19:26.763518,ct,0.63923,correct comission
2023-09-23 06:19:27.446938,click,,
2023-09-23 06:19:27.540814,ct,0.68342,correct comission
2023-09-23 06:19:28.523465,click,,
2023-09-23 06:19:28.317060,ct,0.982651,correct comission
2023-09-23 06:19:29.050086,click,,
2023-09-23 06:19:29.095425,mt,0.733026,comission error
2023-09-23 06:19:29.873726,ct,,omission error
2023-09-23 06:19:30.522840,click,,
2023-09-23 06:19:30.652901,ct,0.649114,correct comission
2023-09-23 06:19:31.371846,click,,
2023-09-23 06:19:31.429978,ct,0.718945,correct comission
2023-09-23 06:19:31.922146,click,,
2023-09-23 06:19:32.207705,ct,0.492168,correct comission
2023-09-23 06:19:32.823949,click,,
2023-09-23 06:19:32.987818,ct,0.616244,correct comission
2023-09-23 06:19:33.483501,click,,
2023-09-23 06:19:33.765898,ct,0.495683,correct comission
2023-09-23 06:19:34.430401,click,,
2023-09-23 06:19:34.544059,ct,0.664503,correct comission
2023-09-23 06:19:35.289381,click,,
2023-09-23 06:19:35.319732,ct,0.745322,correct comission
2023-09-23 06:19:35.859132,click,,
2023-09-23 06:19:36.100157,ct,0.5394,correct comission
2023-09-23 06:19:36.865051,click,,
2023-09-23 06:19:36.877060,ct,0.764894,correct comission
2023-09-23 06:19:37.789999,click,,
2023-09-23 06:19:37.654465,ct,0.912939,correct comission
2023-09-23 06:19:38.498439,click,,
2023-09-23 06:19:38.431571,ct,0.843974,correct comission
2023-09-23 06:19:39.078814,click,,
2023-09-23 06:19:39.208876,mt,0.647243,comission error
2023-09-23 06:19:39.987129,ct,,omission error
2023-09-23 06:19:40.320013,click,,
2023-09-23 06:19:40.765399,ct,0.332884,correct comission
2023-09-23 06:19:41.498477,click,,
2023-09-23 06:19:41.542547,ct,0.733078,correct comission
2023-09-23 06:19:42.016858,click,,
2023-09-23 06:19:42.320181,ct,0.474311,correct comission
2023-09-23 06:19:42.665769,click,,
2023-09-23 06:19:43.097126,ct,0.345588,correct comission
2023-09-23 06:19:43.916892,click,,
2023-09-23 06:19:43.874175,ct,0.819766,correct comission
2023-09-23 06:19:44.812858,click,,
