time,tag,tr,flag
2023-09-23 07:51:23.009264,ct,,
2023-09-23 07:51:23.788208,ct,,omission error
2023-09-23 07:51:24.563669,mt,,correct omission
2023-09-23 07:51:25.340913,ct,,omission error
2023-09-23 07:51:26.120407,ct,,omission error
2023-09-23 07:51:26.905214,click,,
2023-09-23 07:51:26.899525,ct,0.784807,correct comission
2023-09-23 07:51:27.677970,ct,,omission error
2023-09-23 07:51:28.331705,click,,
2023-09-23 07:51:28.455496,ct,0.653735,correct comission
2023-09-23 07:51:29.231155,ct,,omission error
2023-09-23 07:51:30.322669,click,,
2023-09-23 07:51:30.009288,ct,1.091514,correct comission
2023-09-23 07:51:30.787924,ct,,omission error
2023-09-23 07:51:31.714605,click,,
2023-09-23 07:51:31.565328,ct,0.926681,correct comission
2023-09-23 07:51:32.615367,click,,
2023-09-23 07:51:32.343326,mt,1.050039,comission error
2023-09-23 07:51:33.121777,ct,,omission error
2023-09-23 07:51:33.856672,click,,
2023-09-23 07:51:33.902478,ct,0.734895,correct comission
2023-09-23 07:51:34.679946,ct,,omission error
2023-09-23 07:51:35.250757,click,,
2023-09-23 07:51:35.456510,ct,0.570811,correct comission
2023-09-23 07:51:36.233858,ct,,omission error
2023-09-23 07:51:36.745594,click,,
2023-09-23 07:51:37.009659,ct,0.511736,correct comission
2023-09-23 07:51:37.788677,ct,,omission error
2023-09-23 07:51:38.138594,click,,
2023-09-23 07:51:38.567089,ct,0.349917,correct comission
2023-09-23 07:51:39.342276,mt,,correct omission
2023-09-23 07:51:40.161753,click,,
2023-09-23 07:51:40.119120,ct,0.819477,correct comission
2023-09-23 07:51:40.895667,ct,,omission error
2023-09-23 07:51:41.672734,ct,,omission error
2023-09-23 07:51:42.298238,click,,
2023-09-23 07:51:42.450124,ct,0.625504,correct comission
2023-09-23 07:51:43.397697,click,,
2023-09-23 07:51:43.228070,ct,0.947573,correct comission
2023-09-23 07:51:44.002119,ct,,omission error
2023-09-23 07:51:44.419282,click,,
2023-09-23 07:51:44.779076,ct,0.417163,correct comission
2023-09-23 07:51:45.765343,click,,
2023-09-23 07:51:45.558473,ct,0.986267,correct comission
2023-09-23 07:51:46.337146,ct,,omission error
2023-09-23 07:51:47.145288,click,,
2023-09-23 07:51:47.113517,ct,0.808142,correct comission
2023-09-23 07:51:47.894041,ct,,omission error
2023-09-23 07:51:48.718483,click,,
2023-09-23 07:51:48.675268,ct,0.824442,correct comission
2023-09-23 07:51:49.456597,ct,,omission error
2023-09-23 07:51:50.260176,click,,
2023-09-23 07:51:50.238145,ct,0.803579,correct comission
2023-09-23 07:51:51.013319,ct,,omission error
2023-09-23 07:51:51.542612,click,,
2023-09-23 07:51:51.791170,mt,0.529293,comission error
2023-09-23 07:51:52.566314,ct,,omission error
2023-09-23 07:51:53.297927,click,,
2023-09-23 07:51:53.343491,ct,0.731613,correct comission
2023-09-23 07:51:54.318707,click,,
2023-09-23 07:51:54.124555,ct,0.975216,correct comission
2023-09-23 07:51:54.905265,ct,,omission error
2023-09-23 07:51:55.695399,click,,
2023-09-23 07:51:55.684219,ct,0.790134,correct comission
2023-09-23 07:51:56.463161,mt,,correct omission
2023-09-23 07:51:57.241110,ct,,omission error
2023-09-23 07:51:57.989724,click,,
2023-09-23 07:51:58.019751,ct,0.748614,correct comission
2023-09-23 07:51:58.798273,ct,,omission error
2023-09-23 07:51:59.350632,click,,
2023-09-23 07:51:59.574779,ct,0.552359,correct comission
2023-09-23 07:52:00.351511,ct,,omission error
2023-09-23 07:52:01.333898,click,,
2023-09-23 07:52:01.128323,ct,0.982387,correct comission
2023-09-23 07:52:01.904234,ct,,omission error
2023-09-23 07:52:02.681027,ct,,omission error
2023-09-23 07:52:03.674721,click,,
2023-09-23 07:52:03.458464,ct,0.993694,correct comission
2023-09-23 07:52:04.235292,ct,,omission error
2023-09-23 07:52:05.299084,click,,
2023-09-23 07:52:05.011814,ct,1.063792,correct comission
2023-09-23 07:52:05.789575,ct,,omission error
2023-09-23 07:52:06.565745,ct,,omission error
2023-09-23 07:52:07.180692,click,,
2023-09-23 07:52:07.343458,mt,0.614947,comission error
2023-09-23 07:52:08.121753,ct,,omission error
2023-09-23 07:52:08.898279,ct,,omission error
2023-09-23 07:52:09.772909,click,,
2023-09-23 07:52:09.677132,ct,0.87463,correct comission
2023-09-23 07:52:10.454578,ct,,omission error
2023-09-23 07:52:11.265338,click,,
2023-09-23 07:52:11.232916,ct,0.81076,correct comission
2023-09-23 07:52:12.011712,ct,,omission error
2023-09-23 07:52:12.789008,ct,,omission error
2023-09-23 07:52:13.201890,click,,
2023-09-23 07:52:13.566001,ct,0.412882,correct comission
2023-09-23 07:52:14.343728,ct,,omission error
2023-09-23 07:52:15.081582,click,,
2023-09-23 07:52:15.119635,ct,0.737854,correct comission
2023-09-23 07:52:15.898304,mt,,correct omission
2023-09-23 07:52:16.708853,click,,
2023-09-23 07:52:16.676866,ct,0.810549,correct comission
2023-09-23 07:52:17.454278,mt,,correct omission
2023-09-23 07:52:18.231821,ct,,omission error
2023-09-23 07:52:19.035274,click,,
2023-09-23 07:52:19.007560,ct,0.803453,correct comission
2023-09-23 07:52:19.786472,ct,,omission error
2023-09-23 07:52:20.566249,ct,,omission error
2023-09-23 07:52:21.092608,click,,
2023-09-23 07:52:21.343580,ct,0.526359,correct comission
2023-09-23 07:52:22.121907,ct,,omission error
2023-09-23 07:52:22.900682,ct,,omission error
2023-09-23 07:52:23.225855,click,,
2023-09-23 07:52:23.676031,ct,0.325173,correct comission
2023-09-23 07:52:24.709160,click,,
2023-09-23 07:52:24.451521,ct,1.033129,correct comission
2023-09-23 07:52:25.228434,ct,,omission error
2023-09-23 07:52:26.006029,mt,,correct omission
2023-09-23 07:52:26.781988,ct,,omission error
2023-09-23 07:52:27.564900,click,,
2023-09-23 07:52:27.560017,ct,0.782912,correct comission
2023-09-23 07:52:28.339154,ct,,omission error
2023-09-23 07:52:28.663970,click,,
2023-09-23 07:52:29.119114,ct,0.324816,correct comission
2023-09-23 07:52:29.897512,ct,,omission error
2023-09-23 07:52:30.685865,click,,
2023-09-23 07:52:30.674612,ct,0.788353,correct comission
2023-09-23 07:52:31.453837,ct,,omission error
2023-09-23 07:52:31.798163,click,,
2023-09-23 07:52:32.234785,ct,0.344326,correct comission
2023-09-23 07:52:33.011217,ct,,omission error
2023-09-23 07:52:33.484556,click,,
2023-09-23 07:52:33.788337,ct,0.473339,correct comission
2023-09-23 07:52:34.563244,ct,,omission error
2023-09-23 07:52:35.342479,ct,,omission error
2023-09-23 07:52:35.688043,click,,
2023-09-23 07:52:36.120145,mt,0.345564,comission error
2023-09-23 07:52:36.897772,ct,,omission error
2023-09-23 07:52:37.685329,click,,
2023-09-23 07:52:37.674128,ct,0.787557,correct comission
2023-09-23 07:52:38.449931,ct,,omission error
2023-09-23 07:52:38.824596,click,,
2023-09-23 07:52:39.227142,ct,0.374665,correct comission
2023-09-23 07:52:40.004552,ct,,omission error
2023-09-23 07:52:40.782517,ct,,omission error
2023-09-23 07:52:41.515538,click,,
2023-09-23 07:52:41.561377,ct,0.733021,correct comission
2023-09-23 07:52:42.338208,ct,,omission error
2023-09-23 07:52:42.680292,click,,
2023-09-23 07:52:43.115793,ct,0.342084,correct comission
2023-09-23 07:52:43.892770,mt,,correct omission
2023-09-23 07:52:44.337421,click,,
2023-09-23 07:52:44.668392,ct,0.444651,correct comission
2023-09-23 07:52:45.443831,ct,,omission error
2023-09-23 07:52:46.433504,click,,
2023-09-23 07:52:46.221997,ct,0.989673,correct comission
2023-09-23 07:52:46.998259,ct,,omission error
2023-09-23 07:52:48.004573,click,,
2023-09-23 07:52:47.778450,ct,1.006314,correct comission
2023-09-23 07:52:48.557054,ct,,omission error
2023-09-23 07:52:49.334814,ct,,omission error
2023-09-23 07:52:50.111916,ct,,omission error
2023-09-23 07:52:50.498635,click,,
2023-09-23 07:52:50.886780,ct,0.386719,correct comission
2023-09-23 07:52:51.793171,click,,
2023-09-23 07:52:51.665195,ct,0.906391,correct comission
2023-09-23 07:52:52.445369,ct,,omission error
2023-09-23 07:52:53.222936,ct,,omission error
2023-09-23 07:52:53.999297,click,,
2023-09-23 07:52:54.002715,ct,0.776361,correct comission
2023-09-23 07:52:55.049890,click,,
2023-09-23 07:52:54.779230,mt,1.047175,comission error
