time,tag,tr,flag
2023-09-27 15:29:51.737643,ct,,
2023-09-27 15:29:52.515058,ct,,omission error
2023-09-27 15:29:53.293982,ct,,omission error
2023-09-27 15:29:54.073499,ct,,omission error
2023-09-27 15:29:54.851277,ct,,omission error
2023-09-27 15:29:55.627865,ct,,omission error
2023-09-27 15:29:56.407612,ct,,omission error
2023-09-27 15:29:57.186804,ct,,omission error
2023-09-27 15:29:57.966916,ct,,omission error
2023-09-27 15:29:58.745163,ct,,omission error
2023-09-27 15:29:59.523411,ct,,omission error
2023-09-27 15:30:00.305114,mt,,correct omission
2023-09-27 15:30:01.085492,ct,,omission error
2023-09-27 15:30:01.863009,ct,,omission error
2023-09-27 15:30:02.642234,ct,,omission error
2023-09-27 15:30:03.263854,click,,
2023-09-27 15:30:03.418761,ct,0.62162,correct comission
2023-09-27 15:30:04.035335,click,,
2023-09-27 15:30:04.196132,ct,0.616574,correct comission
2023-09-27 15:30:04.782113,click,,
2023-09-27 15:30:04.978192,ct,0.585981,correct comission
2023-09-27 15:30:05.732876,click,,
2023-09-27 15:30:05.757263,ct,0.754684,correct comission
2023-09-27 15:30:06.406139,click,,
2023-09-27 15:30:06.535364,ct,0.648876,correct comission
2023-09-27 15:30:07.279221,click,,
2023-09-27 15:30:07.315083,ct,0.743857,correct comission
2023-09-27 15:30:08.116186,click,,
2023-09-27 15:30:08.093295,ct,0.801103,correct comission
2023-09-27 15:30:08.882286,click,,
2023-09-27 15:30:08.871329,ct,0.788991,correct comission
2023-09-27 15:30:09.727562,click,,
2023-09-27 15:30:09.652013,ct,0.856233,correct comission
2023-09-27 15:30:10.539512,click,,
2023-09-27 15:30:10.432583,ct,0.887499,correct comission
2023-09-27 15:30:11.418711,click,,
2023-09-27 15:30:11.213005,ct,0.986128,correct comission
2023-09-27 15:30:12.229511,click,,
2023-09-27 15:30:11.991730,ct,1.016506,correct comission
2023-09-27 15:30:13.030806,click,,
2023-09-27 15:30:12.771948,mt,1.039076,comission error
2023-09-27 15:30:13.552142,ct,,omission error
2023-09-27 15:30:14.193856,click,,
2023-09-27 15:30:14.329478,ct,0.641714,correct comission
2023-09-27 15:30:15.193904,click,,
2023-09-27 15:30:15.108275,ct,0.864426,correct comission
2023-09-27 15:30:16.026237,click,,
2023-09-27 15:30:15.888334,ct,0.917962,correct comission
2023-09-27 15:30:16.665440,ct,,omission error
2023-09-27 15:30:17.164378,click,,
2023-09-27 15:30:17.442502,ct,0.498938,correct comission
2023-09-27 15:30:17.986560,click,,
2023-09-27 15:30:18.219249,ct,0.544058,correct comission
2023-09-27 15:30:18.868782,click,,
2023-09-27 15:30:18.998937,ct,0.649533,correct comission
2023-09-27 15:30:19.689865,click,,
2023-09-27 15:30:19.778659,ct,0.690928,correct comission
2023-09-27 15:30:20.556870,ct,,omission error
2023-09-27 15:30:21.443409,click,,
2023-09-27 15:30:21.336153,mt,0.886539,comission error
2023-09-27 15:30:22.276656,click,,
2023-09-27 15:30:22.116088,ct,0.940503,correct comission
2023-09-27 15:30:23.131043,click,,
2023-09-27 15:30:22.892194,ct,1.014955,correct comission
2023-09-27 15:30:23.671560,ct,,omission error
2023-09-27 15:30:24.036570,click,,
2023-09-27 15:30:24.450530,ct,0.36501,correct comission
2023-09-27 15:30:24.850602,click,,
2023-09-27 15:30:25.229960,ct,0.400072,correct comission
2023-09-27 15:30:25.716695,click,,
2023-09-27 15:30:26.009475,mt,0.486735,comission error
2023-09-27 15:30:26.615726,click,,
2023-09-27 15:30:26.789420,ct,0.606251,correct comission
2023-09-27 15:30:27.716716,click,,
2023-09-27 15:30:27.567586,ct,0.927296,correct comission
2023-09-27 15:30:28.411623,click,,
2023-09-27 15:30:28.347767,ct,0.844037,correct comission
2023-09-27 15:30:29.226647,click,,
2023-09-27 15:30:29.128919,ct,0.87888,correct comission
2023-09-27 15:30:30.145307,click,,
2023-09-27 15:30:29.908158,ct,1.016388,correct comission
2023-09-27 15:30:30.687870,ct,,omission error
2023-09-27 15:30:31.055175,click,,
