time,tag,tr,flag
2023-10-09 11:36:13.812951,ct,,
2023-10-09 11:36:14.245108,click,,
2023-10-09 11:36:14.590757,mt,0.432157,comission error
2023-10-09 11:36:15.068385,click,,
2023-10-09 11:36:15.372009,ct,0.477628,correct comission
2023-10-09 11:36:16.149742,ct,,omission error
2023-10-09 11:36:16.777941,click,,
2023-10-09 11:36:16.928453,ct,0.628199,correct comission
2023-10-09 11:36:17.686576,click,,
2023-10-09 11:36:17.708836,ct,0.758123,correct comission
2023-10-09 11:36:18.422043,click,,
2023-10-09 11:36:18.489647,ct,0.713207,correct comission
2023-10-09 11:36:19.159347,click,,
2023-10-09 11:36:19.269745,ct,0.6697,correct comission
2023-10-09 11:36:20.037411,click,,
2023-10-09 11:36:20.048487,ct,0.767666,correct comission
2023-10-09 11:36:20.852905,click,,
2023-10-09 11:36:20.824968,ct,0.804418,correct comission
2023-10-09 11:36:21.577265,click,,
2023-10-09 11:36:21.603085,mt,0.752297,comission error
2023-10-09 11:36:22.382903,ct,,omission error
2023-10-09 11:36:23.150567,click,,
2023-10-09 11:36:23.164695,ct,0.767664,correct comission
2023-10-09 11:36:24.150631,click,,
2023-10-09 11:36:23.944175,ct,0.985936,correct comission
2023-10-09 11:36:24.799479,click,,
2023-10-09 11:36:24.724529,ct,0.855304,correct comission
2023-10-09 11:36:25.503588,ct,,omission error
2023-10-09 11:36:26.282236,click,,
2023-10-09 11:36:26.283568,ct,0.778648,correct comission
2023-10-09 11:36:27.075314,click,,
2023-10-09 11:36:27.064042,ct,0.791746,correct comission
2023-10-09 11:36:27.951054,click,,
2023-10-09 11:36:27.843233,ct,0.887012,correct comission
2023-10-09 11:36:28.598925,click,,
2023-10-09 11:36:28.623845,ct,0.755692,correct comission
2023-10-09 11:36:29.414509,click,,
2023-10-09 11:36:29.402910,ct,0.790664,correct comission
2023-10-09 11:36:30.291182,click,,
2023-10-09 11:36:30.184274,ct,0.888272,correct comission
2023-10-09 11:36:31.044579,click,,
2023-10-09 11:36:30.963953,ct,0.860305,correct comission
2023-10-09 11:36:31.871477,click,,
2023-10-09 11:36:31.742821,ct,0.907524,correct comission
2023-10-09 11:36:32.643348,click,,
2023-10-09 11:36:32.526164,mt,0.900527,comission error
2023-10-09 11:36:33.307070,ct,,omission error
2023-10-09 11:36:34.023532,click,,
2023-10-09 11:36:34.084040,ct,0.716462,correct comission
2023-10-09 11:36:34.884697,click,,
2023-10-09 11:36:34.863166,ct,0.800657,correct comission
2023-10-09 11:36:35.644803,ct,,omission error
2023-10-09 11:36:36.380587,click,,
2023-10-09 11:36:36.424748,ct,0.735784,correct comission
2023-10-09 11:36:37.513104,click,,
2023-10-09 11:36:37.204470,ct,1.088356,correct comission
2023-10-09 11:36:37.981456,ct,,omission error
2023-10-09 11:36:38.761108,mt,,correct omission
2023-10-09 11:36:39.444626,click,,
2023-10-09 11:36:39.539015,ct,0.683518,correct comission
2023-10-09 11:36:40.319105,ct,,omission error
2023-10-09 11:36:41.101180,ct,,omission error
2023-10-09 11:36:41.630765,click,,
2023-10-09 11:36:41.881041,ct,0.529585,correct comission
2023-10-09 11:36:42.487492,click,,
2023-10-09 11:36:42.661169,ct,0.606451,correct comission
2023-10-09 11:36:43.441355,ct,,omission error
2023-10-09 11:36:44.469661,click,,
2023-10-09 11:36:44.221769,mt,1.028306,comission error
2023-10-09 11:36:45.228786,click,,
2023-10-09 11:36:45.002230,ct,1.007017,correct comission
2023-10-09 11:36:45.778892,ct,,omission error
2023-10-09 11:36:46.559577,ct,,omission error
2023-10-09 11:36:47.488711,click,,
2023-10-09 11:36:47.339530,ct,0.929134,correct comission
2023-10-09 11:36:48.358885,click,,
2023-10-09 11:36:48.120717,ct,1.019355,correct comission
2023-10-09 11:36:48.899793,ct,,omission error
2023-10-09 11:36:49.678417,click,,
2023-10-09 11:36:49.679676,ct,0.778624,correct comission
2023-10-09 11:36:50.459977,ct,,omission error
2023-10-09 11:36:50.783369,click,,
2023-10-09 11:36:51.236198,ct,0.323392,correct comission
2023-10-09 11:36:52.015073,ct,,omission error
2023-10-09 11:36:52.794503,ct,,omission error
2023-10-09 11:36:53.227142,click,,
2023-10-09 11:36:53.574967,ct,0.432639,correct comission
2023-10-09 11:36:54.400976,click,,
2023-10-09 11:36:54.353342,ct,0.826009,correct comission
2023-10-09 11:36:55.175334,click,,
2023-10-09 11:36:55.132217,ct,0.821992,correct comission
2023-10-09 11:36:55.910090,ct,,omission error
2023-10-09 11:36:56.633281,click,,
2023-10-09 11:36:56.689657,ct,0.723191,correct comission
2023-10-09 11:36:57.500723,click,,
