time,tag,tr,flag
2023-10-10 11:41:31.849574,ct,,
2023-10-10 11:41:32.784467,click,,
2023-10-10 11:41:32.657683,ct,0.934893,correct comission
2023-10-10 11:41:33.430151,click,,
2023-10-10 11:41:33.432705,ct,0.772468,correct comission
2023-10-10 11:41:34.294778,click,,
2023-10-10 11:41:34.209698,ct,0.862073,correct comission
2023-10-10 11:41:34.953585,click,,
2023-10-10 11:41:34.985224,mt,0.743887,comission error
2023-10-10 11:41:35.760688,ct,,omission error
2023-10-10 11:41:36.402137,click,,
2023-10-10 11:41:36.536187,ct,0.641449,correct comission
2023-10-10 11:41:37.256889,click,,
2023-10-10 11:41:37.312484,ct,0.720702,correct comission
2023-10-10 11:41:38.020844,click,,
2023-10-10 11:41:38.086859,ct,0.70836,correct comission
2023-10-10 11:41:38.767639,click,,
2023-10-10 11:41:38.859628,ct,0.68078,correct comission
2023-10-10 11:41:39.483764,click,,
2023-10-10 11:41:39.634619,ct,0.624136,correct comission
2023-10-10 11:41:40.367888,click,,
2023-10-10 11:41:40.413844,ct,0.733269,correct comission
2023-10-10 11:41:41.118472,click,,
2023-10-10 11:41:41.190507,ct,0.704628,correct comission
2023-10-10 11:41:42.039984,click,,
2023-10-10 11:41:41.964954,mt,0.849477,comission error
2023-10-10 11:41:42.740611,ct,,omission error
2023-10-10 11:41:43.215053,click,,
2023-10-10 11:41:43.517928,ct,0.474442,correct comission
2023-10-10 11:41:44.238655,click,,
2023-10-10 11:41:44.294789,ct,0.720727,correct comission
2023-10-10 11:41:44.939007,click,,
2023-10-10 11:41:45.072162,ct,0.644218,correct comission
2023-10-10 11:41:45.919577,click,,
2023-10-10 11:41:45.848504,ct,0.847415,correct comission
2023-10-10 11:41:46.671924,click,,
2023-10-10 11:41:46.625133,ct,0.82342,correct comission
2023-10-10 11:41:47.487465,click,,
2023-10-10 11:41:47.398596,ct,0.862332,correct comission
2023-10-10 11:41:48.358067,click,,
2023-10-10 11:41:48.172316,ct,0.959471,correct comission
2023-10-10 11:41:49.144148,click,,
2023-10-10 11:41:48.950366,ct,0.971832,correct comission
2023-10-10 11:41:49.820627,click,,
2023-10-10 11:41:49.725300,ct,0.870261,correct comission
2023-10-10 11:41:50.533354,click,,
2023-10-10 11:41:50.500783,ct,0.808054,correct comission
2023-10-10 11:41:51.311211,click,,
2023-10-10 11:41:51.276685,mt,0.810428,comission error
2023-10-10 11:41:52.054290,ct,,omission error
2023-10-10 11:41:52.585287,click,,
2023-10-10 11:41:52.830428,ct,0.530997,correct comission
2023-10-10 11:41:53.305423,click,,
2023-10-10 11:41:53.609237,ct,0.474995,correct comission
2023-10-10 11:41:54.079737,click,,
2023-10-10 11:41:54.387772,ct,0.4705,correct comission
2023-10-10 11:41:54.790419,click,,
2023-10-10 11:41:55.164061,ct,0.402647,correct comission
2023-10-10 11:41:55.585248,click,,
2023-10-10 11:41:55.941365,ct,0.421187,correct comission
2023-10-10 11:41:56.337882,click,,
2023-10-10 11:41:56.716832,ct,0.396517,correct comission
2023-10-10 11:41:57.289027,click,,
2023-10-10 11:41:57.491738,ct,0.572195,correct comission
2023-10-10 11:41:58.068617,click,,
2023-10-10 11:41:58.267407,ct,0.576879,correct comission
2023-10-10 11:41:58.942761,click,,
2023-10-10 11:41:59.044948,ct,0.675354,correct comission
2023-10-10 11:41:59.817974,click,,
2023-10-10 11:41:59.819328,ct,0.773026,correct comission
2023-10-10 11:42:00.626535,click,,
2023-10-10 11:42:00.594702,ct,0.807207,correct comission
2023-10-10 11:42:01.475057,click,,
2023-10-10 11:42:01.370803,mt,0.880355,comission error
2023-10-10 11:42:02.149948,ct,,omission error
2023-10-10 11:42:02.624851,click,,
2023-10-10 11:42:02.926208,mt,0.474903,comission error
2023-10-10 11:42:03.454285,click,,
2023-10-10 11:42:03.701527,ct,0.528077,correct comission
2023-10-10 11:42:04.485881,click,,
2023-10-10 11:42:04.478135,ct,0.784354,correct comission
2023-10-10 11:42:05.242287,click,,
2023-10-10 11:42:05.255894,ct,0.764152,correct comission
2023-10-10 11:42:06.292345,click,,
2023-10-10 11:42:06.031229,ct,1.036451,correct comission
2023-10-10 11:42:06.805791,ct,,omission error
2023-10-10 11:42:07.353915,click,,
2023-10-10 11:42:07.584224,ct,0.548124,correct comission
2023-10-10 11:42:08.590681,click,,
2023-10-10 11:42:08.359392,ct,1.006457,correct comission
2023-10-10 11:42:09.134938,ct,,omission error
2023-10-10 11:42:09.483348,click,,
2023-10-10 11:42:09.908631,ct,0.34841,correct comission
2023-10-10 11:42:10.503307,click,,
2023-10-10 11:42:10.686322,ct,0.594676,correct comission
2023-10-10 11:42:11.386498,click,,
2023-10-10 11:42:11.464759,ct,0.700176,correct comission
2023-10-10 11:42:12.367325,click,,
2023-10-10 11:42:12.239782,mt,0.902566,comission error
2023-10-10 11:42:13.014258,ct,,omission error
2023-10-10 11:42:13.702372,click,,
2023-10-10 11:42:13.790038,ct,0.688114,correct comission
2023-10-10 11:42:14.610156,click,,
2023-10-10 11:42:14.565608,ct,0.820118,correct comission
2023-10-10 11:42:15.409660,click,,
2023-10-10 11:42:15.343661,ct,0.844052,correct comission
2023-10-10 11:42:16.239989,click,,
2023-10-10 11:42:16.120575,ct,0.896328,correct comission
2023-10-10 11:42:17.066594,click,,
2023-10-10 11:42:16.896454,ct,0.946019,correct comission
2023-10-10 11:42:17.817855,click,,
2023-10-10 11:42:17.669599,mt,0.921401,comission error
2023-10-10 11:42:18.445566,ct,,omission error
2023-10-10 11:42:18.973245,click,,
2023-10-10 11:42:19.223767,ct,0.527679,correct comission
2023-10-10 11:42:19.925517,click,,
2023-10-10 11:42:20.003089,ct,0.70175,correct comission
2023-10-10 11:42:20.831852,click,,
2023-10-10 11:42:20.778384,ct,0.828763,correct comission
2023-10-10 11:42:21.748085,click,,
2023-10-10 11:42:21.555032,ct,0.969701,correct comission
2023-10-10 11:42:22.498076,click,,
