time,tag,tr,flag
2023-10-10 13:53:51.073946,ct,,
2023-10-10 13:53:51.613818,click,,
2023-10-10 13:53:51.853587,ct,0.539872,correct comission
2023-10-10 13:53:52.179607,click,,
2023-10-10 13:53:52.629631,ct,0.32602,correct comission
2023-10-10 13:53:53.346440,click,,
2023-10-10 13:53:53.405968,ct,0.716809,correct comission
2023-10-10 13:53:54.388690,click,,
2023-10-10 13:53:54.183246,ct,0.982722,correct comission
2023-10-10 13:53:54.891983,click,,
2023-10-10 13:53:54.959730,ct,0.708737,correct comission
2023-10-10 13:53:55.854585,click,,
2023-10-10 13:53:55.735980,mt,0.894855,comission error
2023-10-10 13:53:56.513322,ct,,omission error
2023-10-10 13:53:57.361532,click,,
2023-10-10 13:53:57.290069,ct,0.84821,correct comission
2023-10-10 13:53:58.089468,click,,
2023-10-10 13:53:58.067928,ct,0.799399,correct comission
2023-10-10 13:53:58.888779,click,,
2023-10-10 13:53:58.845865,ct,0.820851,correct comission
2023-10-10 13:53:59.516240,click,,
2023-10-10 13:53:59.625200,ct,0.670375,correct comission
2023-10-10 13:54:00.369948,click,,
2023-10-10 13:54:00.405028,ct,0.744748,correct comission
2023-10-10 13:54:01.170381,click,,
2023-10-10 13:54:01.185345,ct,0.765353,correct comission
2023-10-10 13:54:02.124059,click,,
2023-10-10 13:54:01.963576,ct,0.938714,correct comission
2023-10-10 13:54:02.656660,click,,
2023-10-10 13:54:02.744506,ct,0.693084,correct comission
2023-10-10 13:54:03.587712,click,,
2023-10-10 13:54:03.523171,ct,0.843206,correct comission
2023-10-10 13:54:04.223842,click,,
2023-10-10 13:54:04.301830,mt,0.700671,comission error
2023-10-10 13:54:05.007015,click,,
2023-10-10 13:54:05.080118,ct,0.705185,correct comission
2023-10-10 13:54:05.791946,click,,
2023-10-10 13:54:05.858288,ct,0.711828,correct comission
2023-10-10 13:54:06.604499,click,,
2023-10-10 13:54:06.633585,ct,0.746211,correct comission
2023-10-10 13:54:07.336231,click,,
2023-10-10 13:54:07.413460,ct,0.702646,correct comission
2023-10-10 13:54:08.224353,click,,
2023-10-10 13:54:08.192260,mt,0.810893,comission error
2023-10-10 13:54:08.972262,ct,,omission error
2023-10-10 13:54:09.569081,click,,
2023-10-10 13:54:09.748614,ct,0.596819,correct comission
2023-10-10 13:54:10.308138,click,,
2023-10-10 13:54:10.527058,ct,0.559524,correct comission
2023-10-10 13:54:11.109924,click,,
2023-10-10 13:54:11.304825,ct,0.582866,correct comission
2023-10-10 13:54:12.015863,click,,
2023-10-10 13:54:12.082892,ct,0.711038,correct comission
2023-10-10 13:54:12.721395,click,,
2023-10-10 13:54:12.863015,ct,0.638503,correct comission
2023-10-10 13:54:13.647068,click,,
2023-10-10 13:54:13.640149,ct,0.784053,correct comission
2023-10-10 13:54:14.532562,click,,
2023-10-10 13:54:14.417014,ct,0.892413,correct comission
2023-10-10 13:54:15.074648,click,,
2023-10-10 13:54:15.193235,ct,0.657634,correct comission
2023-10-10 13:54:15.994133,click,,
2023-10-10 13:54:15.972659,mt,0.800898,comission error
2023-10-10 13:54:16.749499,ct,,omission error
2023-10-10 13:54:17.472453,click,,
2023-10-10 13:54:17.525097,ct,0.722954,correct comission
2023-10-10 13:54:18.407857,click,,
2023-10-10 13:54:18.301429,ct,0.88276,correct comission
2023-10-10 13:54:19.077359,click,,
2023-10-10 13:54:19.078283,ct,0.77593,correct comission
2023-10-10 13:54:19.866769,click,,
2023-10-10 13:54:19.855765,ct,0.788486,correct comission
2023-10-10 13:54:20.568299,click,,
2023-10-10 13:54:20.635244,ct,0.712534,correct comission
2023-10-10 13:54:21.367286,click,,
2023-10-10 13:54:21.413527,ct,0.732042,correct comission
2023-10-10 13:54:22.146853,click,,
2023-10-10 13:54:22.191002,ct,0.733326,correct comission
2023-10-10 13:54:22.940157,click,,
2023-10-10 13:54:22.969733,ct,0.749155,correct comission
2023-10-10 13:54:23.717895,click,,
2023-10-10 13:54:23.747130,ct,0.748162,correct comission
2023-10-10 13:54:24.427356,click,,
2023-10-10 13:54:24.526227,ct,0.680226,correct comission
2023-10-10 13:54:25.415589,click,,
2023-10-10 13:54:25.304334,mt,0.889362,comission error
2023-10-10 13:54:26.082688,ct,,omission error
2023-10-10 13:54:26.940063,click,,
2023-10-10 13:54:26.862282,ct,0.857375,correct comission
2023-10-10 13:54:27.512003,click,,
2023-10-10 13:54:27.643151,ct,0.649721,correct comission
2023-10-10 13:54:28.226126,click,,
2023-10-10 13:54:28.421666,ct,0.582975,correct comission
2023-10-10 13:54:29.058380,click,,
2023-10-10 13:54:29.197973,ct,0.636714,correct comission
2023-10-10 13:54:29.974608,ct,,omission error
2023-10-10 13:54:30.860782,click,,
2023-10-10 13:54:30.753442,mt,0.886174,comission error
2023-10-10 13:54:31.530919,ct,,omission error
2023-10-10 13:54:32.295480,click,,
2023-10-10 13:54:32.309391,ct,0.764561,correct comission
2023-10-10 13:54:33.044241,click,,
2023-10-10 13:54:33.089918,ct,0.73485,correct comission
2023-10-10 13:54:33.811975,click,,
2023-10-10 13:54:33.869498,ct,0.722057,correct comission
2023-10-10 13:54:34.604788,click,,
2023-10-10 13:54:34.647499,ct,0.73529,correct comission
2023-10-10 13:54:35.525453,click,,
2023-10-10 13:54:35.428790,ct,0.877954,correct comission
2023-10-10 13:54:36.368801,click,,
2023-10-10 13:54:36.209310,ct,0.940011,correct comission
2023-10-10 13:54:37.117641,click,,
2023-10-10 13:54:36.989048,ct,0.908331,correct comission
2023-10-10 13:54:37.799768,click,,
2023-10-10 13:54:37.767822,ct,0.81072,correct comission
2023-10-10 13:54:38.450497,click,,
2023-10-10 13:54:38.548322,ct,0.682675,correct comission
2023-10-10 13:54:39.371703,click,,
2023-10-10 13:54:39.328380,ct,0.823381,correct comission
2023-10-10 13:54:40.020643,click,,
2023-10-10 13:54:40.107864,ct,0.692263,correct comission
2023-10-10 13:54:40.756431,click,,
2023-10-10 13:54:40.886358,ct,0.648567,correct comission
2023-10-10 13:54:41.511561,click,,
2023-10-10 13:54:41.665884,ct,0.625203,correct comission
2023-10-10 13:54:42.235059,click,,
2023-10-10 13:54:42.443378,ct,0.569175,correct comission
2023-10-10 13:54:43.180387,click,,
2023-10-10 13:54:43.220101,mt,0.737009,comission error
2023-10-10 13:54:43.997628,ct,,omission error
2023-10-10 13:54:44.484033,click,,
2023-10-10 13:54:44.778380,ct,0.486405,correct comission
2023-10-10 13:54:45.334354,click,,
2023-10-10 13:54:45.554816,ct,0.555974,correct comission
2023-10-10 13:54:46.125332,click,,
2023-10-10 13:54:46.332747,mt,0.570516,comission error
2023-10-10 13:54:47.006461,click,,
2023-10-10 13:54:47.110356,ct,0.673714,correct comission
2023-10-10 13:54:48.059472,click,,
2023-10-10 13:54:47.888242,ct,0.949116,correct comission
2023-10-10 13:54:48.622570,click,,
2023-10-10 13:54:48.666740,ct,0.734328,correct comission
2023-10-10 13:54:49.207463,click,,
2023-10-10 13:54:49.447586,ct,0.540723,correct comission
2023-10-10 13:54:50.205492,click,,
2023-10-10 13:54:50.223158,ct,0.757906,correct comission
2023-10-10 13:54:50.761282,click,,
2023-10-10 13:54:51.000128,ct,0.538124,correct comission
2023-10-10 13:54:51.733371,click,,
2023-10-10 13:54:51.777328,ct,0.733243,correct comission
2023-10-10 13:54:52.466875,click,,
2023-10-10 13:54:52.554467,ct,0.689547,correct comission
2023-10-10 13:54:53.300139,click,,
2023-10-10 13:54:53.335889,ct,0.745672,correct comission
2023-10-10 13:54:54.105386,click,,
2023-10-10 13:54:54.113171,ct,0.769497,correct comission
2023-10-10 13:54:54.902899,click,,
2023-10-10 13:54:54.891865,ct,0.789728,correct comission
2023-10-10 13:54:55.832874,click,,
