time,tag,tr,flag
2023-10-10 14:38:44.347675,ct,,
2023-10-10 14:38:45.126767,ct,,omission error
2023-10-10 14:38:45.905499,ct,,omission error
2023-10-10 14:38:46.714761,click,,
2023-10-10 14:38:46.682741,ct,0.809262,correct comission
2023-10-10 14:38:47.493609,click,,
2023-10-10 14:38:47.461221,ct,0.810868,correct comission
2023-10-10 14:38:48.348245,click,,
2023-10-10 14:38:48.239791,mt,0.887024,comission error
2023-10-10 14:38:49.018161,ct,,omission error
2023-10-10 14:38:49.769157,click,,
2023-10-10 14:38:49.795898,ct,0.750996,correct comission
2023-10-10 14:38:50.664748,click,,
2023-10-10 14:38:50.572794,ct,0.86885,correct comission
2023-10-10 14:38:51.305263,click,,
2023-10-10 14:38:51.351001,ct,0.732469,correct comission
2023-10-10 14:38:52.059845,click,,
2023-10-10 14:38:52.129278,mt,0.708844,comission error
2023-10-10 14:38:52.906939,ct,,omission error
2023-10-10 14:38:53.835294,click,,
2023-10-10 14:38:53.686842,ct,0.928355,correct comission
2023-10-10 14:38:54.767078,click,,
2023-10-10 14:38:54.464707,ct,1.080236,correct comission
2023-10-10 14:38:55.494026,click,,
2023-10-10 14:38:55.245385,ct,1.029319,correct comission
2023-10-10 14:38:56.272868,click,,
2023-10-10 14:38:56.025308,ct,1.027483,correct comission
2023-10-10 14:38:57.104374,click,,
2023-10-10 14:38:56.804016,ct,1.079066,correct comission
2023-10-10 14:38:57.776425,click,,
2023-10-10 14:38:57.583059,ct,0.972409,correct comission
2023-10-10 14:38:58.402469,click,,
2023-10-10 14:38:58.359483,ct,0.81941,correct comission
2023-10-10 14:38:59.397366,click,,
2023-10-10 14:38:59.137520,ct,1.037883,correct comission
2023-10-10 14:39:00.075290,click,,
2023-10-10 14:38:59.916045,ct,0.93777,correct comission
2023-10-10 14:39:00.693596,ct,,omission error
2023-10-10 14:39:01.459202,click,,
2023-10-10 14:39:01.471455,ct,0.765606,correct comission
2023-10-10 14:39:02.379318,click,,
2023-10-10 14:39:02.248777,ct,0.907863,correct comission
2023-10-10 14:39:03.209004,click,,
2023-10-10 14:39:03.027822,ct,0.960227,correct comission
2023-10-10 14:39:04.118488,click,,
2023-10-10 14:39:03.806874,ct,1.090666,correct comission
2023-10-10 14:39:04.638281,click,,
2023-10-10 14:39:04.585004,mt,0.831407,comission error
2023-10-10 14:39:05.589483,click,,
2023-10-10 14:39:05.361826,ct,1.004479,correct comission
2023-10-10 14:39:06.142000,ct,,omission error
2023-10-10 14:39:06.475942,click,,
2023-10-10 14:39:06.922616,ct,0.333942,correct comission
2023-10-10 14:39:07.244404,click,,
2023-10-10 14:39:07.699316,ct,0.321788,correct comission
2023-10-10 14:39:08.080479,click,,
2023-10-10 14:39:08.476730,ct,0.381163,correct comission
2023-10-10 14:39:08.898182,click,,
2023-10-10 14:39:09.256474,ct,0.421452,correct comission
2023-10-10 14:39:10.035855,ct,,omission error
2023-10-10 14:39:10.457855,click,,
2023-10-10 14:39:10.814476,ct,0.422,correct comission
2023-10-10 14:39:11.723529,click,,
2023-10-10 14:39:11.596160,ct,0.909053,correct comission
2023-10-10 14:39:12.523217,click,,
2023-10-10 14:39:12.371658,mt,0.927057,comission error
2023-10-10 14:39:13.341416,click,,
2023-10-10 14:39:13.147621,ct,0.969758,correct comission
2023-10-10 14:39:13.925245,ct,,omission error
2023-10-10 14:39:14.268119,click,,
2023-10-10 14:39:14.701015,ct,0.342874,correct comission
2023-10-10 14:39:15.057716,click,,
2023-10-10 14:39:15.476524,ct,0.356701,correct comission
2023-10-10 14:39:16.305737,click,,
2023-10-10 14:39:16.255727,mt,0.829213,comission error
2023-10-10 14:39:17.033526,ct,,omission error
2023-10-10 14:39:17.835160,click,,
2023-10-10 14:39:17.810254,ct,0.801634,correct comission
2023-10-10 14:39:18.641993,click,,
2023-10-10 14:39:18.586465,ct,0.831739,correct comission
2023-10-10 14:39:19.466434,click,,
2023-10-10 14:39:19.365357,ct,0.879969,correct comission
2023-10-10 14:39:20.233598,click,,
2023-10-10 14:39:20.143721,ct,0.868241,correct comission
2023-10-10 14:39:21.012042,click,,
2023-10-10 14:39:20.918957,ct,0.868321,correct comission
2023-10-10 14:39:21.683990,click,,
2023-10-10 14:39:21.697685,ct,0.765033,correct comission
2023-10-10 14:39:22.592986,click,,
2023-10-10 14:39:22.476509,ct,0.895301,correct comission
2023-10-10 14:39:23.330703,click,,
2023-10-10 14:39:23.256228,ct,0.854194,correct comission
2023-10-10 14:39:24.178813,click,,
2023-10-10 14:39:24.034055,ct,0.922585,correct comission
2023-10-10 14:39:24.956804,click,,
2023-10-10 14:39:24.811576,ct,0.922749,correct comission
2023-10-10 14:39:25.709254,click,,
2023-10-10 14:39:25.591221,ct,0.897678,correct comission
2023-10-10 14:39:26.507955,click,,
2023-10-10 14:39:26.369894,ct,0.916734,correct comission
2023-10-10 14:39:27.248468,click,,
2023-10-10 14:39:27.151379,mt,0.878574,comission error
2023-10-10 14:39:27.931001,ct,,omission error
2023-10-10 14:39:28.708994,click,,
2023-10-10 14:39:28.710214,ct,0.777993,correct comission
2023-10-10 14:39:29.484834,click,,
2023-10-10 14:39:29.488257,ct,0.77462,correct comission
2023-10-10 14:39:30.436185,click,,
2023-10-10 14:39:30.266598,ct,0.947928,correct comission
2023-10-10 14:39:31.227828,click,,
2023-10-10 14:39:31.044090,ct,0.96123,correct comission
2023-10-10 14:39:31.949305,click,,
2023-10-10 14:39:31.821061,mt,0.905215,comission error
2023-10-10 14:39:32.685497,click,,
2023-10-10 14:39:32.600713,ct,0.864436,correct comission
2023-10-10 14:39:33.556623,click,,
2023-10-10 14:39:33.379587,ct,0.95591,correct comission
2023-10-10 14:39:34.280966,click,,
2023-10-10 14:39:34.156557,ct,0.901379,correct comission
2023-10-10 14:39:35.065227,click,,
2023-10-10 14:39:34.934390,ct,0.90867,correct comission
2023-10-10 14:39:35.729703,click,,
2023-10-10 14:39:35.712451,ct,0.795313,correct comission
2023-10-10 14:39:36.579927,click,,
2023-10-10 14:39:36.489692,ct,0.867476,correct comission
2023-10-10 14:39:37.268173,ct,,omission error
2023-10-10 14:39:38.005305,click,,
2023-10-10 14:39:38.043762,ct,0.737132,correct comission
2023-10-10 14:39:38.796616,click,,
2023-10-10 14:39:38.822697,ct,0.752854,correct comission
2023-10-10 14:39:39.695555,click,,
2023-10-10 14:39:39.599182,ct,0.872858,correct comission
2023-10-10 14:39:40.516169,click,,
2023-10-10 14:39:40.377544,ct,0.916987,correct comission
2023-10-10 14:39:41.156247,mt,,correct omission
2023-10-10 14:39:41.493146,click,,
