time,tag,tr,flag
2023-10-10 16:47:36.061812,,,
2023-10-10 16:47:36.839974,,,correct omission
2023-10-10 16:47:37.629222,,,omission error
2023-10-10 16:47:38.409364,,,omission error
2023-10-10 16:47:39.188541,,,omission error
2023-10-10 16:47:39.967998,,,omission error
2023-10-10 16:47:40.744688,,,omission error
2023-10-10 16:47:41.523235,,,omission error
2023-10-10 16:47:42.298379,,,omission error
2023-10-10 16:47:43.076994,,,omission error
2023-10-10 16:47:43.852569,,,omission error
2023-10-10 16:47:44.629548,,,correct omission
2023-10-10 16:47:45.404797,,,omission error
2023-10-10 16:47:46.181006,,,omission error
2023-10-10 16:47:46.958541,,,omission error
2023-10-10 16:47:47.734899,,,omission error
2023-10-10 16:47:48.514434,,,omission error
2023-10-10 16:47:49.291135,,,omission error
2023-10-10 16:47:50.066585,,,omission error
2023-10-10 16:47:50.846271,,,omission error
2023-10-10 16:47:51.624801,,,omission error
2023-10-10 16:47:52.405181,,,omission error
2023-10-10 16:47:53.187821,,,omission error
2023-10-10 16:47:53.968354,,,omission error
2023-10-10 16:47:54.746190,,,correct omission
2023-10-10 16:47:55.528215,,,omission error
2023-10-10 16:47:56.305378,,,omission error
2023-10-10 16:47:57.085648,,,omission error
2023-10-10 16:47:57.864665,,,omission error
2023-10-10 16:47:58.643886,,,omission error
2023-10-10 16:47:59.424152,,,omission error
2023-10-10 16:48:00.201990,,,omission error
2023-10-10 16:48:00.979454,,,omission error
2023-10-10 16:48:01.757395,,,omission error
2023-10-10 16:48:02.535564,,,omission error
2023-10-10 16:48:03.316928,,,correct omission
2023-10-10 16:48:04.092402,,,omission error
2023-10-10 16:48:04.871534,,,omission error
2023-10-10 16:48:05.649820,,,omission error
2023-10-10 16:48:06.429095,,,omission error
2023-10-10 16:48:07.207324,,,omission error
2023-10-10 16:48:07.982189,,,omission error
2023-10-10 16:48:08.757185,,,omission error
2023-10-10 16:48:09.536754,,,omission error
2023-10-10 16:48:10.314513,,,omission error
2023-10-10 16:48:11.095458,,,correct omission
2023-10-10 16:48:11.873826,,,omission error
2023-10-10 16:48:12.652061,,,omission error
2023-10-10 16:48:13.429264,,,omission error
2023-10-10 16:48:14.206880,,,correct omission
2023-10-10 16:48:14.984881,,,omission error
2023-10-10 16:48:15.764921,,,omission error
2023-10-10 16:48:16.544196,,,omission error
2023-10-10 16:48:17.323636,,,omission error
2023-10-10 16:48:18.102173,,,omission error
2023-10-10 16:48:18.879857,,,omission error
2023-10-10 16:48:19.660830,,,omission error
2023-10-10 16:48:20.438163,,,omission error
2023-10-10 16:48:21.216487,,,omission error
2023-10-10 16:48:21.992923,,,omission error
2023-10-10 16:48:22.771154,,,omission error
2023-10-10 16:48:23.549017,,,correct omission
2023-10-10 16:48:24.327872,,,omission error
2023-10-10 16:48:25.107194,,,omission error
2023-10-10 16:48:25.885611,,,omission error
2023-10-10 16:48:26.665677,,,omission error
2023-10-10 16:48:27.444193,,,omission error
2023-10-10 16:48:28.221548,,,omission error
2023-10-10 16:48:28.998814,,,omission error
2023-10-10 16:48:29.776159,,,omission error
2023-10-10 16:48:30.553691,,,correct omission
2023-10-10 16:48:31.331866,,,omission error
2023-10-10 16:48:32.109919,,,omission error
2023-10-10 16:48:32.884783,,,omission error
2023-10-10 16:48:33.661947,,,omission error
2023-10-10 16:48:34.442215,,,omission error
2023-10-10 16:48:35.220256,,,omission error
2023-10-10 16:48:35.999145,,,omission error
2023-10-10 16:48:36.775438,,,omission error
2023-10-10 16:48:37.554393,,,omission error
2023-10-10 16:48:38.330845,,,omission error
2023-10-10 16:48:39.109756,,,omission error
2023-10-10 16:48:39.886693,,,omission error
2023-10-10 16:48:40.664300,,,correct omission
2023-10-10 16:48:41.441504,,,omission error
2023-10-10 16:48:42.218249,,,omission error
2023-10-10 16:48:42.994208,,,omission error
2023-10-10 16:48:43.772915,,,omission error
2023-10-10 16:48:44.551489,,,omission error
2023-10-10 16:48:45.328782,,,omission error
2023-10-10 16:48:46.105937,,,correct omission
2023-10-10 16:48:46.880674,,,omission error
2023-10-10 16:48:47.658801,,,omission error
2023-10-10 16:48:48.436231,,,omission error
2023-10-10 16:48:49.216638,,,omission error
2023-10-10 16:48:49.992055,,,omission error
2023-10-10 16:48:50.768920,,,omission error
2023-10-10 16:48:51.547605,,,omission error
2023-10-10 16:48:52.325487,,,omission error
2023-10-10 16:48:53.104408,,,omission error
2023-10-10 16:48:53.881436,,,omission error
2023-10-10 16:48:54.660976,,,omission error
2023-10-10 16:48:55.439764,,,correct omission
2023-10-10 16:48:56.216722,,,omission error
2023-10-10 16:48:56.993150,,,omission error
2023-10-10 16:48:57.770431,,,omission error
2023-10-10 16:48:58.547609,,,omission error
2023-10-10 16:48:59.324211,,,omission error
2023-10-10 16:49:00.100834,,,omission error
2023-10-10 16:49:00.878678,,,omission error
2023-10-10 16:49:01.655102,,,omission error
2023-10-10 16:49:02.432032,,,omission error
2023-10-10 16:49:03.211153,,,omission error
2023-10-10 16:49:03.986381,,,omission error
2023-10-10 16:49:04.763252,,,omission error
2023-10-10 16:49:05.539182,,,correct omission
2023-10-10 16:49:06.319070,,,omission error
2023-10-10 16:49:07.094279,,,omission error
2023-10-10 16:49:07.868874,,,omission error
2023-10-10 16:49:08.645102,,,omission error
2023-10-10 16:49:09.424287,,,omission error
2023-10-10 16:49:10.201502,,,correct omission
2023-10-10 16:49:10.978053,,,omission error
2023-10-10 16:49:11.753678,,,omission error
2023-10-10 16:49:12.530423,,,omission error
2023-10-10 16:49:13.308415,,,omission error
2023-10-10 16:49:14.087547,,,omission error
2023-10-10 16:49:14.868737,,,omission error
2023-10-10 16:49:15.647218,,,omission error
2023-10-10 16:49:16.422156,,,omission error
2023-10-10 16:49:17.201125,,,correct omission
