time,tag,tr,flag
2023-10-11 10:58:05.351867,ct,,
2023-10-11 10:58:05.829036,click,,
2023-10-11 10:58:06.131282,ct,0.477169,correct comission
2023-10-11 10:58:06.488936,click,,
2023-10-11 10:58:06.910568,ct,0.357654,correct comission
2023-10-11 10:58:07.800016,click,,
2023-10-11 10:58:07.691300,mt,0.889448,comission error
2023-10-11 10:58:08.473083,ct,,omission error
2023-10-11 10:58:08.929801,click,,
2023-10-11 10:58:09.254664,ct,0.456718,correct comission
2023-10-11 10:58:09.667300,click,,
2023-10-11 10:58:10.035907,ct,0.412636,correct comission
2023-10-11 10:58:10.502678,click,,
2023-10-11 10:58:10.815808,ct,0.466771,correct comission
2023-10-11 10:58:11.271883,click,,
2023-10-11 10:58:11.598688,ct,0.456075,correct comission
2023-10-11 10:58:12.044335,click,,
2023-10-11 10:58:12.380653,ct,0.445647,correct comission
2023-10-11 10:58:12.892554,click,,
2023-10-11 10:58:13.161607,ct,0.511901,correct comission
2023-10-11 10:58:13.661285,click,,
2023-10-11 10:58:13.943343,mt,0.499678,comission error
2023-10-11 10:58:14.356932,click,,
2023-10-11 10:58:14.725740,ct,0.413589,correct comission
2023-10-11 10:58:15.139794,click,,
2023-10-11 10:58:15.507206,ct,0.414054,correct comission
2023-10-11 10:58:16.058734,click,,
2023-10-11 10:58:16.289411,ct,0.551528,correct comission
2023-10-11 10:58:16.797727,click,,
2023-10-11 10:58:17.072475,ct,0.508316,correct comission
2023-10-11 10:58:17.669135,click,,
2023-10-11 10:58:17.853358,ct,0.59666,correct comission
2023-10-11 10:58:18.340552,click,,
2023-10-11 10:58:18.633526,ct,0.487194,correct comission
2023-10-11 10:58:19.175513,click,,
2023-10-11 10:58:19.413665,ct,0.541987,correct comission
2023-10-11 10:58:20.023356,click,,
2023-10-11 10:58:20.197163,ct,0.609691,correct comission
2023-10-11 10:58:20.725363,click,,
2023-10-11 10:58:20.977859,ct,0.5282,correct comission
2023-10-11 10:58:21.442717,click,,
2023-10-11 10:58:21.757090,ct,0.464858,correct comission
2023-10-11 10:58:22.275762,click,,
2023-10-11 10:58:22.538277,ct,0.518672,correct comission
2023-10-11 10:58:23.067331,click,,
2023-10-11 10:58:23.319317,ct,0.529054,correct comission
2023-10-11 10:58:23.860082,click,,
2023-10-11 10:58:24.100635,ct,0.540765,correct comission
2023-10-11 10:58:24.663344,click,,
2023-10-11 10:58:24.882304,mt,0.562709,comission error
2023-10-11 10:58:25.662048,ct,,omission error
2023-10-11 10:58:26.073159,click,,
2023-10-11 10:58:26.442582,ct,0.411111,correct comission
2023-10-11 10:58:27.406974,click,,
2023-10-11 10:58:27.224383,ct,0.964392,correct comission
2023-10-11 10:58:28.004933,ct,,omission error
2023-10-11 10:58:28.394846,click,,
2023-10-11 10:58:28.786563,ct,0.389913,correct comission
2023-10-11 10:58:29.242845,click,,
2023-10-11 10:58:29.569602,ct,0.456282,correct comission
2023-10-11 10:58:29.946838,click,,
2023-10-11 10:58:30.350010,ct,0.377236,correct comission
2023-10-11 10:58:30.828344,click,,
2023-10-11 10:58:31.133532,ct,0.478334,correct comission
2023-10-11 10:58:31.641079,click,,
2023-10-11 10:58:31.912620,mt,0.507547,comission error
2023-10-11 10:58:32.378150,click,,
2023-10-11 10:58:32.691509,ct,0.46553,correct comission
2023-10-11 10:58:33.473235,ct,,omission error
2023-10-11 10:58:34.095093,click,,
2023-10-11 10:58:34.257808,ct,0.621858,correct comission
2023-10-11 10:58:34.732943,click,,
2023-10-11 10:58:35.038385,ct,0.475135,correct comission
2023-10-11 10:58:35.580132,click,,
2023-10-11 10:58:35.819859,ct,0.541747,correct comission
2023-10-11 10:58:36.359841,click,,
2023-10-11 10:58:36.601793,ct,0.539982,correct comission
2023-10-11 10:58:37.210632,click,,
2023-10-11 10:58:37.383832,ct,0.608839,correct comission
2023-10-11 10:58:37.992934,click,,
2023-10-11 10:58:38.165284,ct,0.609102,correct comission
2023-10-11 10:58:38.685355,click,,
2023-10-11 10:58:38.946498,ct,0.520071,correct comission
2023-10-11 10:58:39.585548,click,,
2023-10-11 10:58:39.727027,ct,0.63905,correct comission
2023-10-11 10:58:40.280398,click,,
2023-10-11 10:58:40.507711,ct,0.553371,correct comission
2023-10-11 10:58:41.115214,click,,
2023-10-11 10:58:41.288303,mt,0.607503,comission error
2023-10-11 10:58:41.871763,click,,
2023-10-11 10:58:42.068783,ct,0.58346,correct comission
2023-10-11 10:58:42.599712,click,,
2023-10-11 10:58:42.850450,ct,0.530929,correct comission
2023-10-11 10:58:43.478933,click,,
2023-10-11 10:58:43.631579,ct,0.628483,correct comission
2023-10-11 10:58:44.196142,click,,
2023-10-11 10:58:44.414007,ct,0.564563,correct comission
2023-10-11 10:58:45.012878,click,,
2023-10-11 10:58:45.194204,ct,0.598871,correct comission
2023-10-11 10:58:45.715201,click,,
2023-10-11 10:58:45.975331,ct,0.520997,correct comission
2023-10-11 10:58:46.431471,click,,
2023-10-11 10:58:46.758263,mt,0.45614,comission error
2023-10-11 10:58:47.440567,click,,
2023-10-11 10:58:47.537399,ct,0.682304,correct comission
2023-10-11 10:58:48.099497,click,,
2023-10-11 10:58:48.320421,ct,0.562098,correct comission
2023-10-11 10:58:48.949702,click,,
2023-10-11 10:58:49.102541,ct,0.629281,correct comission
2023-10-11 10:58:49.752045,click,,
2023-10-11 10:58:49.882406,ct,0.649504,correct comission
2023-10-11 10:58:50.455596,click,,
2023-10-11 10:58:50.662680,ct,0.57319,correct comission
2023-10-11 10:58:51.291399,click,,
2023-10-11 10:58:51.442423,mt,0.628719,comission error
2023-10-11 10:58:52.092186,click,,
2023-10-11 10:58:52.221805,ct,0.649763,correct comission
2023-10-11 10:58:52.706869,click,,
2023-10-11 10:58:53.000540,ct,0.485064,correct comission
2023-10-11 10:58:53.618418,click,,
2023-10-11 10:58:53.780015,ct,0.617878,correct comission
2023-10-11 10:58:54.397641,click,,
2023-10-11 10:58:54.560564,ct,0.617626,correct comission
2023-10-11 10:58:55.287958,click,,
2023-10-11 10:58:55.340346,ct,0.727394,correct comission
2023-10-11 10:58:55.947335,click,,
2023-10-11 10:58:56.119278,ct,0.606989,correct comission
2023-10-11 10:58:56.681741,click,,
2023-10-11 10:58:56.900656,ct,0.562463,correct comission
2023-10-11 10:58:57.498373,click,,
2023-10-11 10:58:57.682311,ct,0.597717,correct comission
2023-10-11 10:58:58.256229,click,,
2023-10-11 10:58:58.463835,ct,0.573918,correct comission
2023-10-11 10:58:59.135310,click,,
2023-10-11 10:58:59.245237,ct,0.671475,correct comission
2023-10-11 10:58:59.896197,click,,
2023-10-11 10:59:00.026841,ct,0.65096,correct comission
2023-10-11 10:59:00.740432,click,,
2023-10-11 10:59:00.808096,ct,0.713591,correct comission
2023-10-11 10:59:01.522878,click,,
2023-10-11 10:59:01.587516,ct,0.714782,correct comission
2023-10-11 10:59:02.313601,click,,
2023-10-11 10:59:02.367745,ct,0.726085,correct comission
2023-10-11 10:59:03.132393,click,,
2023-10-11 10:59:03.148453,ct,0.764648,correct comission
2023-10-11 10:59:03.851586,click,,
2023-10-11 10:59:03.928575,ct,0.703133,correct comission
2023-10-11 10:59:04.675486,click,,
2023-10-11 10:59:04.709434,ct,0.746911,correct comission
2023-10-11 10:59:05.476510,click,,
2023-10-11 10:59:05.488722,mt,0.767076,comission error
2023-10-11 10:59:06.270893,ct,,omission error
2023-10-11 10:59:06.706803,click,,
2023-10-11 10:59:07.055085,ct,0.43591,correct comission
2023-10-11 10:59:07.836557,ct,,omission error
2023-10-11 10:59:08.227189,click,,
2023-10-11 10:59:08.622105,ct,0.390632,correct comission
2023-10-11 10:59:09.033702,click,,
2023-10-11 10:59:09.405134,ct,0.411597,correct comission
2023-10-11 10:59:09.828854,click,,
2023-10-11 10:59:10.185651,ct,0.42372,correct comission
2023-10-11 10:59:10.563992,click,,
2023-10-11 10:59:10.966977,ct,0.378341,correct comission
2023-10-11 10:59:11.291431,click,,
2023-10-11 10:59:11.750060,ct,0.324454,correct comission
2023-10-11 10:59:12.531623,ct,,omission error
2023-10-11 10:59:12.855288,click,,
2023-10-11 10:59:13.312199,ct,0.323665,correct comission
2023-10-11 10:59:14.396559,click,,
2023-10-11 10:59:14.095183,mt,1.08436,comission error
2023-10-11 10:59:15.181093,click,,
2023-10-11 10:59:14.877891,ct,1.08591,correct comission
2023-10-11 10:59:15.657637,mt,,correct omission
2023-10-11 10:59:16.198084,click,,
2023-10-11 10:59:16.439269,ct,0.540447,correct comission
2023-10-11 10:59:16.853245,click,,
2023-10-11 10:59:17.221879,ct,0.413976,correct comission
2023-10-11 10:59:17.720755,click,,
2023-10-11 10:59:18.003747,ct,0.498876,correct comission
2023-10-11 10:59:18.501788,click,,
2023-10-11 10:59:18.783467,ct,0.498041,correct comission
2023-10-11 10:59:19.333071,click,,
2023-10-11 10:59:19.566162,ct,0.549604,correct comission
2023-10-11 10:59:20.074413,click,,
2023-10-11 10:59:20.346890,ct,0.508251,correct comission
2023-10-11 10:59:20.833403,click,,
2023-10-11 10:59:21.125801,ct,0.486513,correct comission
2023-10-11 10:59:21.557961,click,,
2023-10-11 10:59:21.905306,ct,0.43216,correct comission
2023-10-11 10:59:22.536754,click,,
2023-10-11 10:59:22.688419,ct,0.631448,correct comission
2023-10-11 10:59:23.471954,ct,,omission error
2023-10-11 10:59:24.045239,click,,
2023-10-11 10:59:24.252255,ct,0.573285,correct comission
2023-10-11 10:59:24.740709,click,,
2023-10-11 10:59:25.035222,ct,0.488454,correct comission
2023-10-11 10:59:25.525283,click,,
2023-10-11 10:59:25.817933,ct,0.490061,correct comission
2023-10-11 10:59:26.316428,click,,
2023-10-11 10:59:26.600327,ct,0.498495,correct comission
2023-10-11 10:59:27.043438,click,,
2023-10-11 10:59:27.380263,ct,0.443111,correct comission
2023-10-11 10:59:27.932780,click,,
2023-10-11 10:59:28.163314,mt,0.552517,comission error
2023-10-11 10:59:28.707370,click,,
2023-10-11 10:59:28.943119,ct,0.544056,correct comission
2023-10-11 10:59:29.423225,click,,
2023-10-11 10:59:29.722947,ct,0.480106,correct comission
2023-10-11 10:59:30.252905,click,,
2023-10-11 10:59:30.504819,ct,0.529958,correct comission
2023-10-11 10:59:30.938760,click,,
