time,tag,tr,flag
2023-09-14 20:42:35.975363,ct,,
2023-09-14 20:42:36.755111,mt,,correct omission
2023-09-14 20:42:37.533204,ct,,omission error
2023-09-14 20:42:38.438771,click,,
2023-09-14 20:42:38.310957,ct,0.905567,correct comission
2023-09-14 20:42:38.940804,click,,
2023-09-14 20:42:39.091529,ct,0.629847,correct comission
2023-09-14 20:42:39.696450,click,,
2023-09-14 20:42:39.868536,ct,0.604921,correct comission
2023-09-14 20:42:40.680199,click,,
2023-09-14 20:42:40.647685,ct,0.811663,correct comission
2023-09-14 20:42:41.392122,click,,
2023-09-14 20:42:41.427614,ct,0.744437,correct comission
2023-09-14 20:42:42.122940,click,,
2023-09-14 20:42:42.205085,ct,0.695326,correct comission
2023-09-14 20:42:42.874451,click,,
2023-09-14 20:42:42.983149,ct,0.669366,correct comission
2023-09-14 20:42:43.898776,click,,
2023-09-14 20:42:43.759410,ct,0.915627,correct comission
2023-09-14 20:42:44.538777,ct,,omission error
2023-09-14 20:42:45.317823,ct,,omission error
2023-09-14 20:42:45.682086,click,,
2023-09-14 20:42:46.097435,ct,0.364263,correct comission
2023-09-14 20:42:46.924486,click,,
2023-09-14 20:42:46.875604,ct,0.827051,correct comission
2023-09-14 20:42:47.654845,ct,,omission error
2023-09-14 20:42:47.986920,click,,
2023-09-14 20:42:48.431319,ct,0.332075,correct comission
2023-09-14 20:42:49.275136,click,,
2023-09-14 20:42:49.206904,mt,0.843817,comission error
2023-09-14 20:42:49.985888,ct,,omission error
2023-09-14 20:42:50.644516,click,,
2023-09-14 20:42:50.764824,ct,0.658628,correct comission
2023-09-14 20:42:51.723892,click,,
2023-09-14 20:42:51.541770,ct,0.959068,correct comission
2023-09-14 20:42:52.243133,click,,
2023-09-14 20:42:52.320607,ct,0.701363,correct comission
2023-09-14 20:42:53.163107,click,,
2023-09-14 20:42:53.099028,mt,0.8425,comission error
2023-09-14 20:42:53.877559,ct,,omission error
2023-09-14 20:42:54.416018,click,,
2023-09-14 20:42:54.655047,ct,0.538459,correct comission
2023-09-14 20:42:55.432525,ct,,omission error
2023-09-14 20:42:56.090252,click,,
2023-09-14 20:42:56.209627,ct,0.657727,correct comission
2023-09-14 20:42:56.727819,click,,
2023-09-14 20:42:56.990571,ct,0.518192,correct comission
2023-09-14 20:42:57.596350,click,,
2023-09-14 20:42:57.769729,ct,0.605779,correct comission
2023-09-14 20:42:58.550466,ct,,omission error
2023-09-14 20:42:59.328726,ct,,omission error
2023-09-14 20:43:00.107595,ct,,omission error
2023-09-14 20:43:00.887256,click,,
2023-09-14 20:43:00.888272,ct,0.779661,correct comission
2023-09-14 20:43:01.593081,click,,
2023-09-14 20:43:01.664709,ct,0.704809,correct comission
2023-09-14 20:43:02.598697,click,,
2023-09-14 20:43:02.443617,ct,0.933988,correct comission
2023-09-14 20:43:03.296551,click,,
2023-09-14 20:43:03.221401,mt,0.852934,comission error
2023-09-14 20:43:03.896203,click,,
2023-09-14 20:43:03.998447,ct,0.674802,correct comission
2023-09-14 20:43:04.761391,click,,
2023-09-14 20:43:04.775745,ct,0.762944,correct comission
2023-09-14 20:43:05.488497,click,,
2023-09-14 20:43:05.552255,ct,0.712752,correct comission
2023-09-14 20:43:06.344064,click,,
2023-09-14 20:43:06.332900,mt,0.791809,comission error
2023-09-14 20:43:07.110576,ct,,omission error
2023-09-14 20:43:07.995918,click,,
2023-09-14 20:43:07.888197,ct,0.885342,correct comission
2023-09-14 20:43:08.710212,click,,
2023-09-14 20:43:08.667091,ct,0.822015,correct comission
2023-09-14 20:43:09.445473,ct,,omission error
2023-09-14 20:43:10.265485,click,,
2023-09-14 20:43:10.222736,ct,0.820012,correct comission
2023-09-14 20:43:11.258439,click,,
2023-09-14 20:43:10.999862,ct,1.035703,correct comission
2023-09-14 20:43:11.778980,ct,,omission error
2023-09-14 20:43:12.112417,click,,
2023-09-14 20:43:12.560371,ct,0.333437,correct comission
2023-09-14 20:43:13.550534,click,,
2023-09-14 20:43:13.339198,ct,0.990163,correct comission
2023-09-14 20:43:14.274242,click,,
2023-09-14 20:43:14.115849,mt,0.935044,comission error
2023-09-14 20:43:14.893833,ct,,omission error
2023-09-14 20:43:15.615935,click,,
2023-09-14 20:43:15.670340,ct,0.722102,correct comission
2023-09-14 20:43:16.382793,click,,
2023-09-14 20:43:16.449241,ct,0.712453,correct comission
2023-09-14 20:43:17.226329,ct,,omission error
2023-09-14 20:43:17.873311,click,,
2023-09-14 20:43:18.004919,ct,0.646982,correct comission
2023-09-14 20:43:18.825746,click,,
2023-09-14 20:43:18.782495,ct,0.820827,correct comission
2023-09-14 20:43:19.786865,click,,
2023-09-14 20:43:19.559360,ct,1.00437,correct comission
2023-09-14 20:43:20.339837,ct,,omission error
2023-09-14 20:43:21.041881,click,,
2023-09-14 20:43:21.119700,ct,0.702044,correct comission
2023-09-14 20:43:21.993508,click,,
2023-09-14 20:43:21.897399,ct,0.873808,correct comission
2023-09-14 20:43:22.673083,click,,
2023-09-14 20:43:22.676455,ct,0.775684,correct comission
2023-09-14 20:43:23.453264,ct,,omission error
2023-09-14 20:43:23.820025,click,,
2023-09-14 20:43:24.232296,ct,0.366761,correct comission
2023-09-14 20:43:25.010786,ct,,omission error
2023-09-14 20:43:25.659997,click,,
2023-09-14 20:43:25.790601,ct,0.649211,correct comission
2023-09-14 20:43:26.802145,click,,
2023-09-14 20:43:26.564657,ct,1.011544,correct comission
2023-09-14 20:43:27.413793,click,,
