time,tag,tr,flag
2023-10-23 19:10:26.513508,ct,,
2023-10-23 19:10:27.414924,click,,
2023-10-23 19:10:27.371896,ct,0.901416,correct comission
2023-10-23 19:10:28.034210,click,,
2023-10-23 19:10:28.153352,ct,0.662314,correct comission
2023-10-23 19:10:28.945716,click,,
2023-10-23 19:10:28.934454,ct,0.792364,correct comission
2023-10-23 19:10:29.573740,click,,
2023-10-23 19:10:29.714501,mt,0.639286,comission error
2023-10-23 19:10:30.497000,ct,,omission error
2023-10-23 19:10:31.070062,click,,
2023-10-23 19:10:31.277955,ct,0.573062,correct comission
2023-10-23 19:10:31.917866,click,,
2023-10-23 19:10:32.057885,ct,0.639911,correct comission
2023-10-23 19:10:32.587948,click,,
2023-10-23 19:10:32.838240,ct,0.530063,correct comission
2023-10-23 19:10:33.379497,click,,
2023-10-23 19:10:33.618090,ct,0.541257,correct comission
2023-10-23 19:10:34.149274,click,,
2023-10-23 19:10:34.400882,ct,0.531184,correct comission
2023-10-23 19:10:34.899020,click,,
2023-10-23 19:10:35.182538,ct,0.498138,correct comission
2023-10-23 19:10:35.724503,click,,
2023-10-23 19:10:35.964479,mt,0.541965,comission error
2023-10-23 19:10:36.743718,ct,,omission error
2023-10-23 19:10:37.350012,click,,
2023-10-23 19:10:37.522706,ct,0.606294,correct comission
2023-10-23 19:10:38.021472,click,,
2023-10-23 19:10:38.304726,ct,0.498766,correct comission
2023-10-23 19:10:38.773936,click,,
2023-10-23 19:10:39.089597,ct,0.46921,correct comission
2023-10-23 19:10:39.629928,click,,
2023-10-23 19:10:39.869856,ct,0.540331,correct comission
2023-10-23 19:10:40.812363,click,,
2023-10-23 19:10:40.650365,ct,0.942507,correct comission
2023-10-23 19:10:41.393485,click,,
2023-10-23 19:10:41.432013,ct,0.74312,correct comission
2023-10-23 19:10:42.071571,click,,
2023-10-23 19:10:42.212350,ct,0.639558,correct comission
2023-10-23 19:10:43.028005,click,,
2023-10-23 19:10:42.995443,ct,0.815655,correct comission
2023-10-23 19:10:43.645921,click,,
2023-10-23 19:10:43.775769,ct,0.650478,correct comission
2023-10-23 19:10:44.352141,click,,
2023-10-23 19:10:44.558150,ct,0.576372,correct comission
2023-10-23 19:10:45.342472,click,,
2023-10-23 19:10:45.338463,mt,0.784322,comission error
2023-10-23 19:10:46.051057,click,,
2023-10-23 19:10:46.116817,ct,0.712594,correct comission
2023-10-23 19:10:46.837849,click,,
2023-10-23 19:10:46.897018,ct,0.721032,correct comission
