time,tag,tr,flag
2023-09-22 14:26:28.022540,ct,,
2023-09-22 14:26:28.799136,mt,,correct omission
2023-09-22 14:26:29.575936,ct,,omission error
2023-09-22 14:26:30.426215,click,,
2023-09-22 14:26:30.350403,ct,0.850279,correct comission
2023-09-22 14:26:31.227375,click,,
2023-09-22 14:26:31.126294,ct,0.876972,correct comission
2023-09-22 14:26:32.187436,click,,
2023-09-22 14:26:31.902845,ct,1.061142,correct comission
2023-09-22 14:26:32.727334,click,,
2023-09-22 14:26:32.678452,ct,0.824489,correct comission
2023-09-22 14:26:33.383392,click,,
2023-09-22 14:26:33.455395,ct,0.70494,correct comission
2023-09-22 14:26:34.397767,click,,
2023-09-22 14:26:34.232055,ct,0.942372,correct comission
2023-09-22 14:26:35.117041,click,,
2023-09-22 14:26:35.010766,ct,0.884986,correct comission
2023-09-22 14:26:35.860757,click,,
2023-09-22 14:26:35.787581,mt,0.849991,comission error
2023-09-22 14:26:36.565184,ct,,omission error
2023-09-22 14:26:37.483943,click,,
2023-09-22 14:26:37.340786,ct,0.918759,correct comission
2023-09-22 14:26:38.066803,click,,
2023-09-22 14:26:38.115835,ct,0.726017,correct comission
2023-09-22 14:26:38.892508,ct,,omission error
2023-09-22 14:26:39.666006,click,,
2023-09-22 14:26:39.669396,ct,0.773498,correct comission
2023-09-22 14:26:40.521565,click,,
2023-09-22 14:26:40.448187,ct,0.852169,correct comission
2023-09-22 14:26:41.300139,click,,
2023-09-22 14:26:41.223270,ct,0.851952,correct comission
2023-09-22 14:26:42.035863,click,,
2023-09-22 14:26:41.998879,ct,0.812593,correct comission
2023-09-22 14:26:42.772720,ct,,omission error
2023-09-22 14:26:43.112234,click,,
2023-09-22 14:26:43.547667,ct,0.339514,correct comission
2023-09-22 14:26:44.427993,click,,
2023-09-22 14:26:44.322208,ct,0.880326,correct comission
2023-09-22 14:26:45.227146,click,,
2023-09-22 14:26:45.100277,ct,0.904938,correct comission
2023-09-22 14:26:45.875394,ct,,omission error
2023-09-22 14:26:46.650442,click,,
2023-09-22 14:26:46.651701,ct,0.775048,correct comission
2023-09-22 14:26:47.428138,ct,,omission error
2023-09-22 14:26:48.285079,click,,
2023-09-22 14:26:48.204646,ct,0.856941,correct comission
2023-09-22 14:26:49.078582,click,,
2023-09-22 14:26:48.979468,ct,0.873936,correct comission
2023-09-22 14:26:49.982387,click,,
2023-09-22 14:26:49.756500,mt,1.002919,comission error
2023-09-22 14:26:50.531064,ct,,omission error
2023-09-22 14:26:51.252378,click,,
2023-09-22 14:26:51.306452,ct,0.721314,correct comission
2023-09-22 14:26:52.083059,ct,,omission error
2023-09-22 14:26:53.015082,click,,
2023-09-22 14:26:52.861797,ct,0.932023,correct comission
2023-09-22 14:26:53.723741,click,,
2023-09-22 14:26:53.639376,mt,0.861944,comission error
2023-09-22 14:26:54.416041,ct,,omission error
2023-09-22 14:26:55.326135,click,,
2023-09-22 14:26:55.193068,ct,0.910094,correct comission
2023-09-22 14:26:55.970236,ct,,omission error
2023-09-22 14:26:56.873523,click,,
2023-09-22 14:26:56.745868,ct,0.903287,correct comission
2023-09-22 14:26:57.521979,ct,,omission error
2023-09-22 14:26:58.323852,click,,
2023-09-22 14:26:58.296240,ct,0.801873,correct comission
2023-09-22 14:26:59.108813,click,,
2023-09-22 14:26:59.071984,ct,0.812573,correct comission
2023-09-22 14:26:59.847734,ct,,omission error
2023-09-22 14:27:00.275073,click,,
2023-09-22 14:27:00.625096,ct,0.427339,correct comission
2023-09-22 14:27:01.715979,click,,
2023-09-22 14:27:01.398711,mt,1.090883,comission error
2023-09-22 14:27:02.175039,ct,,omission error
2023-09-22 14:27:02.881399,click,,
2023-09-22 14:27:02.949652,ct,0.70636,correct comission
2023-09-22 14:27:03.963111,click,,
2023-09-22 14:27:03.725062,ct,1.013459,correct comission
2023-09-22 14:27:04.518582,click,,
2023-09-22 14:27:04.502350,ct,0.79352,correct comission
2023-09-22 14:27:05.411337,click,,
2023-09-22 14:27:05.280049,ct,0.908987,correct comission
2023-09-22 14:27:06.057012,ct,,omission error
2023-09-22 14:27:06.388799,click,,
2023-09-22 14:27:06.834025,ct,0.331787,correct comission
2023-09-22 14:27:07.873126,click,,
2023-09-22 14:27:07.610699,ct,1.039101,correct comission
