time,tag,tr,flag
2023-09-22 16:03:54.687703,ct,,
2023-09-22 16:03:55.074515,click,,
2023-09-22 16:03:55.461144,ct,0.386812,correct comission
2023-09-22 16:03:56.158341,click,,
2023-09-22 16:03:56.234740,mt,0.697197,comission error
2023-09-22 16:03:57.008643,ct,,omission error
2023-09-22 16:03:57.458874,click,,
2023-09-22 16:03:57.783337,ct,0.450231,correct comission
2023-09-22 16:03:58.696928,click,,
2023-09-22 16:03:58.557926,ct,0.913591,correct comission
2023-09-22 16:03:59.331753,click,,
2023-09-22 16:03:59.333115,ct,0.773827,correct comission
2023-09-22 16:03:59.979480,click,,
2023-09-22 16:04:00.106044,ct,0.646365,correct comission
2023-09-22 16:04:00.643491,click,,
2023-09-22 16:04:00.879647,ct,0.537447,correct comission
2023-09-22 16:04:01.692940,click,,
2023-09-22 16:04:01.656256,ct,0.813293,correct comission
2023-09-22 16:04:02.279657,click,,
2023-09-22 16:04:02.431335,ct,0.623401,correct comission
2023-09-22 16:04:03.029352,click,,
2023-09-22 16:04:03.204183,ct,0.598017,correct comission
2023-09-22 16:04:03.714853,click,,
2023-09-22 16:04:03.977527,ct,0.51067,correct comission
2023-09-22 16:04:04.546675,click,,
2023-09-22 16:04:04.750405,ct,0.569148,correct comission
2023-09-22 16:04:05.229589,click,,
2023-09-22 16:04:05.524016,ct,0.479184,correct comission
2023-09-22 16:04:06.060478,click,,
2023-09-22 16:04:06.296703,ct,0.536462,correct comission
2023-09-22 16:04:06.935773,click,,
2023-09-22 16:04:07.070144,mt,0.63907,comission error
2023-09-22 16:04:07.562891,click,,
2023-09-22 16:04:07.843894,ct,0.492747,correct comission
2023-09-22 16:04:08.386270,click,,
2023-09-22 16:04:08.617118,ct,0.542376,correct comission
2023-09-22 16:04:09.098725,click,,
2023-09-22 16:04:09.391854,mt,0.481607,comission error
2023-09-22 16:04:09.824230,click,,
2023-09-22 16:04:10.164781,ct,0.432376,correct comission
2023-09-22 16:04:10.882026,click,,
2023-09-22 16:04:10.940214,ct,0.717245,correct comission
2023-09-22 16:04:11.572850,click,,
2023-09-22 16:04:11.714230,ct,0.632636,correct comission
2023-09-22 16:04:12.395832,click,,
2023-09-22 16:04:12.489645,ct,0.681602,correct comission
2023-09-22 16:04:13.203940,click,,
2023-09-22 16:04:13.262438,ct,0.714295,correct comission
2023-09-22 16:04:13.917101,click,,
2023-09-22 16:04:14.036845,ct,0.654663,correct comission
2023-09-22 16:04:14.763190,click,,
2023-09-22 16:04:14.810768,ct,0.726345,correct comission
2023-09-22 16:04:15.483899,click,,
2023-09-22 16:04:15.584861,ct,0.673131,correct comission
2023-09-22 16:04:16.125638,click,,
2023-09-22 16:04:16.358314,ct,0.540777,correct comission
2023-09-22 16:04:16.991459,click,,
2023-09-22 16:04:17.133354,ct,0.633145,correct comission
2023-09-22 16:04:17.680979,click,,
2023-09-22 16:04:17.907962,ct,0.547625,correct comission
2023-09-22 16:04:18.446023,click,,
2023-09-22 16:04:18.683127,ct,0.538061,correct comission
2023-09-22 16:04:19.471809,click,,
2023-09-22 16:04:19.456668,ct,0.788682,correct comission
2023-09-22 16:04:20.130337,click,,
2023-09-22 16:04:20.229998,mt,0.673669,comission error
2023-09-22 16:04:21.003924,ct,,omission error
2023-09-22 16:04:21.656514,click,,
2023-09-22 16:04:21.776758,ct,0.65259,correct comission
2023-09-22 16:04:22.418217,click,,
2023-09-22 16:04:22.550056,ct,0.641459,correct comission
2023-09-22 16:04:23.172444,click,,
2023-09-22 16:04:23.324139,ct,0.622388,correct comission
2023-09-22 16:04:23.955393,click,,
2023-09-22 16:04:24.096826,ct,0.631254,correct comission
2023-09-22 16:04:24.781409,click,,
2023-09-22 16:04:24.871341,ct,0.684583,correct comission
2023-09-22 16:04:25.436496,click,,
2023-09-22 16:04:25.646049,ct,0.565155,correct comission
2023-09-22 16:04:26.314212,click,,
2023-09-22 16:04:26.421005,ct,0.668163,correct comission
2023-09-22 16:04:27.057681,click,,
2023-09-22 16:04:27.194036,ct,0.636676,correct comission
2023-09-22 16:04:27.747781,click,,
2023-09-22 16:04:27.968239,mt,0.553745,comission error
2023-09-22 16:04:28.741642,ct,,omission error
2023-09-22 16:04:29.181982,click,,
2023-09-22 16:04:29.516473,ct,0.44034,correct comission
2023-09-22 16:04:29.968248,click,,
2023-09-22 16:04:30.292388,ct,0.451775,correct comission
2023-09-22 16:04:30.697455,click,,
2023-09-22 16:04:31.066157,ct,0.405067,correct comission
2023-09-22 16:04:32.108125,click,,
2023-09-22 16:04:31.840177,ct,1.041968,correct comission
2023-09-22 16:04:32.810308,click,,
2023-09-22 16:04:32.617230,mt,0.970131,comission error
2023-09-22 16:04:33.392365,ct,,omission error
2023-09-22 16:04:34.037757,click,,
2023-09-22 16:04:34.169274,ct,0.645392,correct comission
2023-09-22 16:04:34.730958,click,,
2023-09-22 16:04:34.945847,ct,0.561684,correct comission
2023-09-22 16:04:35.443151,click,,
2023-09-22 16:04:35.720535,ct,0.497304,correct comission
2023-09-22 16:04:36.166457,click,,
2023-09-22 16:04:36.496607,ct,0.445922,correct comission
2023-09-22 16:04:36.883271,click,,
2023-09-22 16:04:37.274292,ct,0.386664,correct comission
2023-09-22 16:04:37.674422,click,,
2023-09-22 16:04:38.051828,ct,0.40013,correct comission
2023-09-22 16:04:38.523174,click,,
2023-09-22 16:04:38.829063,ct,0.471346,correct comission
2023-09-22 16:04:39.301326,click,,
2023-09-22 16:04:39.604702,ct,0.472263,correct comission
2023-09-22 16:04:40.107032,click,,
2023-09-22 16:04:40.379478,ct,0.50233,correct comission
2023-09-22 16:04:40.851355,click,,
2023-09-22 16:04:41.152162,ct,0.471877,correct comission
2023-09-22 16:04:41.926647,mt,,correct omission
2023-09-22 16:04:42.595265,click,,
2023-09-22 16:04:42.700036,ct,0.668618,correct comission
2023-09-22 16:04:43.560501,click,,
2023-09-22 16:04:43.473521,ct,0.860465,correct comission
2023-09-22 16:04:44.305691,click,,
2023-09-22 16:04:44.248274,ct,0.83217,correct comission
2023-09-22 16:04:45.130678,click,,
2023-09-22 16:04:45.023759,ct,0.882404,correct comission
