time,tag,tr,flag
2023-09-23 09:23:51.538558,ct,,
2023-09-23 09:23:52.195992,click,,
2023-09-23 09:23:52.316560,ct,0.657434,correct comission
2023-09-23 09:23:53.045492,click,,
2023-09-23 09:23:53.090881,ct,0.728932,correct comission
2023-09-23 09:23:53.619063,click,,
2023-09-23 09:23:53.869415,ct,0.528182,correct comission
2023-09-23 09:23:54.503083,click,,
2023-09-23 09:23:54.644128,ct,0.633668,correct comission
2023-09-23 09:23:55.324963,click,,
2023-09-23 09:23:55.418321,ct,0.680835,correct comission
2023-09-23 09:23:56.117916,click,,
2023-09-23 09:23:56.195074,mt,0.699595,comission error
2023-09-23 09:23:56.972929,ct,,omission error
2023-09-23 09:23:57.673825,click,,
2023-09-23 09:23:57.750640,ct,0.700896,correct comission
2023-09-23 09:23:58.524208,click,,
2023-09-23 09:23:58.525322,ct,0.773568,correct comission
2023-09-23 09:23:59.241425,click,,
2023-09-23 09:23:59.300258,mt,0.716103,comission error
2023-09-23 09:24:00.179277,click,,
2023-09-23 09:24:00.075733,ct,0.879019,correct comission
2023-09-23 09:24:01.011083,click,,
2023-09-23 09:24:00.850945,ct,0.93535,correct comission
2023-09-23 09:24:01.691677,click,,
2023-09-23 09:24:01.627217,ct,0.840732,correct comission
2023-09-23 09:24:02.339491,click,,
2023-09-23 09:24:02.401963,ct,0.712274,correct comission
2023-09-23 09:24:03.166512,click,,
2023-09-23 09:24:03.177293,ct,0.764549,correct comission
2023-09-23 09:24:04.059072,click,,
2023-09-23 09:24:03.953581,ct,0.881779,correct comission
2023-09-23 09:24:04.738350,click,,
2023-09-23 09:24:04.727394,ct,0.784769,correct comission
2023-09-23 09:24:05.613030,click,,
2023-09-23 09:24:05.503703,ct,0.885636,correct comission
2023-09-23 09:24:06.280400,click,,
2023-09-23 09:24:06.281044,ct,0.776697,correct comission
2023-09-23 09:24:07.035640,click,,
2023-09-23 09:24:07.059785,mt,0.754596,comission error
2023-09-23 09:24:07.836290,ct,,omission error
2023-09-23 09:24:08.564455,click,,
2023-09-23 09:24:08.612424,ct,0.728165,correct comission
2023-09-23 09:24:09.389200,ct,,omission error
2023-09-23 09:24:09.712867,click,,
2023-09-23 09:24:10.166864,ct,0.323667,correct comission
2023-09-23 09:24:10.932083,click,,
2023-09-23 09:24:10.945255,ct,0.765219,correct comission
2023-09-23 09:24:11.697158,click,,
2023-09-23 09:24:11.720248,ct,0.751903,correct comission
2023-09-23 09:24:12.540258,click,,
2023-09-23 09:24:12.497967,ct,0.82001,correct comission
2023-09-23 09:24:13.408487,click,,
2023-09-23 09:24:13.272862,ct,0.91052,correct comission
2023-09-23 09:24:14.067614,click,,
2023-09-23 09:24:14.050492,ct,0.794752,correct comission
2023-09-23 09:24:15.085319,click,,
2023-09-23 09:24:14.827469,mt,1.034827,comission error
2023-09-23 09:24:15.603146,ct,,omission error
2023-09-23 09:24:16.292055,click,,
2023-09-23 09:24:16.377659,ct,0.688909,correct comission
2023-09-23 09:24:17.136981,click,,
2023-09-23 09:24:17.150943,ct,0.759322,correct comission
2023-09-23 09:24:17.925278,click,,
2023-09-23 09:24:17.925898,ct,0.774335,correct comission
2023-09-23 09:24:18.876329,click,,
2023-09-23 09:24:18.701716,ct,0.950431,correct comission
2023-09-23 09:24:19.420888,click,,
2023-09-23 09:24:19.476737,ct,0.719172,correct comission
2023-09-23 09:24:20.290570,click,,
2023-09-23 09:24:20.251444,ct,0.813833,correct comission
2023-09-23 09:24:20.940320,click,,
2023-09-23 09:24:21.027930,ct,0.688876,correct comission
2023-09-23 09:24:21.923539,click,,
2023-09-23 09:24:21.802559,ct,0.895609,correct comission
2023-09-23 09:24:22.578894,ct,,omission error
2023-09-23 09:24:23.459160,click,,
2023-09-23 09:24:23.352571,ct,0.880266,correct comission
2023-09-23 09:24:24.236885,click,,
2023-09-23 09:24:24.130619,ct,0.884314,correct comission
2023-09-23 09:24:24.908230,click,,
2023-09-23 09:24:24.908895,ct,0.777611,correct comission
2023-09-23 09:24:25.685707,click,,
2023-09-23 09:24:25.686780,mt,0.776812,comission error
2023-09-23 09:24:26.416269,click,,
2023-09-23 09:24:26.465110,ct,0.729489,correct comission
2023-09-23 09:24:27.412186,click,,
2023-09-23 09:24:27.242837,ct,0.947076,correct comission
2023-09-23 09:24:28.116201,click,,
2023-09-23 09:24:28.016875,ct,0.873364,correct comission
2023-09-23 09:24:28.863285,click,,
2023-09-23 09:24:28.794374,ct,0.84641,correct comission
2023-09-23 09:24:29.636316,click,,
2023-09-23 09:24:29.571437,mt,0.841942,comission error
2023-09-23 09:24:30.350424,ct,,omission error
2023-09-23 09:24:31.072354,click,,
2023-09-23 09:24:31.127882,ct,0.72193,correct comission
2023-09-23 09:24:31.899202,click,,
2023-09-23 09:24:31.906231,ct,0.77132,correct comission
2023-09-23 09:24:32.684599,click,,
2023-09-23 09:24:32.685463,ct,0.778368,correct comission
2023-09-23 09:24:33.469197,click,,
2023-09-23 09:24:33.461600,ct,0.783734,correct comission
2023-09-23 09:24:34.236656,click,,
2023-09-23 09:24:34.237330,ct,0.775056,correct comission
2023-09-23 09:24:35.167288,click,,
2023-09-23 09:24:35.013536,ct,0.929958,correct comission
2023-09-23 09:24:35.924559,click,,
2023-09-23 09:24:35.788989,ct,0.911023,correct comission
2023-09-23 09:24:36.772236,click,,
