time,tag,tr,flag
2023-09-23 11:07:18.624544,ct,,
2023-09-23 11:07:19.468303,click,,
2023-09-23 11:07:19.399504,ct,0.843759,correct comission
2023-09-23 11:07:20.259031,click,,
2023-09-23 11:07:20.182507,ct,0.859527,correct comission
2023-09-23 11:07:20.955459,click,,
2023-09-23 11:07:20.959902,ct,0.772952,correct comission
2023-09-23 11:07:21.738799,ct,,omission error
2023-09-23 11:07:22.445983,click,,
2023-09-23 11:07:22.515437,ct,0.707184,correct comission
2023-09-23 11:07:23.583359,click,,
2023-09-23 11:07:23.293066,ct,1.067922,correct comission
2023-09-23 11:07:24.319491,click,,
2023-09-23 11:07:24.070581,mt,1.026425,comission error
2023-09-23 11:07:24.848531,ct,,omission error
2023-09-23 11:07:25.444237,click,,
2023-09-23 11:07:25.625611,ct,0.595706,correct comission
2023-09-23 11:07:26.286374,click,,
2023-09-23 11:07:26.406450,ct,0.660763,correct comission
2023-09-23 11:07:27.043891,click,,
2023-09-23 11:07:27.184741,ct,0.637441,correct comission
2023-09-23 11:07:27.690491,click,,
2023-09-23 11:07:27.962339,ct,0.50575,correct comission
2023-09-23 11:07:28.535657,click,,
2023-09-23 11:07:28.739568,ct,0.573318,correct comission
2023-09-23 11:07:29.235626,click,,
2023-09-23 11:07:29.516872,ct,0.496058,correct comission
2023-09-23 11:07:29.854920,click,,
2023-09-23 11:07:30.294627,ct,0.338048,correct comission
2023-09-23 11:07:31.232038,click,,
2023-09-23 11:07:31.072852,ct,0.937411,correct comission
2023-09-23 11:07:31.884956,click,,
2023-09-23 11:07:31.852240,ct,0.812104,correct comission
2023-09-23 11:07:32.306086,click,,
2023-09-23 11:07:32.632104,mt,0.453846,comission error
2023-09-23 11:07:33.078838,click,,
2023-09-23 11:07:33.412636,ct,0.446734,correct comission
2023-09-23 11:07:34.205167,click,,
2023-09-23 11:07:34.194061,ct,0.792531,correct comission
2023-09-23 11:07:34.891834,click,,
2023-09-23 11:07:34.970900,ct,0.697773,correct comission
2023-09-23 11:07:35.663474,click,,
2023-09-23 11:07:35.749832,ct,0.692574,correct comission
2023-09-23 11:07:36.276848,click,,
2023-09-23 11:07:36.527024,mt,0.527016,comission error
2023-09-23 11:07:36.979079,click,,
2023-09-23 11:07:37.304115,ct,0.452055,correct comission
2023-09-23 11:07:38.032864,click,,
2023-09-23 11:07:38.081164,ct,0.728749,correct comission
2023-09-23 11:07:38.802577,click,,
2023-09-23 11:07:38.859542,ct,0.721413,correct comission
