time,tag,tr,flag
2023-09-28 13:52:45.538122,mt,,
2023-09-28 13:52:46.338236,ct,,omission error
2023-09-28 13:52:47.137804,ct,,omission error
2023-09-28 13:52:47.949092,ct,,omission error
2023-09-28 13:52:48.748136,ct,,omission error
2023-09-28 13:52:49.558665,ct,,omission error
2023-09-28 13:52:50.158187,click,,
2023-09-28 13:52:50.358426,ct,0.599522,correct comission
2023-09-28 13:52:51.121714,click,,
2023-09-28 13:52:51.162272,ct,0.763288,correct comission
2023-09-28 13:52:51.855370,click,,
2023-09-28 13:52:51.968092,ct,0.693098,correct comission
2023-09-28 13:52:52.317128,click,,
2023-09-28 13:52:52.771071,ct,0.349036,correct comission
2023-09-28 13:52:53.697324,click,,
2023-09-28 13:52:53.590438,ct,0.926253,correct comission
2023-09-28 13:52:54.546800,click,,
2023-09-28 13:52:54.394367,ct,0.956362,correct comission
2023-09-28 13:52:55.191796,ct,,omission error
2023-09-28 13:52:55.749090,click,,
2023-09-28 13:52:56.003984,ct,0.557294,correct comission
2023-09-28 13:52:56.670115,click,,
2023-09-28 13:52:56.805838,ct,0.666131,correct comission
2023-09-28 13:52:57.751764,click,,
2023-09-28 13:52:57.611123,ct,0.945926,correct comission
2023-09-28 13:52:58.482974,click,,
2023-09-28 13:52:58.417547,mt,0.871851,comission error
2023-09-28 13:52:59.268657,click,,
2023-09-28 13:52:59.224742,ct,0.85111,correct comission
2023-09-28 13:53:00.025242,ct,,omission error
2023-09-28 13:53:00.829859,ct,,omission error
2023-09-28 13:53:01.390145,click,,
2023-09-28 13:53:01.633318,ct,0.560286,correct comission
2023-09-28 13:53:02.441498,ct,,omission error
2023-09-28 13:53:02.951620,click,,
2023-09-28 13:53:03.244732,ct,0.510122,correct comission
2023-09-28 13:53:03.824728,click,,
2023-09-28 13:53:04.047648,ct,0.579996,correct comission
2023-09-28 13:53:04.581263,click,,
2023-09-28 13:53:04.852636,mt,0.533615,comission error
2023-09-28 13:53:05.334678,click,,
2023-09-28 13:53:05.661059,ct,0.482042,correct comission
2023-09-28 13:53:06.374484,click,,
2023-09-28 13:53:06.467009,ct,0.713425,correct comission
2023-09-28 13:53:06.960712,click,,
2023-09-28 13:53:07.274106,ct,0.493703,correct comission
2023-09-28 13:53:07.718210,click,,
2023-09-28 13:53:08.073550,ct,0.444104,correct comission
2023-09-28 13:53:08.735852,click,,
2023-09-28 13:53:08.880893,ct,0.662302,correct comission
2023-09-28 13:53:09.496761,click,,
2023-09-28 13:53:09.683187,ct,0.615868,correct comission
