time,tag,tr,flag
2023-10-02 16:00:33.918872,ct,,
2023-10-02 16:00:34.489200,click,,
2023-10-02 16:00:34.697634,mt,0.570328,comission error
2023-10-02 16:00:35.355266,click,,
2023-10-02 16:00:35.476623,ct,0.657632,correct comission
2023-10-02 16:00:36.105369,click,,
2023-10-02 16:00:36.256096,ct,0.628746,correct comission
2023-10-02 16:00:36.794811,click,,
2023-10-02 16:00:37.035819,ct,0.538715,correct comission
2023-10-02 16:00:37.573224,click,,
2023-10-02 16:00:37.814157,ct,0.537405,correct comission
2023-10-02 16:00:38.332762,click,,
2023-10-02 16:00:38.594678,ct,0.518605,correct comission
2023-10-02 16:00:39.070441,click,,
2023-10-02 16:00:39.374076,ct,0.475763,correct comission
2023-10-02 16:00:39.891193,click,,
2023-10-02 16:00:40.152631,ct,0.517117,correct comission
2023-10-02 16:00:40.748796,click,,
2023-10-02 16:00:40.931823,ct,0.596165,correct comission
2023-10-02 16:00:41.397847,click,,
2023-10-02 16:00:41.709268,ct,0.466024,correct comission
2023-10-02 16:00:42.042836,click,,
2023-10-02 16:00:42.487830,ct,0.333568,correct comission
2023-10-02 16:00:42.845375,click,,
2023-10-02 16:00:43.263534,mt,0.357545,comission error
2023-10-02 16:00:43.590634,click,,
2023-10-02 16:00:44.042115,ct,0.3271,correct comission
2023-10-02 16:00:44.821472,ct,,omission error
2023-10-02 16:00:45.564728,click,,
2023-10-02 16:00:45.600297,ct,0.743256,correct comission
2023-10-02 16:00:46.150730,click,,
2023-10-02 16:00:46.378901,ct,0.550433,correct comission
2023-10-02 16:00:47.048066,click,,
2023-10-02 16:00:47.157372,ct,0.669165,correct comission
2023-10-02 16:00:47.778538,click,,
2023-10-02 16:00:47.936148,ct,0.621166,correct comission
2023-10-02 16:00:48.440331,click,,
2023-10-02 16:00:48.712855,ct,0.504183,correct comission
2023-10-02 16:00:49.129686,click,,
2023-10-02 16:00:49.490533,ct,0.416831,correct comission
2023-10-02 16:00:50.192972,click,,
2023-10-02 16:00:50.267773,ct,0.702439,correct comission
2023-10-02 16:00:50.785199,click,,
2023-10-02 16:00:51.047513,ct,0.517426,correct comission
2023-10-02 16:00:51.513635,click,,
2023-10-02 16:00:51.824030,ct,0.466122,correct comission
2023-10-02 16:00:52.602796,ct,,omission error
2023-10-02 16:00:53.335747,click,,
2023-10-02 16:00:53.380686,ct,0.732951,correct comission
2023-10-02 16:00:54.007994,click,,
2023-10-02 16:00:54.160130,ct,0.627308,correct comission
2023-10-02 16:00:54.642632,click,,
2023-10-02 16:00:54.938944,mt,0.482502,comission error
2023-10-02 16:00:55.718838,ct,,omission error
2023-10-02 16:00:56.335041,click,,
2023-10-02 16:00:56.497860,mt,0.616203,comission error
2023-10-02 16:00:56.982838,click,,
2023-10-02 16:00:57.275421,ct,0.484978,correct comission
2023-10-02 16:00:57.956574,click,,
2023-10-02 16:00:58.052926,ct,0.681153,correct comission
2023-10-02 16:00:58.635632,click,,
2023-10-02 16:00:58.833125,ct,0.582706,correct comission
2023-10-02 16:00:59.359539,click,,
2023-10-02 16:00:59.609902,ct,0.526414,correct comission
2023-10-02 16:01:00.092237,click,,
2023-10-02 16:01:00.386268,ct,0.482335,correct comission
2023-10-02 16:01:00.776897,click,,
2023-10-02 16:01:01.166404,ct,0.390629,correct comission
2023-10-02 16:01:01.888926,click,,
2023-10-02 16:01:01.945923,ct,0.722522,correct comission
2023-10-02 16:01:02.529983,click,,
2023-10-02 16:01:02.725753,ct,0.58406,correct comission
2023-10-02 16:01:03.505003,click,,
2023-10-02 16:01:03.506604,ct,0.77925,correct comission
2023-10-02 16:01:04.362657,click,,
2023-10-02 16:01:04.287427,mt,0.856053,comission error
2023-10-02 16:01:04.968581,click,,
2023-10-02 16:01:05.066848,ct,0.681154,correct comission
2023-10-02 16:01:05.672690,click,,
2023-10-02 16:01:05.846284,ct,0.605842,correct comission
2023-10-02 16:01:06.602199,click,,
2023-10-02 16:01:06.625348,ct,0.755915,correct comission
2023-10-02 16:01:07.343339,click,,
