time,tag,tr,flag
2023-10-09 11:55:53.741052,ct,,
2023-10-09 11:55:54.561855,click,,
2023-10-09 11:55:54.517650,ct,0.820803,correct comission
2023-10-09 11:55:55.123969,click,,
2023-10-09 11:55:55.294784,mt,0.606319,comission error
2023-10-09 11:55:55.767486,click,,
2023-10-09 11:55:56.071979,ct,0.472702,correct comission
2023-10-09 11:55:56.595068,click,,
2023-10-09 11:55:56.849880,ct,0.523089,correct comission
2023-10-09 11:55:57.293659,click,,
2023-10-09 11:55:57.628025,ct,0.443779,correct comission
2023-10-09 11:55:58.101981,click,,
2023-10-09 11:55:58.405842,ct,0.473956,correct comission
2023-10-09 11:55:58.838954,click,,
2023-10-09 11:55:59.186704,ct,0.433112,correct comission
2023-10-09 11:55:59.748009,click,,
2023-10-09 11:55:59.964355,ct,0.561305,correct comission
2023-10-09 11:56:00.637493,click,,
2023-10-09 11:56:00.740785,ct,0.673138,correct comission
2023-10-09 11:56:01.359820,click,,
2023-10-09 11:56:01.521013,ct,0.619035,correct comission
2023-10-09 11:56:02.126183,click,,
2023-10-09 11:56:02.298525,ct,0.60517,correct comission
2023-10-09 11:56:02.814531,click,,
2023-10-09 11:56:03.074762,ct,0.516006,correct comission
2023-10-09 11:56:03.420070,click,,
2023-10-09 11:56:03.853983,ct,0.345308,correct comission
2023-10-09 11:56:04.198086,click,,
2023-10-09 11:56:04.631918,ct,0.344103,correct comission
2023-10-09 11:56:05.658928,click,,
2023-10-09 11:56:05.409389,ct,1.02701,correct comission
2023-10-09 11:56:06.397124,click,,
2023-10-09 11:56:06.187125,ct,0.987735,correct comission
2023-10-09 11:56:07.082326,click,,
2023-10-09 11:56:06.964897,ct,0.895201,correct comission
2023-10-09 11:56:07.725004,click,,
2023-10-09 11:56:07.742977,mt,0.760107,comission error
2023-10-09 11:56:08.621080,click,,
2023-10-09 11:56:08.520340,ct,0.878103,correct comission
2023-10-09 11:56:09.297182,ct,,omission error
2023-10-09 11:56:09.660426,click,,
2023-10-09 11:56:10.072863,ct,0.363244,correct comission
2023-10-09 11:56:10.406445,click,,
2023-10-09 11:56:10.853842,ct,0.333582,correct comission
2023-10-09 11:56:11.782177,click,,
2023-10-09 11:56:11.632704,ct,0.928335,correct comission
2023-10-09 11:56:12.496653,click,,
2023-10-09 11:56:12.410939,ct,0.863949,correct comission
2023-10-09 11:56:13.243371,click,,
2023-10-09 11:56:13.188672,ct,0.832432,correct comission
2023-10-09 11:56:13.990149,click,,
2023-10-09 11:56:13.966014,ct,0.801477,correct comission
2023-10-09 11:56:14.729662,click,,
2023-10-09 11:56:14.744379,ct,0.763648,correct comission
2023-10-09 11:56:15.456782,click,,
2023-10-09 11:56:15.522192,mt,0.712403,comission error
2023-10-09 11:56:16.300936,ct,,omission error
2023-10-09 11:56:16.758493,click,,
2023-10-09 11:56:17.078122,ct,0.457557,correct comission
2023-10-09 11:56:17.778924,click,,
