time,tag,tr,flag
2023-10-10 11:18:25.459178,ct,,
2023-10-10 11:18:26.237990,ct,,omission error
2023-10-10 11:18:27.132383,click,,
2023-10-10 11:18:27.067494,ct,0.894393,correct comission
2023-10-10 11:18:27.747811,click,,
2023-10-10 11:18:27.842764,ct,0.680317,correct comission
2023-10-10 11:18:28.617942,click,,
2023-10-10 11:18:28.621597,ct,0.775178,correct comission
2023-10-10 11:18:29.295206,click,,
2023-10-10 11:18:29.398418,ct,0.673609,correct comission
2023-10-10 11:18:29.953007,click,,
2023-10-10 11:18:30.174503,ct,0.554589,correct comission
2023-10-10 11:18:30.633226,click,,
2023-10-10 11:18:30.951363,ct,0.458723,correct comission
2023-10-10 11:18:31.351352,click,,
2023-10-10 11:18:31.731211,mt,0.399989,comission error
2023-10-10 11:18:32.095289,click,,
2023-10-10 11:18:32.510371,mt,0.364078,comission error
2023-10-10 11:18:32.953910,click,,
2023-10-10 11:18:33.290251,ct,0.443539,correct comission
2023-10-10 11:18:33.907165,click,,
2023-10-10 11:18:34.069060,ct,0.616914,correct comission
2023-10-10 11:18:34.537392,click,,
2023-10-10 11:18:34.845651,ct,0.468332,correct comission
2023-10-10 11:18:35.330789,click,,
2023-10-10 11:18:35.623790,ct,0.485138,correct comission
2023-10-10 11:18:36.097286,click,,
2023-10-10 11:18:36.402064,ct,0.473496,correct comission
2023-10-10 11:18:36.929411,click,,
2023-10-10 11:18:37.180522,ct,0.527347,correct comission
2023-10-10 11:18:37.632921,click,,
2023-10-10 11:18:37.957993,ct,0.452399,correct comission
2023-10-10 11:18:38.389717,click,,
2023-10-10 11:18:38.735685,ct,0.431724,correct comission
2023-10-10 11:18:39.093399,click,,
2023-10-10 11:18:39.512814,ct,0.357714,correct comission
2023-10-10 11:18:39.965336,click,,
2023-10-10 11:18:40.291595,ct,0.452522,correct comission
2023-10-10 11:18:40.811083,click,,
2023-10-10 11:18:41.068552,ct,0.519488,correct comission
2023-10-10 11:18:41.514257,click,,
2023-10-10 11:18:41.845337,mt,0.445705,comission error
2023-10-10 11:18:42.261480,click,,
2023-10-10 11:18:42.621781,ct,0.416143,correct comission
2023-10-10 11:18:43.093212,click,,
2023-10-10 11:18:43.399168,ct,0.471431,correct comission
2023-10-10 11:18:43.899929,click,,
2023-10-10 11:18:44.176589,ct,0.500761,correct comission
2023-10-10 11:18:44.587192,click,,
2023-10-10 11:18:44.956453,ct,0.410603,correct comission
2023-10-10 11:18:45.379742,click,,
