time,tag,tr,flag
2023-09-14 20:12:52.024459,ct,,
2023-09-14 20:12:52.800149,mt,,correct omission
2023-09-14 20:12:53.578465,ct,,omission error
2023-09-14 20:12:54.171791,click,,
2023-09-14 20:12:54.355105,ct,0.593326,correct comission
2023-09-14 20:12:55.133468,ct,,omission error
2023-09-14 20:12:55.649656,click,,
2023-09-14 20:12:55.909425,ct,0.516188,correct comission
2023-09-14 20:12:56.600638,click,,
2023-09-14 20:12:56.688226,ct,0.691213,correct comission
2023-09-14 20:12:57.464102,click,,
2023-09-14 20:12:57.465170,ct,0.775876,correct comission
2023-09-14 20:12:58.295215,click,,
2023-09-14 20:12:58.242068,ct,0.830045,correct comission
2023-09-14 20:12:59.054991,click,,
2023-09-14 20:12:59.019077,ct,0.812923,correct comission
2023-09-14 20:12:59.794478,click,,
2023-09-14 20:12:59.795565,mt,0.775401,comission error
2023-09-14 20:13:00.571805,ct,,omission error
2023-09-14 20:13:01.542160,click,,
2023-09-14 20:13:01.347596,ct,0.970355,correct comission
2023-09-14 20:13:02.222192,click,,
2023-09-14 20:13:02.126054,ct,0.874596,correct comission
2023-09-14 20:13:03.114327,click,,
2023-09-14 20:13:02.903143,ct,0.988273,correct comission
2023-09-14 20:13:03.646428,click,,
2023-09-14 20:13:03.682053,ct,0.743285,correct comission
2023-09-14 20:13:04.458192,ct,,omission error
2023-09-14 20:13:05.248020,click,,
2023-09-14 20:13:05.237173,ct,0.789828,correct comission
2023-09-14 20:13:06.082664,click,,
2023-09-14 20:13:06.012946,ct,0.845491,correct comission
2023-09-14 20:13:06.822626,click,,
2023-09-14 20:13:06.790300,ct,0.80968,correct comission
2023-09-14 20:13:07.589168,click,,
2023-09-14 20:13:07.567882,ct,0.798868,correct comission
2023-09-14 20:13:08.592346,click,,
2023-09-14 20:13:08.344296,ct,1.024464,correct comission
2023-09-14 20:13:09.178519,click,,
2023-09-14 20:13:09.122167,ct,0.834223,correct comission
2023-09-14 20:13:10.125887,click,,
2023-09-14 20:13:09.896857,ct,1.00372,correct comission
2023-09-14 20:13:10.692232,click,,
2023-09-14 20:13:10.673563,mt,0.795375,comission error
2023-09-14 20:13:11.450521,ct,,omission error
2023-09-14 20:13:12.228096,ct,,omission error
2023-09-14 20:13:12.926678,click,,
2023-09-14 20:13:13.005814,ct,0.698582,correct comission
2023-09-14 20:13:13.691288,click,,
2023-09-14 20:13:13.782113,ct,0.685474,correct comission
2023-09-14 20:13:14.341512,click,,
2023-09-14 20:13:14.559241,ct,0.559399,correct comission
2023-09-14 20:13:15.335398,ct,,omission error
2023-09-14 20:13:16.112514,ct,,omission error
2023-09-14 20:13:16.437412,click,,
2023-09-14 20:13:16.887760,ct,0.324898,correct comission
2023-09-14 20:13:17.394915,click,,
2023-09-14 20:13:17.665403,ct,0.507155,correct comission
2023-09-14 20:13:18.391766,click,,
2023-09-14 20:13:18.442934,mt,0.726363,comission error
2023-09-14 20:13:19.184138,click,,
2023-09-14 20:13:19.220153,ct,0.741204,correct comission
2023-09-14 20:13:19.950799,click,,
2023-09-14 20:13:19.996771,ct,0.730646,correct comission
2023-09-14 20:13:20.763065,click,,
2023-09-14 20:13:20.773340,ct,0.766294,correct comission
2023-09-14 20:13:21.464465,click,,
2023-09-14 20:13:21.550218,ct,0.691125,correct comission
2023-09-14 20:13:22.398818,click,,
2023-09-14 20:13:22.325167,mt,0.8486,comission error
2023-09-14 20:13:23.101238,ct,,omission error
2023-09-14 20:13:23.822034,click,,
2023-09-14 20:13:23.878045,ct,0.720796,correct comission
2023-09-14 20:13:24.653923,ct,,omission error
2023-09-14 20:13:25.292053,click,,
2023-09-14 20:13:25.431242,ct,0.63813,correct comission
2023-09-14 20:13:26.304125,click,,
2023-09-14 20:13:26.207519,ct,0.872883,correct comission
2023-09-14 20:13:26.921197,click,,
2023-09-14 20:13:26.983167,ct,0.713678,correct comission
2023-09-14 20:13:27.635971,click,,
2023-09-14 20:13:27.760138,ct,0.652804,correct comission
2023-09-14 20:13:28.416779,click,,
2023-09-14 20:13:28.536397,ct,0.656641,correct comission
2023-09-14 20:13:29.180786,click,,
2023-09-14 20:13:29.418083,ct,0.644389,correct comission
2023-09-14 20:13:30.113319,click,,
2023-09-14 20:13:30.195669,ct,0.695236,correct comission
2023-09-14 20:13:31.009189,click,,
2023-09-14 20:13:30.973451,ct,0.81352,correct comission
2023-09-14 20:13:31.752874,ct,,omission error
2023-09-14 20:13:32.505017,click,,
2023-09-14 20:13:32.530626,ct,0.752143,correct comission
2023-09-14 20:13:33.308704,ct,,omission error
2023-09-14 20:13:33.721882,click,,
2023-09-14 20:13:34.088279,ct,0.413178,correct comission
2023-09-14 20:13:35.117274,click,,
2023-09-14 20:13:34.868549,ct,1.028995,correct comission
2023-09-14 20:13:35.648995,ct,,omission error
2023-09-14 20:13:36.312809,click,,
2023-09-14 20:13:36.427572,ct,0.663814,correct comission
2023-09-14 20:13:37.076785,click,,
2023-09-14 20:13:37.207384,mt,0.649213,comission error
2023-09-14 20:13:37.983981,ct,,omission error
2023-09-14 20:13:38.762112,ct,,omission error
2023-09-14 20:13:39.094893,click,,
2023-09-14 20:13:39.539729,ct,0.332781,correct comission
2023-09-14 20:13:40.511255,click,,
2023-09-14 20:13:40.317811,ct,0.971526,correct comission
2023-09-14 20:13:40.954287,click,,
2023-09-14 20:13:41.095310,ct,0.636476,correct comission
2023-09-14 20:13:41.776261,click,,
2023-09-14 20:13:41.872017,ct,0.680951,correct comission
2023-09-14 20:13:42.447586,click,,
2023-09-14 20:13:42.650371,mt,0.575569,comission error
2023-09-14 20:13:43.191874,click,,
2023-09-14 20:13:43.428444,ct,0.541503,correct comission
2023-09-14 20:13:44.093937,click,,
2023-09-14 20:13:44.207538,ct,0.665493,correct comission
2023-09-14 20:13:44.918743,click,,
2023-09-14 20:13:44.985601,ct,0.711205,correct comission
2023-09-14 20:13:45.784672,click,,
2023-09-14 20:13:45.761586,ct,0.799071,correct comission
2023-09-14 20:13:46.496630,click,,
2023-09-14 20:13:46.539708,ct,0.735044,correct comission
2023-09-14 20:13:47.351396,click,,
2023-09-14 20:13:47.318484,mt,0.811688,comission error
2023-09-14 20:13:48.096503,ct,,omission error
2023-09-14 20:13:48.774582,click,,
2023-09-14 20:13:48.873978,ct,0.678079,correct comission
2023-09-14 20:13:49.405934,click,,
2023-09-14 20:13:49.650916,ct,0.531956,correct comission
2023-09-14 20:13:50.268230,click,,
2023-09-14 20:13:50.428304,ct,0.617314,correct comission
2023-09-14 20:13:50.993460,click,,
2023-09-14 20:13:51.204732,ct,0.565156,correct comission
2023-09-14 20:13:51.718516,click,,
2023-09-14 20:13:51.986131,ct,0.513784,correct comission
2023-09-14 20:13:52.523923,click,,
2023-09-14 20:13:52.764704,ct,0.537792,correct comission
2023-09-14 20:13:53.727296,click,,
2023-09-14 20:13:53.542003,ct,0.962592,correct comission
2023-09-14 20:13:54.215086,click,,
2023-09-14 20:13:54.321060,ct,0.673083,correct comission
2023-09-14 20:13:55.098371,click,,
2023-09-14 20:13:55.099574,ct,0.777311,correct comission
2023-09-14 20:13:55.863146,click,,
2023-09-14 20:13:55.876672,ct,0.763572,correct comission
2023-09-14 20:13:56.803063,click,,
2023-09-14 20:13:56.654931,ct,0.926391,correct comission
2023-09-14 20:13:57.463460,click,,
2023-09-14 20:13:57.430915,ct,0.808529,correct comission
2023-09-14 20:13:58.170357,click,,
2023-09-14 20:13:58.208900,ct,0.739442,correct comission
2023-09-14 20:13:58.880080,click,,
2023-09-14 20:13:58.990317,ct,0.67118,correct comission
2023-09-14 20:13:59.974854,click,,
2023-09-14 20:13:59.768937,mt,0.984537,comission error
2023-09-14 20:14:00.544657,ct,,omission error
2023-09-14 20:14:01.246735,click,,
2023-09-14 20:14:01.322430,ct,0.702078,correct comission
2023-09-14 20:14:01.990269,click,,
2023-09-14 20:14:02.098703,ct,0.667839,correct comission
2023-09-14 20:14:03.017124,click,,
2023-09-14 20:14:02.878680,ct,0.918421,correct comission
2023-09-14 20:14:03.679264,click,,
2023-09-14 20:14:03.658016,ct,0.800584,correct comission
2023-09-14 20:14:04.549444,click,,
2023-09-14 20:14:04.435762,ct,0.891428,correct comission
2023-09-14 20:14:05.307959,click,,
2023-09-14 20:14:05.214703,ct,0.872197,correct comission
2023-09-14 20:14:06.293438,click,,
2023-09-14 20:14:05.992984,ct,1.078735,correct comission
2023-09-14 20:14:06.749943,click,,
