time,tag,tr,flag
2023-09-11 18:50:39.688218,ct,,
2023-09-11 18:50:40.501545,click,,
2023-09-11 18:50:40.464725,ct,0.813327,correct comission
2023-09-11 18:50:41.096288,click,,
2023-09-11 18:50:41.242116,ct,0.631563,correct comission
2023-09-11 18:50:41.926169,click,,
2023-09-11 18:50:42.020824,ct,0.684053,correct comission
2023-09-11 18:50:42.742642,click,,
2023-09-11 18:50:42.799023,ct,0.721818,correct comission
2023-09-11 18:50:43.687474,click,,
2023-09-11 18:50:43.579095,ct,0.888451,correct comission
2023-09-11 18:50:44.257694,click,,
2023-09-11 18:50:44.358751,ct,0.678599,correct comission
2023-09-11 18:50:45.136722,mt,,correct omission
2023-09-11 18:50:45.914849,ct,,omission error
2023-09-11 18:50:46.690908,ct,,omission error
2023-09-11 18:50:47.359718,click,,
2023-09-11 18:50:47.469274,ct,0.66881,correct comission
2023-09-11 18:50:47.997531,click,,
2023-09-11 18:50:48.245922,ct,0.528257,correct comission
2023-09-11 18:50:48.814172,click,,
2023-09-11 18:50:49.024488,ct,0.56825,correct comission
2023-09-11 18:50:49.804404,ct,,omission error
2023-09-11 18:50:50.146323,click,,
2023-09-11 18:50:50.583413,ct,0.341919,correct comission
2023-09-11 18:50:51.327162,click,,
2023-09-11 18:50:51.358763,ct,0.743749,correct comission
2023-09-11 18:50:51.974229,click,,
2023-09-11 18:50:52.136783,mt,,comission error
2023-09-11 18:50:52.998854,click,,
2023-09-11 18:50:52.913475,ct,0.862071,correct comission
2023-09-11 18:50:53.674946,click,,
2023-09-11 18:50:53.690449,ct,0.761471,correct comission
2023-09-11 18:50:54.317854,click,,
2023-09-11 18:50:54.469686,ct,0.627405,correct comission
2023-09-11 18:50:55.053602,click,,
2023-09-11 18:50:55.249096,ct,0.583916,correct comission
2023-09-11 18:50:55.800093,click,,
2023-09-11 18:50:56.027235,ct,0.550997,correct comission
2023-09-11 18:50:56.738795,click,,
2023-09-11 18:50:56.803153,ct,0.71156,correct comission
2023-09-11 18:50:57.603180,click,,
2023-09-11 18:50:57.581762,ct,0.800027,correct comission
2023-09-11 18:50:58.239339,click,,
2023-09-11 18:50:58.359409,ct,0.657577,correct comission
2023-09-11 18:50:58.890075,click,,
2023-09-11 18:50:59.136270,mt,,comission error
2023-09-11 18:50:59.669186,click,,
2023-09-11 18:50:59.915935,ct,0.532916,correct comission
2023-09-11 18:51:00.691631,ct,,omission error
2023-09-11 18:51:01.389757,click,,
2023-09-11 18:51:01.468781,ct,0.698126,correct comission
2023-09-11 18:51:02.167087,click,,
