time,tag,tr,flag
2023-10-10 12:35:44.870459,ct,,
2023-10-10 12:35:45.270396,click,,
2023-10-10 12:35:45.650015,ct,0.399937,correct comission
2023-10-10 12:35:46.308175,click,,
2023-10-10 12:35:46.428333,ct,0.65816,correct comission
2023-10-10 12:35:46.986382,click,,
2023-10-10 12:35:47.205046,ct,0.558049,correct comission
2023-10-10 12:35:47.991326,click,,
2023-10-10 12:35:47.980426,mt,0.78628,comission error
2023-10-10 12:35:48.757411,ct,,omission error
2023-10-10 12:35:49.341918,click,,
2023-10-10 12:35:49.537242,ct,0.584507,correct comission
2023-10-10 12:35:50.236778,click,,
2023-10-10 12:35:50.314156,ct,0.699536,correct comission
2023-10-10 12:35:50.940381,click,,
2023-10-10 12:35:51.093244,ct,0.626225,correct comission
2023-10-10 12:35:51.734403,click,,
2023-10-10 12:35:51.869566,ct,0.641159,correct comission
2023-10-10 12:35:52.646736,mt,,correct omission
2023-10-10 12:35:53.419722,ct,,omission error
2023-10-10 12:35:53.966826,click,,
2023-10-10 12:35:54.194076,ct,0.547104,correct comission
2023-10-10 12:35:54.686407,click,,
2023-10-10 12:35:54.968961,ct,0.492331,correct comission
2023-10-10 12:35:55.679670,click,,
2023-10-10 12:35:55.746452,ct,0.710709,correct comission
2023-10-10 12:35:56.513899,click,,
2023-10-10 12:35:56.521453,ct,0.767447,correct comission
2023-10-10 12:35:57.446782,click,,
2023-10-10 12:35:57.295472,ct,0.925329,correct comission
2023-10-10 12:35:57.982147,click,,
2023-10-10 12:35:58.070713,ct,0.686675,correct comission
2023-10-10 12:35:58.900889,click,,
2023-10-10 12:35:58.847271,ct,0.830176,correct comission
2023-10-10 12:35:59.528235,click,,
2023-10-10 12:35:59.623256,ct,0.680964,correct comission
2023-10-10 12:36:00.375702,click,,
2023-10-10 12:36:00.398334,ct,0.752446,correct comission
2023-10-10 12:36:01.165754,click,,
2023-10-10 12:36:01.176790,ct,0.76742,correct comission
2023-10-10 12:36:02.032331,click,,
2023-10-10 12:36:01.952609,ct,0.855541,correct comission
2023-10-10 12:36:02.657572,click,,
2023-10-10 12:36:02.727112,ct,0.704963,correct comission
2023-10-10 12:36:03.464414,click,,
2023-10-10 12:36:03.502894,ct,0.737302,correct comission
2023-10-10 12:36:04.496343,click,,
2023-10-10 12:36:04.280565,ct,0.993449,correct comission
2023-10-10 12:36:04.970287,click,,
2023-10-10 12:36:05.058253,ct,0.689722,correct comission
2023-10-10 12:36:05.810105,click,,
2023-10-10 12:36:05.834859,mt,0.751852,comission error
2023-10-10 12:36:06.609783,ct,,omission error
2023-10-10 12:36:07.327521,click,,
2023-10-10 12:36:07.386815,ct,0.717738,correct comission
2023-10-10 12:36:08.099950,click,,
2023-10-10 12:36:08.159820,ct,0.713135,correct comission
2023-10-10 12:36:09.000321,click,,
2023-10-10 12:36:08.936400,ct,0.840501,correct comission
2023-10-10 12:36:09.670103,click,,
2023-10-10 12:36:09.713324,mt,0.733703,comission error
2023-10-10 12:36:10.491264,ct,,omission error
2023-10-10 12:36:11.088370,click,,
2023-10-10 12:36:11.267312,ct,0.597106,correct comission
2023-10-10 12:36:11.884241,click,,
2023-10-10 12:36:12.045849,ct,0.616929,correct comission
2023-10-10 12:36:12.745237,click,,
2023-10-10 12:36:12.822215,ct,0.699388,correct comission
2023-10-10 12:36:13.551344,click,,
2023-10-10 12:36:13.597277,ct,0.729129,correct comission
2023-10-10 12:36:14.337118,click,,
2023-10-10 12:36:14.371822,ct,0.739841,correct comission
2023-10-10 12:36:15.211866,click,,
2023-10-10 12:36:15.147744,ct,0.840044,correct comission
2023-10-10 12:36:15.866911,click,,
2023-10-10 12:36:15.922523,ct,0.719167,correct comission
2023-10-10 12:36:16.641719,click,,
2023-10-10 12:36:16.697553,ct,0.719196,correct comission
2023-10-10 12:36:17.466049,click,,
2023-10-10 12:36:17.472005,ct,0.768496,correct comission
2023-10-10 12:36:18.335953,click,,
