time,tag,tr,flag
2023-10-10 14:17:34.191576,ct,,
2023-10-10 14:17:34.891186,click,,
2023-10-10 14:17:34.970086,mt,0.69961,comission error
2023-10-10 14:17:35.659114,click,,
2023-10-10 14:17:35.748175,ct,0.689028,correct comission
2023-10-10 14:17:36.528396,ct,,omission error
2023-10-10 14:17:36.851952,click,,
2023-10-10 14:17:37.308219,ct,0.323556,correct comission
2023-10-10 14:17:38.088916,ct,,omission error
2023-10-10 14:17:38.434207,click,,
2023-10-10 14:17:38.868137,ct,0.345291,correct comission
2023-10-10 14:17:39.233707,click,,
2023-10-10 14:17:39.646405,ct,0.36557,correct comission
2023-10-10 14:17:40.021155,click,,
2023-10-10 14:17:40.424349,ct,0.37475,correct comission
2023-10-10 14:17:40.909552,click,,
2023-10-10 14:17:41.204341,ct,0.485203,correct comission
2023-10-10 14:17:41.763033,click,,
2023-10-10 14:17:41.982518,ct,0.558692,correct comission
2023-10-10 14:17:43.040438,click,,
2023-10-10 14:17:42.760470,ct,1.05792,correct comission
2023-10-10 14:17:43.541066,ct,,omission error
2023-10-10 14:17:44.331320,click,,
2023-10-10 14:17:44.320212,ct,0.790254,correct comission
2023-10-10 14:17:45.123255,click,,
2023-10-10 14:17:45.101921,ct,0.803043,correct comission
2023-10-10 14:17:46.197497,click,,
2023-10-10 14:17:45.881394,ct,1.095576,correct comission
2023-10-10 14:17:46.952829,click,,
2023-10-10 14:17:46.659907,mt,1.071435,comission error
2023-10-10 14:17:47.436565,ct,,omission error
2023-10-10 14:17:48.188463,click,,
2023-10-10 14:17:48.213166,ct,0.751898,correct comission
2023-10-10 14:17:49.195536,click,,
2023-10-10 14:17:48.990097,ct,0.98237,correct comission
2023-10-10 14:17:50.058735,click,,
2023-10-10 14:17:49.767393,ct,1.068638,correct comission
2023-10-10 14:17:50.697877,click,,
2023-10-10 14:17:50.548423,mt,0.930484,comission error
2023-10-10 14:17:51.329382,ct,,omission error
2023-10-10 14:17:51.891639,click,,
2023-10-10 14:17:52.106824,ct,0.562257,correct comission
2023-10-10 14:17:53.047695,click,,
2023-10-10 14:17:52.883904,ct,0.940871,correct comission
2023-10-10 14:17:53.660817,ct,,omission error
2023-10-10 14:17:54.450315,click,,
2023-10-10 14:17:54.437950,ct,0.789498,correct comission
2023-10-10 14:17:55.478410,click,,
2023-10-10 14:17:55.217093,ct,1.04046,correct comission
2023-10-10 14:17:55.995852,ct,,omission error
2023-10-10 14:17:56.471615,click,,
2023-10-10 14:17:56.775461,mt,0.475763,comission error
2023-10-10 14:17:57.520141,click,,
2023-10-10 14:17:57.555389,ct,0.74468,correct comission
2023-10-10 14:17:58.335022,ct,,omission error
2023-10-10 14:17:58.835655,click,,
2023-10-10 14:17:59.113446,ct,0.500633,correct comission
2023-10-10 14:17:59.893848,ct,,omission error
