time,tag,tr,flag
2023-10-11 11:18:48.972322,ct,,
2023-10-11 11:18:49.408357,click,,
2023-10-11 11:18:49.756622,ct,0.436035,correct comission
2023-10-11 11:18:50.646463,click,,
2023-10-11 11:18:50.538166,ct,0.889841,correct comission
2023-10-11 11:18:51.197295,click,,
2023-10-11 11:18:51.447498,ct,0.659129,correct comission
2023-10-11 11:18:52.012670,click,,
2023-10-11 11:18:52.228474,mt,0.565172,comission error
2023-10-11 11:18:52.684144,click,,
2023-10-11 11:18:53.010794,ct,0.45567,correct comission
2023-10-11 11:18:53.660859,click,,
2023-10-11 11:18:53.792175,ct,0.650065,correct comission
2023-10-11 11:18:54.441691,click,,
2023-10-11 11:18:54.572113,ct,0.649516,correct comission
2023-10-11 11:18:55.069148,click,,
2023-10-11 11:18:55.353571,ct,0.497035,correct comission
2023-10-11 11:18:55.800220,click,,
2023-10-11 11:18:56.135954,ct,0.446649,correct comission
2023-10-11 11:18:56.581205,click,,
2023-10-11 11:18:56.914638,ct,0.445251,correct comission
2023-10-11 11:18:57.771635,click,,
2023-10-11 11:18:57.696182,mt,0.856997,comission error
2023-10-11 11:18:58.338271,click,,
2023-10-11 11:18:58.479188,ct,0.642089,correct comission
2023-10-11 11:18:59.160854,click,,
2023-10-11 11:18:59.260852,ct,0.681666,correct comission
2023-10-11 11:19:00.084801,click,,
2023-10-11 11:19:00.041244,ct,0.823949,correct comission
2023-10-11 11:19:00.627201,click,,
2023-10-11 11:19:00.822369,ct,0.585957,correct comission
2023-10-11 11:19:01.440951,click,,
2023-10-11 11:19:01.602070,ct,0.618582,correct comission
2023-10-11 11:19:02.228890,click,,
2023-10-11 11:19:02.382464,ct,0.62682,correct comission
2023-10-11 11:19:03.077150,click,,
2023-10-11 11:19:03.164224,ct,0.694686,correct comission
2023-10-11 11:19:03.673215,click,,
2023-10-11 11:19:03.948538,mt,0.508991,comission error
2023-10-11 11:19:04.730380,ct,,omission error
2023-10-11 11:19:05.206590,click,,
2023-10-11 11:19:05.510247,ct,0.47621,correct comission
2023-10-11 11:19:05.977616,click,,
2023-10-11 11:19:06.292624,ct,0.467369,correct comission
2023-10-11 11:19:06.672934,click,,
2023-10-11 11:19:07.075481,ct,0.38031,correct comission
2023-10-11 11:19:07.552364,click,,
2023-10-11 11:19:07.856142,ct,0.476883,correct comission
