time,tag,tr,flag
2023-10-11 12:30:58.402740,ct,,
2023-10-11 12:30:58.951322,click,,
2023-10-11 12:30:59.183237,ct,0.548582,correct comission
2023-10-11 12:30:59.844683,click,,
2023-10-11 12:30:59.964169,ct,0.661446,correct comission
2023-10-11 12:31:00.636631,click,,
2023-10-11 12:31:00.745075,ct,0.672462,correct comission
2023-10-11 12:31:01.439905,click,,
2023-10-11 12:31:01.525924,ct,0.69483,correct comission
2023-10-11 12:31:02.447293,click,,
2023-10-11 12:31:02.306595,ct,0.921369,correct comission
2023-10-11 12:31:03.055609,click,,
2023-10-11 12:31:03.088052,ct,0.749014,correct comission
2023-10-11 12:31:03.782015,click,,
2023-10-11 12:31:03.869137,ct,0.693963,correct comission
2023-10-11 12:31:04.564964,click,,
2023-10-11 12:31:04.651015,mt,0.695827,comission error
2023-10-11 12:31:05.433403,ct,,omission error
2023-10-11 12:31:06.180749,click,,
2023-10-11 12:31:06.213904,ct,0.747346,correct comission
2023-10-11 12:31:06.985127,click,,
2023-10-11 12:31:06.995908,ct,0.771223,correct comission
2023-10-11 12:31:07.777165,click,,
2023-10-11 12:31:07.778891,ct,0.781257,correct comission
2023-10-11 12:31:08.648954,click,,
2023-10-11 12:31:08.562404,ct,0.870063,correct comission
2023-10-11 12:31:09.310611,click,,
2023-10-11 12:31:09.343511,ct,0.748207,correct comission
2023-10-11 12:31:10.109802,click,,
2023-10-11 12:31:10.124769,ct,0.766291,correct comission
2023-10-11 12:31:10.873560,click,,
2023-10-11 12:31:10.906689,ct,0.748791,correct comission
2023-10-11 12:31:11.685813,click,,
2023-10-11 12:31:11.687597,mt,0.779124,comission error
2023-10-11 12:31:12.468111,ct,,omission error
2023-10-11 12:31:13.212594,click,,
2023-10-11 12:31:13.247113,mt,0.744483,comission error
2023-10-11 12:31:14.028873,ct,,omission error
2023-10-11 12:31:14.841354,click,,
2023-10-11 12:31:14.808277,ct,0.812481,correct comission
2023-10-11 12:31:15.555404,click,,
2023-10-11 12:31:15.588254,ct,0.747127,correct comission
2023-10-11 12:31:16.357555,click,,
2023-10-11 12:31:16.369397,ct,0.769301,correct comission
2023-10-11 12:31:17.073493,click,,
2023-10-11 12:31:17.149847,ct,0.704096,correct comission
2023-10-11 12:31:17.897933,click,,
2023-10-11 12:31:17.929949,ct,0.748086,correct comission
2023-10-11 12:31:18.819286,click,,
2023-10-11 12:31:18.711947,ct,0.889337,correct comission
2023-10-11 12:31:19.569399,click,,
2023-10-11 12:31:19.494277,ct,0.857452,correct comission
2023-10-11 12:31:20.558134,click,,
2023-10-11 12:31:20.275295,ct,1.063857,correct comission
2023-10-11 12:31:21.021905,click,,
2023-10-11 12:31:21.055184,ct,0.74661,correct comission
2023-10-11 12:31:21.815541,click,,
2023-10-11 12:31:21.836964,ct,0.760357,correct comission
2023-10-11 12:31:22.573771,click,,
2023-10-11 12:31:22.618379,ct,0.736807,correct comission
2023-10-11 12:31:23.679257,click,,
2023-10-11 12:31:23.398712,ct,1.060878,correct comission
2023-10-11 12:31:24.122293,click,,
2023-10-11 12:31:24.180289,mt,0.723581,comission error
2023-10-11 12:31:24.959990,ct,,omission error
2023-10-11 12:31:25.687107,click,,
2023-10-11 12:31:25.741936,ct,0.727117,correct comission
2023-10-11 12:31:26.417314,click,,
2023-10-11 12:31:26.521097,ct,0.675378,correct comission
2023-10-11 12:31:27.372849,click,,
2023-10-11 12:31:27.301583,ct,0.851752,correct comission
2023-10-11 12:31:28.068035,click,,
2023-10-11 12:31:28.082093,ct,0.766452,correct comission
2023-10-11 12:31:28.844255,click,,
2023-10-11 12:31:28.864783,ct,0.762162,correct comission
2023-10-11 12:31:29.621361,click,,
2023-10-11 12:31:29.647318,ct,0.756578,correct comission
2023-10-11 12:31:30.459070,click,,
2023-10-11 12:31:30.426365,ct,0.811752,correct comission
2023-10-11 12:31:31.183487,click,,
2023-10-11 12:31:31.207079,mt,0.757122,comission error
2023-10-11 12:31:31.986586,ct,,omission error
2023-10-11 12:31:32.765346,click,,
2023-10-11 12:31:32.766506,ct,0.77876,correct comission
2023-10-11 12:31:33.685293,click,,
2023-10-11 12:31:33.546084,ct,0.918787,correct comission
2023-10-11 12:31:34.229078,click,,
2023-10-11 12:31:34.328097,ct,0.682994,correct comission
2023-10-11 12:31:35.048603,click,,
2023-10-11 12:31:35.107270,ct,0.720506,correct comission
2023-10-11 12:31:35.874325,click,,
2023-10-11 12:31:35.887211,ct,0.767055,correct comission
2023-10-11 12:31:36.637502,click,,
2023-10-11 12:31:36.665875,ct,0.750291,correct comission
2023-10-11 12:31:37.639625,click,,
2023-10-11 12:31:37.445866,ct,0.97375,correct comission
2023-10-11 12:31:38.421371,click,,
2023-10-11 12:31:38.227668,ct,0.975505,correct comission
2023-10-11 12:31:39.006334,ct,,omission error
2023-10-11 12:31:39.752231,click,,
2023-10-11 12:31:39.787930,ct,0.745897,correct comission
2023-10-11 12:31:40.737172,click,,
2023-10-11 12:31:40.566508,ct,0.949242,correct comission
2023-10-11 12:31:41.239719,click,,
2023-10-11 12:31:41.347450,mt,0.673211,comission error
2023-10-11 12:31:42.129490,ct,,omission error
2023-10-11 12:31:42.920926,click,,
2023-10-11 12:31:42.909661,ct,0.791436,correct comission
2023-10-11 12:31:43.550160,click,,
2023-10-11 12:31:43.691365,ct,0.640499,correct comission
2023-10-11 12:31:44.377946,click,,
2023-10-11 12:31:44.470790,ct,0.686581,correct comission
2023-10-11 12:31:45.307851,click,,
2023-10-11 12:31:45.250785,ct,0.837061,correct comission
2023-10-11 12:31:46.017871,click,,
2023-10-11 12:31:46.031796,ct,0.767086,correct comission
2023-10-11 12:31:46.776044,click,,
2023-10-11 12:31:46.811290,ct,0.744248,correct comission
2023-10-11 12:31:47.615520,click,,
2023-10-11 12:31:47.592968,ct,0.80423,correct comission
2023-10-11 12:31:48.370886,click,,
2023-10-11 12:31:48.375084,ct,0.777918,correct comission
2023-10-11 12:31:49.143619,click,,
2023-10-11 12:31:49.155977,mt,0.768535,comission error
2023-10-11 12:31:49.938735,ct,,omission error
2023-10-11 12:31:50.732492,click,,
2023-10-11 12:31:50.720940,ct,0.793757,correct comission
2023-10-11 12:31:51.479998,click,,
2023-10-11 12:31:51.503217,ct,0.759058,correct comission
2023-10-11 12:31:52.436864,click,,
2023-10-11 12:31:52.283475,ct,0.933647,correct comission
2023-10-11 12:31:53.108054,click,,
2023-10-11 12:31:53.064308,ct,0.824579,correct comission
2023-10-11 12:31:53.821248,click,,
2023-10-11 12:31:53.845307,ct,0.75694,correct comission
2023-10-11 12:31:54.549894,click,,
2023-10-11 12:31:54.625365,mt,0.704587,comission error
2023-10-11 12:31:55.406968,ct,,omission error
2023-10-11 12:31:56.178008,click,,
