time,tag,tr,flag
2023-10-23 11:17:56.610283,ct,,
2023-10-23 11:17:57.387620,ct,,omission error
2023-10-23 11:17:58.470801,click,,
2023-10-23 11:17:58.168502,ct,1.083181,correct comission
2023-10-23 11:17:59.335104,click,,
2023-10-23 11:17:59.061599,ct,1.166602,correct comission
2023-10-23 11:17:59.987938,click,,
2023-10-23 11:17:59.840007,ct,0.926339,correct comission
2023-10-23 11:18:00.807957,click,,
2023-10-23 11:18:00.617733,ct,0.96795,correct comission
2023-10-23 11:18:01.585428,click,,
2023-10-23 11:18:01.395281,mt,0.967695,comission error
2023-10-23 11:18:02.344441,click,,
2023-10-23 11:18:02.175274,ct,0.94916,correct comission
2023-10-23 11:18:02.953602,ct,,omission error
2023-10-23 11:18:03.293034,click,,
2023-10-23 11:18:03.730732,ct,0.339432,correct comission
2023-10-23 11:18:04.555942,click,,
2023-10-23 11:18:04.510851,mt,0.82521,comission error
2023-10-23 11:18:05.455316,click,,
2023-10-23 11:18:05.290828,ct,0.944465,correct comission
2023-10-23 11:18:06.070743,ct,,omission error
2023-10-23 11:18:06.587133,click,,
2023-10-23 11:18:06.849914,ct,0.51639,correct comission
2023-10-23 11:18:07.693883,click,,
2023-10-23 11:18:07.630721,ct,0.843969,correct comission
2023-10-23 11:18:08.550042,click,,
2023-10-23 11:18:08.411530,ct,0.919321,correct comission
2023-10-23 11:18:09.496056,click,,
2023-10-23 11:18:09.191842,ct,1.084526,correct comission
2023-10-23 11:18:10.276408,click,,
2023-10-23 11:18:09.971251,ct,1.084566,correct comission
2023-10-23 11:18:11.020078,click,,
2023-10-23 11:18:10.749190,ct,1.048827,correct comission
2023-10-23 11:18:11.690135,click,,
2023-10-23 11:18:11.528724,ct,0.940945,correct comission
2023-10-23 11:18:12.342306,click,,
2023-10-23 11:18:12.310268,ct,0.813582,correct comission
2023-10-23 11:18:13.185691,click,,
2023-10-23 11:18:13.090128,ct,0.875423,correct comission
2023-10-23 11:18:13.822013,click,,
2023-10-23 11:18:13.867056,ct,0.731885,correct comission
2023-10-23 11:18:14.596493,click,,
2023-10-23 11:18:14.645980,ct,0.729437,correct comission
2023-10-23 11:18:15.508671,click,,
2023-10-23 11:18:15.422060,ct,0.862691,correct comission
2023-10-23 11:18:16.198801,click,,
2023-10-23 11:18:16.200088,ct,0.776741,correct comission
2023-10-23 11:18:17.035234,click,,
2023-10-23 11:18:16.976755,ct,0.835146,correct comission
2023-10-23 11:18:17.808428,click,,
2023-10-23 11:18:17.755355,ct,0.831673,correct comission
2023-10-23 11:18:18.479314,click,,
2023-10-23 11:18:18.532761,mt,0.723959,comission error
2023-10-23 11:18:19.309482,ct,,omission error
2023-10-23 11:18:19.815787,click,,
2023-10-23 11:18:20.088611,ct,0.506305,correct comission
2023-10-23 11:18:20.791913,click,,
2023-10-23 11:18:20.864928,ct,0.703302,correct comission
2023-10-23 11:18:21.440391,click,,
2023-10-23 11:18:21.640761,ct,0.575463,correct comission
2023-10-23 11:18:22.209820,click,,
2023-10-23 11:18:22.419353,ct,0.569059,correct comission
2023-10-23 11:18:23.093052,click,,
