time,tag,tr,flag
2023-09-21 13:25:00.150349,ct,,
2023-09-21 13:25:00.739271,click,,
2023-09-21 13:25:00.927476,ct,0.588922,correct comission
2023-09-21 13:25:01.313571,click,,
2023-09-21 13:25:01.702296,ct,0.386095,correct comission
2023-09-21 13:25:02.524872,click,,
2023-09-21 13:25:02.477256,ct,0.822576,correct comission
2023-09-21 13:25:03.144219,click,,
2023-09-21 13:25:03.253581,ct,0.666963,correct comission
2023-09-21 13:25:03.739209,click,,
2023-09-21 13:25:04.029246,ct,0.485628,correct comission
2023-09-21 13:25:04.947774,click,,
2023-09-21 13:25:04.805924,ct,0.918528,correct comission
2023-09-21 13:25:05.577720,click,,
2023-09-21 13:25:05.583569,ct,0.771796,correct comission
2023-09-21 13:25:06.229194,click,,
2023-09-21 13:25:06.360276,ct,0.645625,correct comission
2023-09-21 13:25:06.925635,click,,
2023-09-21 13:25:07.136653,ct,0.565359,correct comission
2023-09-21 13:25:07.563830,click,,
2023-09-21 13:25:07.913137,ct,0.427177,correct comission
2023-09-21 13:25:08.782468,click,,
2023-09-21 13:25:08.688664,ct,0.869331,correct comission
2023-09-21 13:25:09.402059,click,,
2023-09-21 13:25:09.464439,ct,0.713395,correct comission
2023-09-21 13:25:10.019686,click,,
2023-09-21 13:25:10.239757,ct,0.555247,correct comission
2023-09-21 13:25:10.665590,click,,
2023-09-21 13:25:11.014883,ct,0.425833,correct comission
2023-09-21 13:25:11.838980,click,,
2023-09-21 13:25:11.792477,ct,0.824097,correct comission
2023-09-21 13:25:12.500900,click,,
2023-09-21 13:25:12.567814,ct,0.708423,correct comission
2023-09-21 13:25:13.099615,click,,
2023-09-21 13:25:13.342521,ct,0.531801,correct comission
2023-09-21 13:25:13.678663,click,,
2023-09-21 13:25:14.118870,mt,0.336142,comission error
2023-09-21 13:25:14.895110,ct,,omission error
2023-09-21 13:25:15.464562,click,,
2023-09-21 13:25:15.672759,mt,0.569452,comission error
2023-09-21 13:25:16.035351,click,,
2023-09-21 13:25:16.449222,ct,0.362592,correct comission
2023-09-21 13:25:17.057031,click,,
2023-09-21 13:25:17.224351,ct,0.607809,correct comission
2023-09-21 13:25:17.760296,click,,
2023-09-21 13:25:18.001530,ct,0.535945,correct comission
2023-09-21 13:25:18.568516,click,,
2023-09-21 13:25:18.778894,ct,0.566986,correct comission
2023-09-21 13:25:19.417087,click,,
2023-09-21 13:25:19.558100,ct,0.638193,correct comission
2023-09-21 13:25:20.195263,click,,
2023-09-21 13:25:20.335978,ct,0.637163,correct comission
2023-09-21 13:25:20.844794,click,,
2023-09-21 13:25:21.113359,ct,0.508816,correct comission
2023-09-21 13:25:21.541290,click,,
2023-09-21 13:25:21.888443,ct,0.427931,correct comission
2023-09-21 13:25:22.840364,click,,
2023-09-21 13:25:22.665058,ct,0.951921,correct comission
2023-09-21 13:25:23.422702,click,,
2023-09-21 13:25:23.444026,ct,0.757644,correct comission
2023-09-21 13:25:24.054977,click,,
2023-09-21 13:25:24.221757,ct,0.610951,correct comission
2023-09-21 13:25:24.761417,click,,
2023-09-21 13:25:24.998740,ct,0.53966,correct comission
2023-09-21 13:25:25.489118,click,,
2023-09-21 13:25:25.775614,mt,0.490378,comission error
2023-09-21 13:25:26.526572,click,,
2023-09-21 13:25:26.551936,ct,0.750958,correct comission
2023-09-21 13:25:27.247739,click,,
2023-09-21 13:25:27.330167,ct,0.695803,correct comission
2023-09-21 13:25:27.899383,click,,
2023-09-21 13:25:28.108096,ct,0.569216,correct comission
2023-09-21 13:25:28.628351,click,,
2023-09-21 13:25:28.886487,ct,0.520255,correct comission
2023-09-21 13:25:29.295775,click,,
2023-09-21 13:25:29.663678,ct,0.409288,correct comission
2023-09-21 13:25:30.549348,click,,
2023-09-21 13:25:30.440718,mt,0.88567,comission error
2023-09-21 13:25:31.218679,ct,,omission error
2023-09-21 13:25:31.715197,click,,
2023-09-21 13:25:31.995855,ct,0.496518,correct comission
2023-09-21 13:25:32.664577,click,,
2023-09-21 13:25:32.774800,ct,0.668722,correct comission
2023-09-21 13:25:33.320288,click,,
2023-09-21 13:25:33.553182,ct,0.545488,correct comission
2023-09-21 13:25:33.888754,click,,
2023-09-21 13:25:34.330937,ct,0.335572,correct comission
2023-09-21 13:25:35.114446,click,,
2023-09-21 13:25:35.107403,ct,0.783509,correct comission
2023-09-21 13:25:35.747791,click,,
2023-09-21 13:25:35.883665,ct,0.640388,correct comission
2023-09-21 13:25:36.389058,click,,
2023-09-21 13:25:36.660812,ct,0.505393,correct comission
2023-09-21 13:25:37.001330,click,,
2023-09-21 13:25:37.436739,ct,0.340518,correct comission
2023-09-21 13:25:38.337519,click,,
2023-09-21 13:25:38.214903,ct,0.90078,correct comission
2023-09-21 13:25:38.960649,click,,
2023-09-21 13:25:38.992026,ct,0.745746,correct comission
2023-09-21 13:25:39.660070,click,,
2023-09-21 13:25:39.770287,ct,0.668044,correct comission
2023-09-21 13:25:40.337540,click,,
2023-09-21 13:25:40.546758,ct,0.567253,correct comission
2023-09-21 13:25:40.899201,click,,
2023-09-21 13:25:41.324375,ct,0.352443,correct comission
2023-09-21 13:25:42.152553,click,,
2023-09-21 13:25:42.100348,ct,0.828178,correct comission
2023-09-21 13:25:42.677809,click,,
2023-09-21 13:25:42.878959,ct,0.577461,correct comission
2023-09-21 13:25:43.353340,click,,
2023-09-21 13:25:43.657116,mt,0.474381,comission error
2023-09-21 13:25:44.435151,ct,,omission error
2023-09-21 13:25:45.120794,click,,
2023-09-21 13:25:45.212336,ct,0.685643,correct comission
2023-09-21 13:25:45.722359,click,,
2023-09-21 13:25:45.988800,ct,0.510023,correct comission
2023-09-21 13:25:46.399190,click,,
2023-09-21 13:25:46.766937,ct,0.41039,correct comission
2023-09-21 13:25:47.643393,click,,
2023-09-21 13:25:47.543791,ct,0.876456,correct comission
2023-09-21 13:25:48.252655,click,,
2023-09-21 13:25:48.321143,ct,0.708864,correct comission
2023-09-21 13:25:48.988155,click,,
2023-09-21 13:25:49.098607,ct,0.667012,correct comission
2023-09-21 13:25:49.629270,click,,
2023-09-21 13:25:49.875472,ct,0.530663,correct comission
2023-09-21 13:25:50.316987,click,,
2023-09-21 13:25:50.653272,mt,0.441515,comission error
2023-09-21 13:25:51.430051,ct,,omission error
2023-09-21 13:25:52.161802,click,,
2023-09-21 13:25:52.208160,ct,0.731751,correct comission
2023-09-21 13:25:52.845888,click,,
2023-09-21 13:25:52.986177,ct,0.637728,correct comission
2023-09-21 13:25:53.480041,click,,
2023-09-21 13:25:53.764355,ct,0.493864,correct comission
2023-09-21 13:25:54.315439,click,,
2023-09-21 13:25:54.540979,ct,0.551084,correct comission
2023-09-21 13:25:55.393157,click,,
2023-09-21 13:25:55.318079,ct,0.852178,correct comission
2023-09-21 13:25:56.224997,click,,
2023-09-21 13:25:56.095243,ct,0.906918,correct comission
2023-09-21 13:25:56.959489,click,,
2023-09-21 13:25:56.874089,mt,0.864246,comission error
2023-09-21 13:25:57.650796,ct,,omission error
2023-09-21 13:25:58.312702,click,,
2023-09-21 13:25:58.426740,ct,0.661906,correct comission
2023-09-21 13:25:58.973025,click,,
2023-09-21 13:25:59.205046,ct,0.546285,correct comission
2023-09-21 13:25:59.646967,click,,
2023-09-21 13:25:59.982716,ct,0.441921,correct comission
2023-09-21 13:26:00.903079,click,,
2023-09-21 13:26:00.762159,ct,0.920363,correct comission
2023-09-21 13:26:01.504620,click,,
2023-09-21 13:26:01.539289,ct,0.742461,correct comission
2023-09-21 13:26:02.080848,click,,
2023-09-21 13:26:02.315795,ct,0.541559,correct comission
2023-09-21 13:26:02.875102,click,,
2023-09-21 13:26:03.089573,ct,0.559307,correct comission
2023-09-21 13:26:03.544174,click,,
2023-09-21 13:26:03.864893,ct,0.454601,correct comission
