time,tag,tr,flag
2023-09-22 12:28:55.743556,ct,,
2023-09-22 12:28:56.521103,ct,,omission error
2023-09-22 12:28:57.298864,ct,,omission error
2023-09-22 12:28:58.074989,ct,,omission error
2023-09-22 12:28:58.850691,mt,,correct omission
2023-09-22 12:28:59.626479,ct,,omission error
2023-09-22 12:29:00.401699,ct,,omission error
2023-09-22 12:29:01.177362,ct,,omission error
2023-09-22 12:29:01.954567,ct,,omission error
2023-09-22 12:29:02.729044,mt,,correct omission
2023-09-22 12:29:03.504385,ct,,omission error
2023-09-22 12:29:04.279382,ct,,omission error
2023-09-22 12:29:05.054251,ct,,omission error
2023-09-22 12:29:05.829316,ct,,omission error
2023-09-22 12:29:06.606364,ct,,omission error
2023-09-22 12:29:07.383182,ct,,omission error
2023-09-22 12:29:08.159178,ct,,omission error
2023-09-22 12:29:08.936992,ct,,omission error
2023-09-22 12:29:09.711002,ct,,omission error
2023-09-22 12:29:10.487533,ct,,omission error
2023-09-22 12:29:11.263335,ct,,omission error
2023-09-22 12:29:12.041401,ct,,omission error
2023-09-22 12:29:12.815026,ct,,omission error
2023-09-22 12:29:13.592871,ct,,omission error
2023-09-22 12:29:14.368015,ct,,omission error
2023-09-22 12:29:15.144239,mt,,correct omission
2023-09-22 12:29:15.920381,ct,,omission error
2023-09-22 12:29:16.695552,ct,,omission error
2023-09-22 12:29:17.470369,ct,,omission error
2023-09-22 12:29:18.245971,ct,,omission error
2023-09-22 12:29:19.021398,ct,,omission error
2023-09-22 12:29:19.797068,ct,,omission error
2023-09-22 12:29:20.573957,ct,,omission error
2023-09-22 12:29:21.350992,ct,,omission error
2023-09-22 12:29:22.127529,ct,,omission error
2023-09-22 12:29:22.902130,ct,,omission error
2023-09-22 12:29:23.678445,ct,,omission error
2023-09-22 12:29:24.455320,ct,,omission error
2023-09-22 12:29:25.232274,mt,,correct omission
2023-09-22 12:29:26.008798,ct,,omission error
2023-09-22 12:29:26.785540,ct,,omission error
2023-09-22 12:29:27.561921,ct,,omission error
2023-09-22 12:29:28.340308,ct,,omission error
2023-09-22 12:29:29.115959,ct,,omission error
2023-09-22 12:29:29.891048,ct,,omission error
2023-09-22 12:29:30.665160,ct,,omission error
2023-09-22 12:29:31.442305,ct,,omission error
2023-09-22 12:29:32.221650,mt,,correct omission
2023-09-22 12:29:32.996701,ct,,omission error
2023-09-22 12:29:33.772571,ct,,omission error
2023-09-22 12:29:34.547205,ct,,omission error
2023-09-22 12:29:35.323435,ct,,omission error
2023-09-22 12:29:36.100242,ct,,omission error
2023-09-22 12:29:36.876079,ct,,omission error
2023-09-22 12:29:37.652636,mt,,correct omission
2023-09-22 12:29:38.430114,ct,,omission error
2023-09-22 12:29:39.205902,ct,,omission error
2023-09-22 12:29:39.981704,ct,,omission error
2023-09-22 12:29:40.756283,ct,,omission error
2023-09-22 12:29:41.532554,ct,,omission error
2023-09-22 12:29:42.310628,ct,,omission error
2023-09-22 12:29:43.088531,ct,,omission error
2023-09-22 12:29:43.863701,ct,,omission error
2023-09-22 12:29:44.639026,ct,,omission error
2023-09-22 12:29:45.414914,ct,,omission error
2023-09-22 12:29:46.192646,ct,,omission error
2023-09-22 12:29:46.970175,ct,,omission error
2023-09-22 12:29:47.743969,mt,,correct omission
2023-09-22 12:29:48.519022,ct,,omission error
2023-09-22 12:29:49.293480,ct,,omission error
2023-09-22 12:29:50.071412,ct,,omission error
2023-09-22 12:29:50.848344,ct,,omission error
2023-09-22 12:29:51.626013,ct,,omission error
2023-09-22 12:29:52.402212,ct,,omission error
