time,tag,tr,flag
2023-09-06 11:11:21.583131,ct,,
2023-09-06 11:11:22.424272,ct,,omission error
2023-09-06 11:11:23.291477,click,,
2023-09-06 11:11:23.263804,ct,0.867205,correct comission
2023-09-06 11:11:24.029195,click,,
2023-09-06 11:11:24.098707,ct,0.765391,correct comission
2023-09-06 11:11:24.705650,click,,
2023-09-06 11:11:24.940420,ct,0.606943,correct comission
2023-09-06 11:11:25.494381,click,,
2023-09-06 11:11:25.784910,ct,0.553961,correct comission
2023-09-06 11:11:26.164314,click,,
2023-09-06 11:11:26.623022,mt,,comission error
2023-09-06 11:11:27.456824,ct,,omission error
2023-09-06 11:11:28.041096,click,,
2023-09-06 11:11:28.295228,ct,0.584272,correct comission
2023-09-06 11:11:28.755873,click,,
2023-09-06 11:11:29.128125,ct,0.460645,correct comission
2023-09-06 11:11:30.200795,click,,
2023-09-06 11:11:29.962948,ct,1.07267,correct comission
2023-09-06 11:11:30.808609,click,,
2023-09-06 11:11:30.810203,ct,0.845661,correct comission
2023-09-06 11:11:31.443593,click,,
2023-09-06 11:11:31.659757,ct,0.63339,correct comission
2023-09-06 11:11:32.075716,click,,
2023-09-06 11:11:32.499010,ct,0.415959,correct comission
2023-09-06 11:11:32.894674,click,,
2023-09-06 11:11:33.337424,ct,0.395664,correct comission
2023-09-06 11:11:34.058824,click,,
2023-09-06 11:11:34.190300,ct,0.7214,correct comission
2023-09-06 11:11:34.698373,click,,
2023-09-06 11:11:35.039007,ct,0.508073,correct comission
2023-09-06 11:11:35.472200,click,,
2023-09-06 11:11:35.873186,ct,0.433193,correct comission
2023-09-06 11:11:36.619769,click,,
2023-09-06 11:11:36.708659,mt,,comission error
2023-09-06 11:11:37.365785,click,,
2023-09-06 11:11:37.570244,mt,,comission error
2023-09-06 11:11:38.075032,click,,
2023-09-06 11:11:38.415816,ct,0.504788,correct comission
2023-09-06 11:11:39.287255,click,,
2023-09-06 11:11:39.248429,ct,0.871439,correct comission
2023-09-06 11:11:40.029432,click,,
2023-09-06 11:11:40.089360,ct,0.781003,correct comission
2023-09-06 11:11:40.715414,click,,
2023-09-06 11:11:40.931980,ct,0.626054,correct comission
2023-09-06 11:11:41.252995,click,,
2023-09-06 11:11:41.791046,ct,0.321015,correct comission
2023-09-06 11:11:42.584796,click,,
2023-09-06 11:11:42.650287,ct,0.79375,correct comission
2023-09-06 11:11:43.493784,ct,,omission error
2023-09-06 11:11:44.341568,ct,,omission error
2023-09-06 11:11:45.182153,ct,,omission error
2023-09-06 11:11:46.028092,ct,,omission error
2023-09-06 11:11:46.873545,ct,,omission error
2023-09-06 11:11:47.713605,ct,,omission error
2023-09-06 11:11:48.548209,ct,,omission error
2023-09-06 11:11:49.376341,ct,,omission error
2023-09-06 11:11:50.208583,ct,,omission error
2023-09-06 11:11:51.042752,mt,,correct omission
2023-09-06 11:11:51.880430,ct,,omission error
2023-09-06 11:11:52.712504,ct,,omission error
2023-09-06 11:11:53.543461,ct,,omission error
2023-09-06 11:11:54.383396,ct,,omission error
2023-09-06 11:11:55.224340,ct,,omission error
2023-09-06 11:11:56.050652,ct,,omission error
2023-09-06 11:11:56.894914,ct,,omission error
2023-09-06 11:11:57.740024,ct,,omission error
2023-09-06 11:11:58.584757,ct,,omission error
2023-09-06 11:11:59.417003,ct,,omission error
2023-09-06 11:12:00.252240,ct,,omission error
2023-09-06 11:12:01.084713,ct,,omission error
2023-09-06 11:12:01.931956,mt,,correct omission
2023-09-06 11:12:02.789761,ct,,omission error
2023-09-06 11:12:03.632604,ct,,omission error
2023-09-06 11:12:04.469028,mt,,correct omission
2023-09-06 11:12:05.304161,ct,,omission error
2023-09-06 11:12:06.149654,ct,,omission error
2023-09-06 11:12:06.995800,ct,,omission error
2023-09-06 11:12:07.840730,ct,,omission error
2023-09-06 11:12:08.680101,ct,,omission error
2023-09-06 11:12:09.534191,ct,,omission error
2023-09-06 11:12:10.381695,ct,,omission error
2023-09-06 11:12:11.212790,ct,,omission error
2023-09-06 11:12:12.053168,ct,,omission error
2023-09-06 11:12:12.922398,ct,,omission error
